path,size_bytes,sha256
README.md,1799,0d81c3c2f3210e2111373f5d36bb1b2af60fed05104b7fb6c1a73c12ce1b47df
dataset_final/audit/data_dictionary.csv,4709,0be46f268d1bd054287c75acfbabd7ae2283127a60e4ff2bed3282082001d115
dataset_final/audit/fifa_fetch_metadata.json,534,b0181008141f9a917e66e27152e5dc248df30e5cd7d73e2c7e3835a59e3bbbb0
dataset_final/audit/raw_manifest.jsonl,51326,7f4820497d49f613bb61da3a4b1f16e5a080ce2eabc7c54f196c6c74f38be575
dataset_final/audit/validation_summary.json,1155,03ce8c68e5639d1b8d0c097f1842975c91e8084633dad685f4a7f0d3af057fe9
dataset_final/processed/calendar_seed.csv,15867,120324cf1fdfa1075c0479d34d27691bb1fef2fb6d55999452a10504372b29f9
dataset_final/processed/espn_matches.csv,55910,eaa457373b082652b74c11f33d4eb56a754b3acfd2506f4e46a00af7bc10b067
dataset_final/processed/event_mapping_report.csv,11349,d9bcb2a83e1f0b3f54b77e7c2be0431e215153fe716ca2c0f07a239c53654df9
dataset_final/processed/fifa_verification.csv,11010,c6b69624fe97810292d7589c8a6f87137ccf590a24b28d9df35975d7d24b3442
dataset_final/processed/match_commentary.csv,2519033,5822def79dbfdeff9da22bdd077fa606e64d6079d0ad0980459203336655417a
dataset_final/processed/match_events.csv,1204100,9b05312a5421c53afa91177d113fceb64304755bad5c0bbde93e59e2e655996c
dataset_final/processed/match_metadata.csv,18211,c7dfb03dddd60dc0736ca972688f8d566b39acea6438ab03a54d5760f41e20d7
dataset_final/processed/match_officials.csv,16049,d15f1193527c51d371430fdd2e0f5b6205cc45e4ca61cab97f08b57ede1a7adf
dataset_final/processed/matches_full.json,14185466,000e9a9bfc9e0ecf982ad8dc95f51175e7e38e4edc30fdfba1948bc622676b0b
dataset_final/processed/matches_master.csv,66950,ee5a5ee7b16922ef65f4895019a33bf77fd62e726c5b167204b0bd420d38e733
dataset_final/processed/penalty_shootouts.csv,8194,878b53d03502a4ed6f0493745f86b5f0138c8bbd80180db1a96a0ab22c1463ee
dataset_final/processed/player_match_stats.csv,1355950,9b5b45c440f53c12cba37df4e51767c023212fd0aba97226096b5f624d8e0344
dataset_final/processed/results_validated.csv,47478,c028467b15dd3d7112c192d1aea38a27a0e2ae9792df26afc1b2e78710ce7483
dataset_final/processed/team_match_stats.csv,47781,0cfc45852e79a018488fbb2aa2d0b4f5962c069d92d29750ca3b85de5e9cb106
dataset_final/processed/team_name_aliases.csv,1197,e34767d51164eaf0bc45d93e65924a90667d2abf67ac9a9ec9acc9aeff5f1dcc
