arquivo,linhas,colunas,campos
calendar_seed.csv,104,16,jogo | data | diaSemana | horaET | horaLocal | fase | ordemFase | grupo | rodadaGrupo | equipe1 | equipe2 | confronto | estadio | cidade | pais | status
espn_matches.csv,104,46,espn_event_id | date | datetime_utc | name | short_name | phase_espn | home_team_espn | away_team_espn | home_team | away_team | home_team_id | away_team_id | home_score | away_score | home_score_90 | away_score_90 | home_score_120 | away_score_120 | home_penalty_score | away_penalty_score | home_period_scores_json | away_period_scores_json | status_name | status_description | status_detail | completed | winner_home | winner_away | venue | city | country | attendance | neutral_site | source_url | collected_at | source_sha256 | jogo | calendar_equipe1_original | calendar_equipe2_original | calendar_equipe1 | calendar_equipe2 | calendar_data | calendar_fase | mapping_confidence | mapping_reason | participant_change_required
event_mapping_report.csv,104,11,jogo | espn_event_id | date | home_team | away_team | calendar_equipe1_original | calendar_equipe2_original | mapping_confidence | mapping_reason | participant_change_required | completed
fifa_verification.csv,104,7,jogo | espn_event_id | fifa_verified | fifa_home_score | fifa_away_score | fifa_orientation | fifa_url
match_commentary.csv,11815,8,jogo | espn_event_id | sequence | clock | clock_seconds | text | source_url | collected_at
match_events.csv,4248,20,jogo | espn_event_id | event_id | period | clock | type_text | team | team_espn | player | participants_json | text | scoring_play | shootout | penalty | own_goal | yellow_card | red_card | substitution | source_url | collected_at
match_metadata.csv,104,14,jogo | espn_event_id | summary_home_team | summary_away_team | summary_home_score | summary_away_score | summary_home_penalty_score | summary_away_penalty_score | summary_winner_home | summary_winner_away | summary_completed | summary_status | source_url | collected_at
match_officials.csv,104,7,jogo | espn_event_id | official_id | official | role | source_url | collected_at
matches_master.csv,104,50,jogo | data_calendario | diaSemana | horaET | horaLocal | fase_calendario | ordemFase | grupo | rodadaGrupo | equipe1_calendario | equipe2_calendario | confronto | estadio | cidade | pais | status | data_extraido | fase_extraido | equipe1_extraido | equipe2_extraido | gols1_real | gols2_real | placar_real | gols1_90 | gols2_90 | vencedor_real | status_real | decision_method | placar_penaltis_real | vencedor_penaltis_real | fonte | source_secondary | espn_event_id | collected_at | source_sha256 | validation_status | confidence | review_required | conflict_reason | mapping_confidence | participant_change_required | scoreboard_summary_agree | fifa_agrees | has_summary | has_events | has_commentary | has_team_stats | has_player_data | has_officials | has_penalty_kicks
penalty_shootouts.csv,40,13,jogo | espn_event_id | event_id | team_id | team | team_espn | player_id | player | kick_number | converted | result | source_url | collected_at
player_match_stats.csv,5323,30,jogo | espn_event_id | team_espn | team | athlete_id | player | jersey | position | starter | active | subbed_in | subbed_out | captain | source_url | collected_at | stat_appearances | stat_foulscommitted | stat_foulssuffered | stat_owngoals | stat_redcards | stat_subins | stat_yellowcards | stat_goalsconceded | stat_saves | stat_shotsfaced | stat_goalassists | stat_shotsontarget | stat_totalgoals | stat_totalshots | stat_offsides
results_validated.csv,104,28,jogo | data | fase | equipe1 | equipe2 | gols1_real | gols2_real | placar_real | gols1_90 | gols2_90 | vencedor_real | status_real | decision_method | placar_penaltis_real | vencedor_penaltis_real | fonte | source_secondary | espn_event_id | collected_at | source_sha256 | validation_status | confidence | review_required | conflict_reason | mapping_confidence | participant_change_required | scoreboard_summary_agree | fifa_agrees
team_match_stats.csv,208,34,jogo | espn_event_id | team_espn | team | source_url | collected_at | stat_foulscommitted | stat_yellowcards | stat_redcards | stat_offsides | stat_woncorners | stat_saves | stat_possessionpct | stat_totalshots | stat_shotsontarget | stat_shotpct | stat_penaltykickgoals | stat_penaltykickshots | stat_accuratepasses | stat_totalpasses | stat_passpct | stat_accuratecrosses | stat_totalcrosses | stat_crosspct | stat_totallongballs | stat_accuratelongballs | stat_longballpct | stat_blockedshots | stat_effectivetackles | stat_totaltackles | stat_tacklepct | stat_interceptions | stat_effectiveclearance | stat_totalclearance
team_name_aliases.csv,59,2,repo_team | alias
