check,passed,severity,detail
calendar_has_104_matches,True,ERROR,Encontrados: 104
calendar_game_ids_unique,True,ERROR,Únicos: 104
scoreboard_event_ids_unique,True,ERROR,Eventos: 104
mapped_game_ids_unique,True,ERROR,Mapeados: 104
all_calendar_games_mapped,True,WARNING,Mapeados: 104
validated_games_unique,True,ERROR,Resultados: 104
completed_scores_present,True,ERROR,Placares numéricos
no_score_conflicts,True,ERROR,Conflitos: 0
summary_for_all_validated,True,WARNING,Resumos: 104
team_stats_max_two_rows_per_game,True,WARNING,Máximo: 2
game_94_belgium_advances,True,ERROR,O vencedor do jogo 94 deve ser Bélgica
game_98_spain_belgium,True,ERROR,O jogo 98 deve ser Espanha x Bélgica
