match_id,kickoff_at,forecast_valid_at,forecast_issued_no_later_than,stadium,latitude,longitude,temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_kmh,source,available_at,collected_at,temporal_status,data_quality
1,2026-06-11T19:00:00+00:00,2026-06-11T19:00:00+00:00,2026-06-10T19:00:00+00:00,Estadio Azteca,19.3029,-99.1505,22.5,57,0.0,3.3,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&start_date=2026-06-11&end_date=2026-06-11&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-10T19:00:00+00:00,2026-08-07T11:51:30.820221+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
2,2026-06-12T02:00:00+00:00,2026-06-12T02:00:00+00:00,2026-06-11T02:00:00+00:00,Estadio Akron,20.6818,-103.4627,20.7,83,0.1,10.8,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=20.6818&longitude=-103.4627&start_date=2026-06-12&end_date=2026-06-12&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-11T02:00:00+00:00,2026-08-07T11:51:31.622308+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
3,2026-06-12T19:00:00+00:00,2026-06-12T19:00:00+00:00,2026-06-11T19:00:00+00:00,BMO Field,43.6332,-79.4186,27.9,41,0.0,20.6,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&start_date=2026-06-12&end_date=2026-06-12&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-11T19:00:00+00:00,2026-08-07T11:51:32.245403+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
4,2026-06-13T01:00:00+00:00,2026-06-13T01:00:00+00:00,2026-06-12T01:00:00+00:00,SoFi Stadium,33.9535,-118.3392,20.1,85,0.0,15.5,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&start_date=2026-06-13&end_date=2026-06-13&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-12T01:00:00+00:00,2026-08-07T11:51:32.828285+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
5,2026-06-14T01:00:00+00:00,2026-06-14T01:00:00+00:00,2026-06-13T01:00:00+00:00,Gillette Stadium,42.0909,-71.2643,24.2,39,0.0,6.5,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&start_date=2026-06-14&end_date=2026-06-14&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-13T01:00:00+00:00,2026-08-07T11:51:33.512733+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
7,2026-06-13T22:00:00+00:00,2026-06-13T22:00:00+00:00,2026-06-12T22:00:00+00:00,MetLife Stadium,40.8135,-74.0745,31.3,28,0.0,12.7,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&start_date=2026-06-13&end_date=2026-06-13&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-12T22:00:00+00:00,2026-08-07T11:51:35.849977+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
8,2026-06-13T19:00:00+00:00,2026-06-13T19:00:00+00:00,2026-06-12T19:00:00+00:00,Levi's Stadium,37.403,-121.97,21.5,60,0.0,11.8,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=37.403&longitude=-121.97&start_date=2026-06-13&end_date=2026-06-13&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-12T19:00:00+00:00,2026-08-07T11:51:39.278106+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
16,2026-06-15T19:00:00+00:00,2026-06-15T19:00:00+00:00,2026-06-14T19:00:00+00:00,Lumen Field,47.5952,-122.3316,26.7,43,0.0,3.6,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&start_date=2026-06-15&end_date=2026-06-15&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-14T19:00:00+00:00,2026-08-07T11:52:16.524863+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
17,2026-06-16T19:00:00+00:00,2026-06-16T19:00:00+00:00,2026-06-15T19:00:00+00:00,MetLife Stadium,40.8135,-74.0745,26.3,25,0.0,8.4,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&start_date=2026-06-16&end_date=2026-06-16&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-15T19:00:00+00:00,2026-08-07T11:52:19.913261+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
18,2026-06-16T22:00:00+00:00,2026-06-16T22:00:00+00:00,2026-06-15T22:00:00+00:00,Gillette Stadium,42.0909,-71.2643,24.7,29,0.0,7.6,https://previous-runs-api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&start_date=2026-06-16&end_date=2026-06-16&hourly=temperature_2m_previous_day1%2Crelative_humidity_2m_previous_day1%2Cprecipitation_previous_day1%2Cwind_speed_10m_previous_day1&timezone=UTC,2026-06-15T22:00:00+00:00,2026-08-07T11:52:20.812216+00:00,PRE_MATCH_ARCHIVED_FORECAST,OBSERVED_ARCHIVED_MODEL_RUN
