espn_event_id,date,status,team_home,team_away,team_home_source_name,team_away_source_name,score_home,score_away,winner,source_url,source_publisher,date_accessed,data_leakage_risk,notes
repo_existing_1,2026-06-11,Finalizado,México,África do Sul,México,África do Sul,2,0,México,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_2,2026-06-11,Finalizado,Coreia do Sul,Tchéquia,Coreia do Sul,Tchéquia,2,1,Coreia do Sul,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_3,2026-06-12,Finalizado,Canadá,Bósnia e Herzegovina,Canadá,Bósnia e Herzegovina,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_4,2026-06-12,Finalizado,Estados Unidos,Paraguai,Estados Unidos,Paraguai,4,1,Estados Unidos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_5,2026-06-13,Finalizado,Haiti,Escócia,Haiti,Escócia,0,1,Escócia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_6,2026-06-14,Finalizado,Austrália,Turquia,Austrália,Turquia,2,0,Austrália,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_7,2026-06-13,Finalizado,Brasil,Marrocos,Brasil,Marrocos,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_8,2026-06-13,Finalizado,Catar,Suíça,Catar,Suíça,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_9,2026-06-14,Finalizado,Costa do Marfim,Equador,Costa do Marfim,Equador,1,0,Costa do Marfim,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_10,2026-06-14,Finalizado,Alemanha,Curaçao,Alemanha,Curaçao,7,1,Alemanha,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
