Grupo,Seleção,Código,Nº,Posição,Jogador,Primeiro(s) nome(s),Sobrenome(s),Nome na camisa,Data nasc.,Idade em 26/06/2026,Clube,País do clube,Altura (cm),Caps seleção,Gols seleção,Gols/cap seleção,Faixa experiência,Faixa etária,Score liga/clube,Índice proxy 0-10,Status desempenho/proxy,Observação desempenho,Técnico,Nacionalidade técnico,Estilo técnico,Sistema base,Encaixe tático provável,Fonte convocação
J,Algeria,ALG,1,GK,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,19/02/2000,26,FC Stade Nyonnais (SUI),SUI,194,2,0,0,Aposta/estreante,Pico físico/técnico,7.5,4.7,Aposta / baixo lastro estatístico,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,Goleiro limpo na saída curta,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,2,DF,MANDI Aissa,Aissa,MANDI,MANDI,22/10/1991,34,Lille OSC (FRA),FRA,184,121,8,0.066,Muito experiente,Experiente,9,8.7,Em alta / referência provável,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,Defensor construtor e seguro no passe,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,3,DF,ABADA Achref,Achref,ABADA,ABADA,15/06/1999,27,USM Alger (ALG),ALG,185,10,1,0.1,Pouca rodagem,Pico físico/técnico,6.5,6.1,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,Defensor construtor e seguro no passe,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,4,DF,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,22/01/2000,26,Espérance De Tunisie (TUN),TUN,186,30,2,0.067,Rodagem média,Pico físico/técnico,5.5,6.3,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,Defensor construtor e seguro no passe,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,5,DF,BELAID Zineddine,Zineddine,BELAÏD,BELAID,20/03/1999,27,JS Kabylie (ALG),ALG,186,19,1,0.053,Rodagem média,Pico físico/técnico,6.5,5.6,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,Defensor construtor e seguro no passe,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,6,MF,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,26/05/1998,28,FC Twente (NED),NED,183,55,3,0.055,Experiente,Pico físico/técnico,7.5,6.7,Confiável / experiente,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Meia de controle, passe progressivo e ocupação racional",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,7,FW,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,21/02/1991,35,Al Ahli FC (KSA),KSA,179,118,38,0.322,Muito experiente,Veterano,7.5,8.6,Em alta / referência provável,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Atacante móvel para tabelas, amplitude ou apoio entrelinhas",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,8,MF,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,30/06/1998,27,Al Ittihad (KSA),KSA,175,24,6,0.25,Rodagem média,Pico físico/técnico,7.5,6.9,Confiável / experiente,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Meia de controle, passe progressivo e ocupação racional",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,9,FW,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,16/02/2000,26,Olympique Marseille (FRA),FRA,180,25,11,0.44,Rodagem média,Pico físico/técnico,9,7.3,Confiável / experiente,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Atacante móvel para tabelas, amplitude ou apoio entrelinhas",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,10,MF,CHAIBI Fares,Fares,CHAIBI,CHAIBI,28/11/2002,23,Eintracht Frankfurt (GER),GER,183,33,3,0.091,Rodagem média,Emergente,9,6.4,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Meia de controle, passe progressivo e ocupação racional",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,11,FW,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,11/02/2002,24,Feyenoord Rotterdam (NED),NED,176,17,2,0.118,Rodagem média,Pico físico/técnico,7.5,5,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Atacante móvel para tabelas, amplitude ou apoio entrelinhas",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
J,Algeria,ALG,12,FW,BENBOUALI Nadhir,Ahmed Nadhir,BENBOUALI,BENBOUALI,17/04/2000,26,Györi ETO FC (HUN),HUN,190,5,2,0.4,Pouca rodagem,Pico físico/técnico,6.5,5.8,Rotação útil / regular,"Proxy calculado por caps, gols pela seleção, liga/clube e idade; não substitui estatísticas 2025/26 de clube.",PETKOVIC Vladimir,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,"Atacante móvel para tabelas, amplitude ou apoio entrelinhas",https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
