jogo,fase,grupo,data,arbitro_principal,associacao_arbitro,assistente1,assistente2,var,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,observacao
1,Fase de grupos,A,2026-06-11,AL JASSIM Abdulrahman,QAT,ABEIGNE Amos,ABOUELREGAL Mahmoud,AL-MARRI Khamis,7.9,6.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
2,Fase de grupos,A,2026-06-11,AL TURAIS Khalid,KSA,AKARKAD Mostafa,AL ABAKRY Mohammed,ALSHEHRI Abdullah,4.8,6.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
3,Fase de grupos,B,2026-06-12,ARAKI Yusuke,JPN,AL HAMMADI Mohamed,AL KALAF Mohammad,ASHOUR Mahmoud,5.8,5.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
4,Fase de grupos,D,2026-06-12,ARTAN Omar Abdulkadir,SOM,AL MAQALEH Saoud,AL MARRI Taleb,BEBEK Ivan,6.5,5.8,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
5,Fase de grupos,C,2026-06-13,ATCHO Pierre,GAB,AL ROALLE Ahmad,ARFA Lyes,BRISARD Jerome,7.6,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
6,Fase de grupos,D,2026-06-13,BARTON Ivan,SLV,ATKINS Kyle,BARREIRO Carlos,DANKERT Bastian,5.8,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
7,Fase de grupos,C,2026-06-13,BEIDA Dahane,MTN,BARWEGEN Micheal,BASHEVKIN Isaak,DEL CERRO GRANDE Carlos,6.9,5.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
8,Fase de grupos,B,2026-06-13,BENITEZ Juan Gabriel,PAR,KUPSIK Adam,BEIGI Mahbod,DELAJOD Willy,6.5,5.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
9,Fase de grupos,E,2026-06-14,CALDERON Juan,CRC,BELATTI Juan Pablo,BESWICK Gary,DI BELLO Marco,6.2,7.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
10,Fase de grupos,E,2026-06-14,CLAUS Raphael,BRA,BINDONI Daniele,BISGUERRA Marco,DICKERSON Joe,8.2,4.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
11,Fase de grupos,F,2026-06-14,ELFATH Ismail,USA,BRINSI Zakaria,BRUNO BOSCHILIA,EL FARIQ Hamza,8.0,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
12,Fase de grupos,F,2026-06-14,ESKAS Espen,NOR,BRUNO PIRES,BURT Stuart,EVANS Shaun,6.4,6.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
