Grupo,Seleção,Código,Técnico,Primeiro(s) nome(s),Sobrenome,Nacionalidade,Estilo técnico,Sistema base,Intensidade,Posse,Pressão,Risco tático,Observação
A,Czechia,CZE,KOUBEK Miroslav,Miroslav,KOUBEK,Czech Republic,"jogo físico, direto e forte em bolas paradas",3-4-3 / 4-2-3-1,alta,baixa-média,média,criação contra defesa postada,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
A,Korea Republic,KOR,HONG Myungbo,Myung Bo,HONG,Korea Republic,"intensidade, velocidade e jogo pelos lados",4-2-3-1,alta,média,média-alta,espaço nas laterais,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
A,Mexico,MEX,AGUIRRE Javier,Javier,AGUIRRE ONAINDIA,Mexico,"pragmático, competitivo, transição e bola parada",4-3-3 / 4-2-3-1,alta,média,média-alta,controle emocional em mata-mata,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
A,South Africa,RSA,BROOS Hugo,Hugo Henri,BROOS,Belgium,bloco compacto e contra-ataque,4-2-3-1,alta,baixa-média,média,criação contra favoritos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
B,Bosnia And Herzegovina,BIH,BARBAREZ Sergej,Sergej,BARBAREZ,Bosnia And Herzegovina,"jogo direto, experiência e cruzamentos",4-2-3-1,média,baixa-média,baixa,baixa mobilidade defensiva,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
B,Canada,CAN,MARSCH Jesse,Jesse Alan,MARSCH,USA,"pressão alta, verticalidade e transição rápida",4-2-3-1 / 3-4-3,muito alta,média,alta,controle emocional e exposição dos laterais,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
B,Qatar,QAT,LOPETEGUI Julen,Julian,LOPETEGUI ARGOTE,Spain,"posse, saída curta e controle territorial",4-3-3 / 4-2-3-1,média,alta,média,defesa em transição,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
B,Switzerland,SUI,YAKIN Murat,Murat,YAKIN,Switzerland,"sistema flexível, bloco médio e eficiência",3-4-2-1 / 4-2-3-1,média-alta,média,média,ritmo ofensivo contra blocos baixos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
C,Brazil,BRA,ANCELOTTI Carlo,Carlo,ANCELOTTI,Italy,"equilíbrio, liberdade ofensiva e transição de elite",4-3-3 / 4-2-3-1,alta,alta,alta situacional,espaço entre linhas quando perde bola,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
C,Haiti,HAI,MIGNE Sebastien,Sébastien Bernard Henri C,MIGNÉ,France,"bloco baixo, luta física e transições",4-4-2 / 5-4-1,alta,baixa,baixa,defesa sob volume alto de finalizações,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
C,Morocco,MAR,OUAHBI Mohamed,Mohamed,OUAHBI,Morocco,organização defensiva e contra-ataque,4-3-3 / 4-1-4-1,alta,média,média,jogos em que precisa propor,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
C,Scotland,SCO,CLARKE Steve,Stephen,CLARKE,Scotland,"linha de 5, intensidade e bola parada",3-4-2-1 / 5-4-1,alta,baixa-média,média,saída sob pressão,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
