data_brt;grupo;jogo;selecao;jogador;posicao;tipo_desempenho;descricao;gols;assistencias;cartoes_amarelos;cartoes_vermelhos;defesas_ou_pênaltis;minutos;source_url;observacoes
2026-06-26;I;Noruega 1 x 4 França;França;Ousmane Dembélé;Atacante;Destaque máximo;"3 gols; 25 passes; gols aos 7, 20 e 32 minutos; hat-trick no 1º tempo.";3;0;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por boxscore/match report
2026-06-26;I;Noruega 1 x 4 França;França;Kylian Mbappé;Atacante;Criador decisivo;"2 assistências; 2 finalizações no alvo; 27 passes; assistiu os gols de Dembélé aos 7 e 20.";0;2;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por boxscore
2026-06-26;I;Noruega 1 x 4 França;França;Aurélien Tchouaméni;Meio-campo;Contribuição ofensiva e cartão;"Assistência para o 3º gol de Dembélé aos 32; cartão amarelo aos 74.";0;1;1;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por eventos do jogo
2026-06-26;I;Noruega 1 x 4 França;França;Désiré Doué;Meio/ataque;Impacto ofensivo;"Marcou o 4º gol aos 90+3; também teve finalizações no alvo no início do jogo.";1;0;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por eventos do jogo
2026-06-26;I;Noruega 1 x 4 França;França;Bradley Barcola;Atacante;Impacto saindo do banco;"Entrou aos 65; assistência para Doué no 4º gol; finalização no alvo aos 81.";0;1;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por eventos do jogo
2026-06-26;I;Noruega 1 x 4 França;França;Mike Maignan;Goleiro;Defensivo decisivo;Defendeu/segurou pênalti de Jørgen Strand Larsen aos 50, evitando reação norueguesa.;0;0;;;1 pênalti defendido;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;"penalty kick was no good no boxscore; report cita defesa"
2026-06-26;I;Noruega 1 x 4 França;Noruega;Thèlo Aasgaard;Meio-campo;Destaque da Noruega;"1 gol aos 21; 37 passes; principal produção ofensiva norueguesa.";1;0;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por boxscore
2026-06-26;I;Noruega 1 x 4 França;Noruega;Andreas Schjelderup;Atacante/meia;Criação ofensiva;"1 assistência para Aasgaard; 23 passes.";0;1;;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por boxscore
2026-06-26;I;Noruega 1 x 4 França;Noruega;Jørgen Strand Larsen;Atacante;Desempenho negativo no lance-chave;"Finalização aos 14; finalização no alvo e pênalti perdido aos 50 quando Noruega ainda perdia por 3-1.";0;0;;;0/1 pênaltis;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por eventos do jogo
2026-06-26;I;Noruega 1 x 4 França;Noruega;Patrick Berg;Meio-campo;Advertido;"Cartão amarelo aos 10; cobrou escanteios no 2º tempo.";0;0;1;;;;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676;confirmado por eventos do jogo
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Habib Diarra;Meio-campo;Abertura do placar;Fez o 1º gol aos 4, completando de perto após lance de escanteio.;1;0;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;confirmado por Opta Analyst
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Sadio Mané;Atacante;Gerou lance decisivo;"Sofreu falta de Rebin Sulaka no lance que gerou vermelho; teve falta defendida por Basil e finalização por cima antes do intervalo.";0;0;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;contribuição de evento, não gol/assistência
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Ismaïla Sarr;Atacante;Destaque/recorde;"Fez gol aos 56; terminou com gol e assistência; tornou-se maior artilheiro senegalês em Copas, com 4 gols.";1;1;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;confirmado por Opta Analyst/Reuters
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Lamine Camara;Meio-campo;Pressão e assistência;Desarmou/roubou a bola de Zidane Iqbal e avançou para servir Sarr no 2º gol.;0;1;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;assistência inferida pelo passe descrito no relatório
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Pape Gueye;Meio-campo;Impacto saindo do banco;"Entrou no 2º tempo e marcou dois gols de longa distância, aos 59 e 71; também registrou assistência segundo Opta.";2;1;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;confirmado por Opta Analyst
2026-06-26;I;Senegal 5 x 0 Iraque;Senegal;Iliman Ndiaye;Meio-campo/ataque;Impacto final;"Fez o 5º gol aos 82 e também registrou assistência; Opta destaca assistência como substituto.";1;1;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;confirmado por Opta Analyst
2026-06-26;I;Senegal 5 x 0 Iraque;Iraque;Rebin Sulaka;Defensor;Desempenho negativo;Expulso aos 13 após falta em Sadio Mané que impediu chance clara de gol.;0;0;;1;;;https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/;confirmado por Reuters/Opta
2026-06-26;I;Senegal 5 x 0 Iraque;Iraque;Zidane Iqbal;Meio-campo;Erro punido;Perdeu a posse para Lamine Camara no lance que originou o gol de Sarr.;0;0;;;;;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026;evento negativo citado no relatório
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Cabo Verde;Vozinha;Goleiro;Segurança/controle;"Manteve o zero; citado como destaque do torneio e mostrou calma na saída curta, embora tenha tido um lance de domínio inseguro aos 66.";0;0;;;clean sheet;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;"avaliação qualitativa; sem estatística oficial de defesas no recorte"
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Cabo Verde;Willy Semedo;Meio-campo;Melhor em campo citado;"Saiu aos 62; Guardian o chamou, com margem, de melhor jogador em campo até aquele momento.";0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;avaliação qualitativa de live report
