data_brt;grupo;jogo;selecao;jogador;posicao;tipo_desempenho;descricao;gols;assistencias;cartoes_amarelos;cartoes_vermelhos;defesas_ou_pênaltis;minutos;source_url;observacoes
2026-06-27;G;Egito 1 x 1 Irã;Egito;Saber;Meio/ataque;Gol;Abriu o placar aos 5 minutos.;1;0;;;;;https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest;confirmado por match report
2026-06-27;G;Egito 1 x 1 Irã;Irã;Ramin Rezaeian;Defensor;Gol;Empatou aos 14 minutos.;1;0;;;;;https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest;confirmado por match report
2026-06-27;G;Egito 1 x 1 Irã;Irã;Mehdi Taremi;Atacante;Volume ofensivo/desperdício;Teve pênalti defendido e cabeçada no travessão.;0;0;;;pênalti perdido;;https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/;confirmado por match report
2026-06-27;G;Egito 1 x 1 Irã;Irã;Shoja Khalilzadeh;Defensor;Gol anulado;Teve gol anulado nos acréscimos por impedimento.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest;confirmado por match report
2026-06-27;G;Egito 1 x 1 Irã;Egito;Mohamed Salah;Atacante;Lesão/risco físico;"Saiu com lesão muscular; EFA iniciou tratamento e não confirmou retorno imediato.";0;0;;;;;https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/;confirmado por match report
2026-06-27;G;Nova Zelândia 1 x 5 Bélgica;Bélgica;Leandro Trossard;Atacante;Destaque máximo;Marcou dois gols e também preparou o gol de De Bruyne.;2;1;;;;;https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/;confirmado por match report
2026-06-27;G;Nova Zelândia 1 x 5 Bélgica;Bélgica;Kevin De Bruyne;Meio-campo;Gol e criação;Assistiu o 1º gol de Trossard e marcou o 3º da Bélgica.;1;1;;;;;https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/;confirmado por match report
2026-06-27;G;Nova Zelândia 1 x 5 Bélgica;Bélgica;Romelu Lukaku;Atacante;Gol/recorde;Marcou de cabeça e tornou-se maior artilheiro belga em Copas.;1;0;;;;;https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/;confirmado por match report
2026-06-27;G;Nova Zelândia 1 x 5 Bélgica;Bélgica;Alexis Saelemaekers;Meio/ataque;Gol;Fez o quinto gol belga nos acréscimos.;1;0;;;;;https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/;confirmado por match report
2026-06-27;G;Nova Zelândia 1 x 5 Bélgica;Nova Zelândia;Elijah Just;Meio/ataque;Gol;Marcou o gol de honra da Nova Zelândia aos 84 minutos.;1;0;;;;;https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/;confirmado por match report
