data_brt;grupo;jogo_id;seleção_a;placar_a;seleção_b;placar_b;status;resultado;principais_eventos;destaques;observações;source_urls
2026-06-26;I;WC2026_GI_NOR_FRA_20260626;Noruega;1;França;4;Finalizado;"França venceu e terminou em 1º no Grupo I; Noruega já classificada terminou em 2º.";"Dembélé 7, 20, 32; Aasgaard 21; Doué 90+3; Strand Larsen perdeu pênalti aos 50; Haaland e Ødegaard ficaram no banco.";"Ousmane Dembélé: hat-trick; Kylian Mbappé: 2 assistências; Mike Maignan: pênalti defendido; Thèlo Aasgaard: gol da Noruega.";"Noruega usou escalação bastante alternativa; análise limitada aos eventos e estatísticas publicamente disponíveis.";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/
2026-06-26;I;WC2026_GI_SEN_IRQ_20260626;Senegal;5;Iraque;0;Finalizado;"Senegal venceu, terminou em 3º no Grupo I e manteve chance de avançar entre melhores terceiros; Iraque eliminado sem pontos.";"Diarra 4; Rebin Sulaka expulso aos 13; Sarr 56; Pape Gueye 59 e 71; Iliman Ndiaye 82.";"Pape Gueye: 2 gols saindo do banco; Ismaïla Sarr: gol e recorde senegalês em Copas; Lamine Camara: recuperação e passe no 2º gol; Iliman Ndiaye: gol e assistência.";Senegal produziu 3,03 xG em 28 finalizações contra 0,18 xG em 6 finalizações do Iraque, segundo Opta Analyst.;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/
2026-06-26;H;WC2026_GH_CPV_KSA_20260626;Cabo Verde;0;Arábia Saudita;0;Finalizado;"Cabo Verde empatou e confirmou vaga na fase de 32; Arábia Saudita foi eliminada.";"Jogo sem gols; Cabo Verde terminou melhor, criou chances no fim; Al-Owais defendeu chance clara de Laros Duarte; Al-Amri bloqueou chute de Wagner Pina.";"Willy Semedo foi citado como melhor em campo antes de sair; Vozinha manteve controle e segurança; Mohammed Al-Owais fez defesa importante; Wagner Pina teve atuação destacada.";Partida de baixa conversão ofensiva, mas com vantagem territorial e xG de Cabo Verde no fim do jogo.;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
2026-06-26;H;WC2026_GH_URU_ESP_20260626;Uruguai;0;Espanha;1;Finalizado;Espanha venceu, terminou em 1º no Grupo H e eliminou o Uruguai.;"Álex Baena 42; cartões amarelos para Baena, Juan Sanabria, Guillermo Varela e Nicolás de la Cruz; vermelho para Agustín Canobbio.";"Álex Baena decidiu o jogo; Unai Simón segurou chances de Maxi Araújo e De la Cruz; Muslera falhou no lance do gol e foi substituído no intervalo; Canobbio foi expulso.";Uruguai precisava vencer, mas teve pouco volume ofensivo e terminou o torneio com 2 pontos.;https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
2026-06-27;G;WC2026_GG_EGY_IRN_20260626;Egito;1;Irã;1;Finalizado;"Egito empatou com Irã e avançou em 2º no Grupo G; Irã ficou dependente dos demais terceiros e acabou eliminado após os resultados do Grupo J.";"Saber 5; Rezaeian 14; Taremi teve pênalti defendido e cabeceou no travessão; Khalilzadeh teve gol anulado no fim por impedimento.";"Saber marcou cedo; Ramin Rezaeian empatou; Taremi centralizou chances iranianas, mas desperdiçou pênalti; Mohamed Salah saiu com desconforto/lesão muscular.";"Sem rating público uniforme; foram usados eventos de jogo e relatos de match report.";https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
2026-06-27;G;WC2026_GG_NZL_BEL_20260626;Nova Zelândia;1;Bélgica;5;Finalizado;"Bélgica venceu por 5-1, terminou líder do Grupo G e avançou; Nova Zelândia foi eliminada.";"Trossard 28 e 50; De Bruyne fez o 3º; Elijah Just 84; Lukaku e Saelemaekers ampliaram no fim.";"Leandro Trossard foi decisivo com dois gols e participação no gol de De Bruyne; De Bruyne marcou e assistiu; Lukaku marcou e virou artilheiro belga em Copas; Elijah Just fez o gol neozelandês.";"Bélgica dominou posse e volume ofensivo; registro baseado em Reuters.";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
2026-06-27;L;WC2026_GL_PAN_ENG_20260627;Panamá;0;Inglaterra;2;Finalizado;"Inglaterra venceu e terminou líder do Grupo L; Panamá encerrou a fase sem pontos.";"Bellingham 62; Kane 67; Mosquera fez defesas em Rashford/Kane; Pickford evitou chance de José Rodríguez.";"Jude Bellingham marcou e assistiu; Harry Kane marcou seu 11º gol em Copas por Inglaterra; Jordan Pickford teve defesa importante; Orlando Mosquera impediu placar maior.";"Sem notas públicas uniformes; eventos extraídos de match report.";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
2026-06-27;L;WC2026_GL_CRO_GHA_20260627;Croácia;2;Gana;1;Finalizado;"Croácia venceu e terminou em 2º no Grupo L; Gana avançou como terceira colocada.";"Petar Sučić 31; Derrick Luckassen 73; Nikola Vlašić 83; Modrić assistiu em escanteio.";"Luka Modrić jogou 90 minutos e deu assistência; Vlašić decidiu; Sučić abriu com chute de longe; Luckassen empatou em sua estreia; Semenyo teve problema no tornozelo.";Gana melhorou no segundo tempo, mas Croácia definiu em bola parada.;https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
2026-06-27;J;WC2026_GJ_ALG_AUT_20260627;Argélia;3;Áustria;3;Finalizado;Empate classificou Áustria e Argélia para a fase de 32 e eliminou o Irã.;"Arnautović 28; Belghali antes do intervalo; Sabitzer 55; Mahrez 60 e nos acréscimos; Kalajdžić 96.";"Riyad Mahrez marcou duas vezes e liderou reação argelina; Sasa Kalajdžić saiu do banco e salvou a Áustria; David Alaba deu passe longo no 1º gol austríaco; Rafik Belghali fez gol de grande execução individual.";Jogo com final caótico e dois gols nos acréscimos.;https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
2026-06-27;J;WC2026_GJ_JOR_ARG_20260627;Jordânia;1;Argentina;3;Finalizado;"Argentina venceu a terceira seguida e terminou líder do Grupo J; Jordânia foi eliminada.";"Lo Celso 19; Lautaro Martínez 31 pênalti; Altamari 55; Messi 80 falta.";"Lionel Messi marcou de falta e ampliou recorde; Giovani Lo Celso comandou o início e abriu o placar; Lautaro converteu pênalti; Mousa Altamari marcou o gol jordaniano.";Argentina usou equipe bastante modificada, com Messi entrando no segundo tempo.;https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
