jogo,data,dia_semana,fase,time_1,gols_time_1,gols_time_2,time_2,placar,status,fonte
1,2026-06-11,Quinta-feira,Fase de grupos,México,2,0,África do Sul,México 2 x 0 África do Sul,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2,2026-06-11,Quinta-feira,Fase de grupos,Coreia do Sul,2,1,Tchéquia,República da Coreia 2 x 1 Tchéquia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
3,2026-06-12,Sexta-feira,Fase de grupos,Canadá,1,1,Bósnia e Herzegovina,Canadá 1 x 1 Bósnia e Herzegovina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
4,2026-06-12,Sexta-feira,Fase de grupos,Estados Unidos,4,1,Paraguai,Estados Unidos 4 x 1 Paraguai,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
5,2026-06-13,Sábado,Fase de grupos,Haiti,0,1,Escócia,Haiti 0 x 1 Escócia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
6,2026-06-14,Sábado,Fase de grupos,Austrália,2,0,Turquia,Austrália 2 x 0 Turquia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
7,2026-06-13,Sábado,Fase de grupos,Brasil,1,1,Marrocos,Brasil 1 x 1 Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
8,2026-06-13,Sábado,Fase de grupos,Catar,1,1,Suíça,Catar 1 x 1 Suíça,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
9,2026-06-14,Domingo,Fase de grupos,Costa do Marfim,1,0,Equador,Costa do Marfim 1 x 0 Equador,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
10,2026-06-14,Domingo,Fase de grupos,Alemanha,7,1,Curaçao,Alemanha 7 x 1 Curaçao,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
11,2026-06-14,Domingo,Fase de grupos,Países Baixos,2,2,Japão,Holanda 2 x 2 Japão,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
12,2026-06-14,Domingo,Fase de grupos,Suécia,5,1,Tunísia,Suécia 5 x 1 Tunísia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
13,2026-06-15,Segunda-feira,Fase de grupos,Arábia Saudita,1,1,Uruguai,Arábia Saudita 1 x 1 Uruguai,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
14,2026-06-15,Segunda-feira,Fase de grupos,Espanha,0,0,Cabo Verde,Espanha 0 x 0 Cabo Verde,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
15,2026-06-15,Segunda-feira,Fase de grupos,Irã,2,2,Nova Zelândia,Irã 2 x 2 Nova Zelândia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
16,2026-06-15,Segunda-feira,Fase de grupos,Bélgica,1,1,Egito,Bélgica 1 x 1 Egito,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
17,2026-06-16,Terça-feira,Fase de grupos,França,3,1,Senegal,França 3 x 1 Senegal,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
18,2026-06-16,Terça-feira,Fase de grupos,Iraque,1,4,Noruega,Iraque 1 x 4 Noruega,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
