ID;Data;Jogo;Placar;Jogadores/linhas de destaque;Leitura de desempenho;Limitações/observações;Fonte desempenho;Fonte resultado
1;2026-06-11;México x África do Sul;2-0;"Julián Quiñones; Raúl Jiménez; meio-campo mexicano";"México controlou posse e volume ofensivo; África do Sul pouco criou e sofreu com expulsões.";Sem notas públicas uniformes para todos os atletas.;https://www.si.com/soccer/mexico-player-ratings-2-0-win-south-africa;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2;2026-06-11;República da Coreia x Tchéquia;2-1;"Hwang In-beom; Oh Hyeon-gyu; Ladislav Krejčí";"Coreia virou após sair atrás; Hwang liderou a reação com gol e assistência para o reserva Oh.";;https://www.theguardian.com/football/2026/jun/11/south-korea-czech-republic-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
3;2026-06-12;Canadá x Bósnia e Herzegovina;1-1;"Cyle Larin; Jovo Lukić; Maxime Crépeau";"Canadá buscou empate no fim; Crépeau foi relevante com defesa em situação clara.";Fonte pública trouxe ratings de parte do elenco canadense, não de todos os jogadores.;https://www.si.com/soccer/canada-player-ratings-1-1-draw-bosnia-and-herzegovina;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
4;2026-06-12;Estados Unidos x Paraguai;4-1;"Folarin Balogun; Gio Reyna; Alex Freeman; Christian Pulisic";EUA foram muito superiores, com Balogun decisivo no primeiro tempo e Reyna fechando o placar.;;https://www.foxsports.com/stories/soccer/usmnt-player-ratings-usa-4-1-paraguay;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
5;2026-06-13;Catar x Suíça;1-1;"Breel Embolo; Miro Muheim; Boualem Khoukhi; Homam Ahmed";Suíça produziu muito mais chances, mas sofreu empate tardio após pressão no cruzamento.;;https://www.theguardian.com/football/2026/jun/13/qatar-switzerland-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
6;2026-06-13;Brasil x Marrocos;1-1;"Vinícius Jr.; Ismael Saibari; Bruno Guimarães; Brahim Díaz";"Marrocos competiu bem e saiu na frente; Brasil respondeu com gol de alto nível de Vini Jr. após passe de Bruno.";;https://www.theguardian.com/football/2026/jun/13/brazil-morocco-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
7;2026-06-13;Haiti x Escócia;0-1;John McGinn;"Jogo de poucas chances; McGinn decidiu com gol ainda no primeiro tempo.";;https://www.skysports.com/football/news/11095/13549488/world-cup-2026-scotland-1-0-haiti-john-mcginn-scores-winner-as-steve-clarkes-side-secure-first-win-since-1990;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
8;2026-06-14;Austrália x Turquia;2-0;"Nestory Irankunda; Connor Metcalfe; Patrick Beach; Arda Güler";"Austrália foi eficiente e teve goleiro seguro; Turquia teve lampejos, principalmente com Arda Güler.";;https://www.theguardian.com/football/2026/jun/14/australia-turkey-player-ratings-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
9;2026-06-14;Alemanha x Curaçao;7-1;"Kai Havertz; Deniz Undav; Jamal Musiala; Livano Comenencia";"Alemanha teve goleada ampla; Havertz liderou a produção ofensiva e Undav somou gol/assistência.";;https://www.espn.com/soccer/report/_/gameId/773857;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
10;2026-06-14;Holanda x Japão;2-2;"Virgil van Dijk; Daichi Kamada; Crysencio Summerville; Keito Nakamura";"Partida equilibrada e aberta; Japão buscou empate no fim com Kamada.";;https://www.theguardian.com/football/2026/jun/14/netherlands-japan-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
11;2026-06-14;Costa do Marfim x Equador;1-0;"Amad Diallo; John Yeboah; Alan Minda";Equador criou perigo no início, mas Costa do Marfim decidiu no fim com Amad.;;https://www.skysports.com/football/news/12040/13550087/world-cup-2026-ivory-coast-1-0-ecuador-amad-diallo-scores-late-winner;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
12;2026-06-14;Suécia x Tunísia;5-1;"Yasin Ayari; Alexander Isak; Viktor Gyökeres";"Ataque sueco dominou; Ayari brilhou com dois gols e Isak/Gyökeres confirmaram força ofensiva.";;https://www.espn.com/soccer/report/_/gameId/773850;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
13;2026-06-15;Espanha x Cabo Verde;0-0;"Vozinha; Gavi; Ferran Torres; Lamine Yamal";Espanha acumulou volume e xG alto, mas Vozinha sustentou o empate com várias defesas.;"Ratings completos divergiam por fonte; análise prioriza estatísticas e eventos.";https://www.espn.com/soccer/match/_/gameId/773864/spain-cape-verde-islands;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
14;2026-06-15;Bélgica x Egito;1-1;"Emam Ashour; Romelu Lukaku; Mohamed Hany";"Egito foi melhor no início; Bélgica melhorou com Lukaku e empatou em gol contra.";;https://www.espn.com/soccer/report/_/gameId/773865;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
15;2026-06-15;Arábia Saudita x Uruguai;1-1;"Abdulelah Al-Amri; Maxi Araújo";"Uruguai teve muito volume e finalizações, mas só empatou no fim; Sauditas foram eficientes.";;https://theanalyst.com/na/2026/06/saudi-arabia-uruguay-stats-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
16;2026-06-15;Irã x Nova Zelândia;2-2;"Elijah Just; Ramin Rezaeian; Mohammad Mohebbi";"Nova Zelândia liderou duas vezes com Elijah Just; Irã reagiu duas vezes.";;https://www.espn.com/soccer/report/_/gameId/773863;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
17;2026-06-16;França x Senegal;3-1;"Kylian Mbappé; Bradley Barcola; Michael Olise; Ibrahim Mbaye";"Mbappé decidiu com dois gols; França virou/abriu distância, Senegal só reduziu no fim.";;https://www.theguardian.com/football/2026/jun/16/france-senegal-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
18;2026-06-16;Iraque x Noruega;1-4;"Erling Haaland; Aymen Hussein";"Noruega venceu com força ofensiva de Haaland; Iraque chegou a empatar antes da arrancada norueguesa.";;https://www.theguardian.com/football/2026/jun/16/iraq-norway-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
19;2026-06-16;Argentina x Argélia;3-0;Lionel Messi;Messi resolveu praticamente sozinho com hat-trick e igualou recorde histórico de gols em Copas.;;https://www.espn.com/soccer/story/_/id/49050456/lionel-messi-hat-trick-argentina-algeria-world-cup;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
20;2026-06-17;Áustria x Jordânia;3-1;"Romano Schmid; Ali Olwan; Yazan Al-Arab; Marko Arnautović";Jordânia competiu e marcou gol histórico, mas Áustria foi mais decisiva no fim.;;https://rg.org/news/soccer/austria-vs-jordan-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
21;2026-06-17;Portugal x RD do Congo;1-1;"João Neves; Yoane Wissa; Cédric Bakambu; Cristiano Ronaldo";"Portugal começou bem, mas RD Congo reagiu; Wissa deu primeiro ponto/gol mundialista ao país.";;https://www.aljazeera.com/sports/liveblog/2026/6/17/live-portugal-vs-dr-congo-fifa-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
22;2026-06-17;Inglaterra x Croácia;4-2;"Harry Kane; Noni Madueke; Jude Bellingham; Dominik Livaković; Marcus Rashford";"Inglaterra cresceu no segundo tempo; Kane fez dois, Madueke foi forte no desequilíbrio e Livaković evitou placar maior.";;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
23;2026-06-17;Gana x Panamá;1-0;"Caleb Yirenkyi; Brandon Thomas-Asante";"Partida travada; Gana decidiu no fim com jogada de Thomas-Asante para Yirenkyi.";;https://www.theguardian.com/football/2026/jun/17/ghana-panama-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
