grupo;posicao_grupo;selecao;jogos;vitorias;empates;derrotas;pontos;gols_pro;gols_contra;saldo_gols;xg_total;xg_contra_total;xg_diff;gols_acima_ou_abaixo_xg;gols_sofridos_acima_ou_abaixo_xga;finalizacoes_pro;finalizacoes_contra;finalizacoes_alvo_pro;finalizacoes_alvo_contra;grandes_chances_pro;grandes_chances_contra;posse_media_pct;passes_certos;passes_total;precisao_passe_media_pct;toques_area_total;toques_area_contra_total;entradas_terco_final_total;entradas_terco_final_contra_total;desarmes_total;interceptacoes_total;cortes_total;recuperacoes_total;defesas_goleiro_total;gols_evitados_goleiro_total;clean_sheets;faltas_cometidas;faltas_sofridas;cartoes_amarelos;cartoes_vermelhos;gols_bola_parada;gols_contra_ataque;gols_penalti;gols_reservas;impacto_banco;forca_media_adversarios;indice_ofensivo;indice_defensivo;indice_eficiencia;indice_desempenho_geral_0_100;tag_desempenho;jogador_destaque;goleiro_destaque;classificado_mata_mata;tipo_classificacao;observacao_estudo_pos_copa;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
A;1;México;3;3;0;0;9;6;0;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Julián Quiñones;Raúl Rangel;Sim;top2_grupo;México terminou o Grupo A em 1º, com 9 pontos, 6 gols pró e 0 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
A;2;África do Sul;3;1;1;1;4;2;3;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;Teboho Mokoena;Ronwen Williams;Sim;top2_grupo;África do Sul terminou o Grupo A em 2º, com 4 pontos, 2 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
A;3;Coreia do Sul;3;1;0;2;3;2;3;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;Kim Seung-gyu;Nao;eliminado;Coreia do Sul terminou o Grupo A em 3º, com 3 pontos, 2 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
A;4;Tchéquia;3;0;1;2;1;2;6;-4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;Matěj Kovář;Nao;eliminado;Tchéquia terminou o Grupo A em 4º, com 1 pontos, 2 gols pró e 6 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
B;1;Suíça;3;2;1;0;7;7;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;forte;Granit Xhaka;NA;Sim;top2_grupo;Suíça terminou o Grupo B em 1º, com 7 pontos, 7 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
B;2;Canadá;3;1;1;1;4;8;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;eficiente;Stephen Eustáquio;Maxime Crépeau;Sim;top2_grupo;Canadá terminou o Grupo B em 2º, com 4 pontos, 8 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
B;3;Bósnia e Herzegovina;3;1;1;1;4;5;6;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Bósnia e Herzegovina terminou o Grupo B em 3º, com 4 pontos, 5 gols pró e 6 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
B;4;Catar;3;0;1;2;1;2;10;-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Catar terminou o Grupo B em 4º, com 1 pontos, 2 gols pró e 10 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
C;1;Brasil;3;2;1;0;7;7;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Matheus Cunha;Alisson;Sim;top2_grupo;Brasil terminou o Grupo C em 1º, com 7 pontos, 7 gols pró e 1 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
C;2;Marrocos;3;2;1;0;7;6;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;forte;Ismael Saibari;Bono;Sim;top2_grupo;Marrocos terminou o Grupo C em 2º, com 7 pontos, 6 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
