jogo_id;jogo;data;fase;grupo;selecao;adversario;jogador;posicao;titular;minutos;gols;assistencias;xg;xa;finalizacoes;finalizacoes_alvo;chances_criadas;passes_chave;passes_certos;passes_total;dribles_certos;dribles_tentados;duelos_ganhos;duelos_total;desarmes;interceptacoes;cortes;recuperacoes;defesas;gols_evitados;cartao_amarelo;cartao_vermelho;rating;foi_jogador_partida;foi_reserva_decisivo;tipo_impacto;observacao;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
GA01_1;1;2026-06-11;Fase de grupos;A;México;África do Sul;Julián Quiñones;ATA;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Sim;Nao;gol;Abriu o placar e foi eleito jogador da partida.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA01_1;1;2026-06-11;Fase de grupos;A;México;África do Sul;Raúl Jiménez;ATA;Sim;;1;1;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Fez o 2-0 de cabeça após cruzamento de Roberto Alvarado.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;Coreia do Sul;Tchéquia;Hwang In-beom;MEI;Sim;;1;1;;;;;;;;;;;;;;;;;;;;;;Sim;Nao;criacao;Empatou o jogo, liderou a virada e foi jogador da partida.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;Coreia do Sul;Tchéquia;Oh Hyeon-gyu;ATA;Nao;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Sim;reserva_decisivo;Saiu do banco para marcar o gol da vitória por 2-1.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC01_5;5;2026-06-13;Fase de grupos;C;Escócia;Haiti;John McGinn;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Marcou o gol da vitória escocesa.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Media;2026-06-30
GC01_7;7;2026-06-13;Fase de grupos;C;Brasil;Marrocos;Vinícius Júnior;ATA;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Fez o gol brasileiro no empate em 1-1.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC01_7;7;2026-06-13;Fase de grupos;C;Marrocos;Brasil;Ismael Saibari;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Respondeu ao gol brasileiro e manteve o Marrocos competitivo.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;Tchéquia;África do Sul;Michal Sadílek;MEI;Nao;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Abriu o placar na parte inicial.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;África do Sul;Tchéquia;Teboho Mokoena;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Converteu o pênalti do empate aos 83 minutos.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA02_28;28;2026-06-18;Fase de grupos;A;México;Coreia do Sul;Luis Romo;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Sim;Nao;gol;Aproveitou erro do goleiro e decidiu o jogo.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC02_29;29;2026-06-19;Fase de grupos;C;Brasil;Haiti;Matheus Cunha;ATA;Sim;;2;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Fez dois gols na vitória por 3-0.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC02_30;30;2026-06-19;Fase de grupos;C;Marrocos;Escócia;Ismael Saibari;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Anotou o único gol do jogo.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC03_49;49;2026-06-24;Fase de grupos;C;Brasil;Escócia;Vinícius Júnior;ATA;Sim;;2;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Marcou duas vezes na classificação brasileira.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GC03_50;50;2026-06-24;Fase de grupos;C;Marrocos;Haiti;Ismael Saibari;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Voltou a marcar na vitória por 4-2.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA03_53;53;2026-06-24;Fase de grupos;A;México;Tchéquia;Mateo Chávez;DEF;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Sim;Nao;gol;Abriu a vitória por 3-0 e foi jogador da partida.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
GA03_53;53;2026-06-24;Fase de grupos;A;Tchéquia;México;Tomáš Souček;MEI;Nao;;0;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;lesao;Saiu lesionado na derrota para o México, segundo a Reuters.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Media;2026-06-30
GA03_54;54;2026-06-24;Fase de grupos;A;África do Sul;Coreia do Sul;Thapelo Maseko;ATA;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Marcou o gol da classificação sul-africana.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
R32_73;73;2026-06-28;Round of 32;;Canadá;África do Sul;Stephen Eustáquio;MEI;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Fez o gol tardio da vitória canadense.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
R32_75;75;2026-06-29;Round of 32;;Marrocos;Países Baixos;Bono;GOL;Sim;;0;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;goleiro_decisivo;"Marrocos avançou nos pênaltis; Bono foi central no desfecho.";Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Media;2026-06-30
R32_76;76;2026-06-29;Round of 32;;Brasil;Japão;Gabriel Martinelli;ATA;Sim;;1;;;;;;;;;;;;;;;;;;;;;;;Nao;Nao;gol;Marcou no fim e colocou o Brasil nas oitavas.;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;data/resultados_reais.csv;Alta;2026-06-30
R32_77;77;2026-06-30;Round of 32;NA;França;Suécia;Bradley Barcola;ATA;Sim;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;gol;Marcou o segundo gol da França aos 53 minutos.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_77;77;2026-06-30;Round of 32;NA;França;Suécia;Kylian Mbappé;ATA;Sim;NA;2;NA;NA;NA;NA;4;NA;NA;NA;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sim;Nao;gols;"Marcou aos 45 e 74 e chegou a 6 gols no torneio; FOX listou 4 finalizações no alvo e 36 passes.";pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
