jogo;data;fase;equipe1;equipe2;placar_real;selecao;adversario;xg_pro;xg_contra;posse_pct;finalizacoes;finalizacoes_contra;finalizacoes_alvo;finalizacoes_alvo_contra;grandes_chances;grandes_chances_contra;toques_area;toques_area_contra;entradas_terco_final;entradas_terco_final_contra;passes_certos;passes_total;cruzamentos_certos;cruzamentos_total;duelos_aereos_ganhos;duelos_aereos_total;recuperacoes;clearances;interceptacoes;erros_gol;jogador_destaque;rating_sofascore;tipo_desempenho;detalhe_pesquisado;fonte;escopo_dado;gp;gf;ga;xg_total;gols_acima_xg;indice_desempenho_geral;impacto_modelo
61;2026-06-26;Fase de grupos;Noruega;França;1-4;França;Agregado fase de grupos;5.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ousmane Dembélé / Kylian Mbappé;NA;agregado_fase_grupos_finalizacao_clinica;Fase de grupos: 9 pts, 10-2 gols, saldo 8, xG 5.1, gols acima do xG 4.9, indice geral 95.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;10;2;5.1;4.9;95;1.5
70;2026-06-27;Fase de grupos;Jordânia;Argentina;1-3;Argentina;Agregado fase de grupos;4.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Lionel Messi;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 9 pts, 8-1 gols, saldo 7, xG 4.7, gols acima do xG 3.3, indice geral 93.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;8;1;4.7;3.3;93.67;1.5
53;2026-06-24;Fase de grupos;Tchéquia;México;0-3;México;Agregado fase de grupos;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Julián Quiñones;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 9 pts, 6-0 gols, saldo 6, xG 3.6, gols acima do xG 2.4, indice geral 89.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;0;3.6;2.4;89;1.5
56;2026-06-25;Fase de grupos;Equador;Alemanha;2-1;Alemanha;Agregado fase de grupos;6.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Deniz Undav / Kai Havertz;NA;agregado_fase_grupos_contra_pressao_forte;Fase de grupos: 6 pts, 10-4 gols, saldo 6, xG 6.7, gols acima do xG 3.3, indice geral 86.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;10;4;6.7;3.3;86;1.25
58;2026-06-25;Fase de grupos;Tunísia;Países Baixos;1-3;Países Baixos;Agregado fase de grupos;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 7 pts, 10-4 gols, saldo 6, xG 5, gols acima do xG 5, indice geral 85.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;10;4;5;5;85.33;1.345
49;2026-06-24;Fase de grupos;Escócia;Brasil;0-3;Brasil;Agregado fase de grupos;5.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Vinícius Júnior / Bruno Guimarães;NA;agregado_fase_grupos_dominancia_tecnica_crescente;Fase de grupos: 7 pts, 7-1 gols, saldo 6, xG 5.11, gols acima do xG 1.89, indice geral 83.85.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;7;1;5.11;1.89;83.85;1.246
51;2026-06-24;Fase de grupos;Suíça;Canadá;2-1;Suíça;Agregado fase de grupos;6.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 7 pts, 7-3 gols, saldo 4, xG 6.2, gols acima do xG 0.8, indice geral 81.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;7;3;6.2;0.8;81.33;1.156
67;2026-06-27;Fase de grupos;Panamá;Inglaterra;0-2;Inglaterra;Agregado fase de grupos;5.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Harry Kane;NA;agregado_fase_grupos_criacao_sem_conversao;Fase de grupos: 7 pts, 6-2 gols, saldo 4, xG 5.5, gols acima do xG 0.5, indice geral 78.5.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;2;5.5;0.5;78.5;1.084
66;2026-06-26;Fase de grupos;Uruguai;Espanha;0-1;Espanha;Agregado fase de grupos;4.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unai Simón / Vozinha como adversário destaque;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 7 pts, 5-0 gols, saldo 5, xG 4.4, gols acima do xG 0.6, indice geral 77.17.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;5;0;4.4;0.6;77.17;1.066
50;2026-06-24;Fase de grupos;Marrocos;Haiti;4-2;Marrocos;Agregado fase de grupos;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 7 pts, 6-3 gols, saldo 3, xG 4.6, gols acima do xG 1.4, indice geral 74.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;3;4.6;1.4;74.83;0.965
