incoming_jogo,canonical_jogo,incoming_date,canonical_date,incoming_team1,incoming_team2,canonical_team1,canonical_team2,id_changed,date_changed
1,1,2026-06-11,2026-06-11,México,África do Sul,México,África do Sul,False,False
2,2,2026-06-11,2026-06-11,Coreia do Sul,Tchéquia,Coreia do Sul,Tchéquia,False,False
3,3,2026-06-12,2026-06-12,Canadá,Bósnia e Herzegovina,Canadá,Bósnia e Herzegovina,False,False
4,4,2026-06-12,2026-06-12,Estados Unidos,Paraguai,Estados Unidos,Paraguai,False,False
5,5,2026-06-13,2026-06-13,Haiti,Escócia,Haiti,Escócia,False,False
6,6,2026-06-13,2026-06-14,Austrália,Turquia,Austrália,Turquia,False,True
7,7,2026-06-13,2026-06-13,Brasil,Marrocos,Brasil,Marrocos,False,False
8,8,2026-06-13,2026-06-13,Catar,Suíça,Catar,Suíça,False,False
9,9,2026-06-14,2026-06-14,Costa do Marfim,Equador,Costa do Marfim,Equador,False,False
10,10,2026-06-14,2026-06-14,Alemanha,Curaçao,Alemanha,Curaçao,False,False
11,11,2026-06-14,2026-06-14,Países Baixos,Japão,Países Baixos,Japão,False,False
12,12,2026-06-14,2026-06-14,Suécia,Tunísia,Suécia,Tunísia,False,False
13,13,2026-06-15,2026-06-15,Arábia Saudita,Uruguai,Arábia Saudita,Uruguai,False,False
14,14,2026-06-15,2026-06-15,Espanha,Cabo Verde,Espanha,Cabo Verde,False,False
15,15,2026-06-15,2026-06-15,Irã,Nova Zelândia,Irã,Nova Zelândia,False,False
16,16,2026-06-15,2026-06-15,Bélgica,Egito,Bélgica,Egito,False,False
17,17,2026-06-16,2026-06-16,França,Senegal,França,Senegal,False,False
18,18,2026-06-16,2026-06-16,Iraque,Noruega,Iraque,Noruega,False,False
19,19,2026-06-16,2026-06-16,Argentina,Argélia,Argentina,Argélia,False,False
20,20,2026-06-16,2026-06-17,Áustria,Jordânia,Áustria,Jordânia,False,True
21,21,2026-06-17,2026-06-17,Gana,Panamá,Gana,Panamá,False,False
22,22,2026-06-17,2026-06-17,Inglaterra,Croácia,Inglaterra,Croácia,False,False
23,23,2026-06-17,2026-06-17,Portugal,RD Congo,Portugal,RD Congo,False,False
24,24,2026-06-17,2026-06-17,Uzbequistão,Colômbia,Uzbequistão,Colômbia,False,False
25,25,2026-06-18,2026-06-18,Tchéquia,África do Sul,Tchéquia,África do Sul,False,False
26,26,2026-06-18,2026-06-18,Suíça,Bósnia e Herzegovina,Suíça,Bósnia e Herzegovina,False,False
27,27,2026-06-18,2026-06-18,Canadá,Catar,Canadá,Catar,False,False
28,28,2026-06-18,2026-06-18,México,Coreia do Sul,México,Coreia do Sul,False,False
29,29,2026-06-19,2026-06-19,Brasil,Haiti,Brasil,Haiti,False,False
30,30,2026-06-19,2026-06-19,Escócia,Marrocos,Escócia,Marrocos,False,False
31,31,2026-06-19,2026-06-20,Turquia,Paraguai,Turquia,Paraguai,False,True
32,32,2026-06-19,2026-06-19,Estados Unidos,Austrália,Estados Unidos,Austrália,False,False
33,33,2026-06-20,2026-06-20,Alemanha,Costa do Marfim,Alemanha,Costa do Marfim,False,False
34,34,2026-06-20,2026-06-20,Equador,Curaçao,Equador,Curaçao,False,False
35,35,2026-06-20,2026-06-20,Países Baixos,Suécia,Países Baixos,Suécia,False,False
36,36,2026-06-20,2026-06-21,Tunísia,Japão,Tunísia,Japão,False,True
37,37,2026-06-21,2026-06-21,Uruguai,Cabo Verde,Uruguai,Cabo Verde,False,False
38,38,2026-06-21,2026-06-21,Espanha,Arábia Saudita,Espanha,Arábia Saudita,False,False
39,39,2026-06-21,2026-06-21,Bélgica,Irã,Bélgica,Irã,False,False
40,40,2026-06-21,2026-06-21,Nova Zelândia,Egito,Nova Zelândia,Egito,False,False
41,41,2026-06-22,2026-06-22,Noruega,Senegal,Noruega,Senegal,False,False
42,42,2026-06-22,2026-06-22,França,Iraque,França,Iraque,False,False
43,43,2026-06-22,2026-06-22,Argentina,Áustria,Argentina,Áustria,False,False
44,44,2026-06-22,2026-06-23,Jordânia,Argélia,Jordânia,Argélia,False,True
45,45,2026-06-23,2026-06-23,Inglaterra,Gana,Inglaterra,Gana,False,False
46,46,2026-06-23,2026-06-23,Panamá,Croácia,Panamá,Croácia,False,False
47,47,2026-06-23,2026-06-23,Portugal,Uzbequistão,Portugal,Uzbequistão,False,False
48,48,2026-06-23,2026-06-23,Colômbia,RD Congo,Colômbia,RD Congo,False,False
49,49,2026-06-24,2026-06-24,Escócia,Brasil,Escócia,Brasil,False,False
50,50,2026-06-24,2026-06-24,Marrocos,Haiti,Marrocos,Haiti,False,False
51,51,2026-06-24,2026-06-24,Suíça,Canadá,Suíça,Canadá,False,False
52,52,2026-06-24,2026-06-24,Bósnia e Herzegovina,Catar,Bósnia e Herzegovina,Catar,False,False
53,53,2026-06-24,2026-06-24,Tchéquia,México,Tchéquia,México,False,False
54,54,2026-06-24,2026-06-24,África do Sul,Coreia do Sul,África do Sul,Coreia do Sul,False,False
55,55,2026-06-25,2026-06-25,Curaçao,Costa do Marfim,Curaçao,Costa do Marfim,False,False
56,56,2026-06-25,2026-06-25,Equador,Alemanha,Equador,Alemanha,False,False
57,57,2026-06-25,2026-06-25,Japão,Suécia,Japão,Suécia,False,False
58,58,2026-06-25,2026-06-25,Tunísia,Países Baixos,Tunísia,Países Baixos,False,False
59,59,2026-06-25,2026-06-25,Turquia,Estados Unidos,Turquia,Estados Unidos,False,False
60,60,2026-06-25,2026-06-25,Paraguai,Austrália,Paraguai,Austrália,False,False
61,61,2026-06-26,2026-06-26,Noruega,França,Noruega,França,False,False
62,62,2026-06-26,2026-06-26,Senegal,Iraque,Senegal,Iraque,False,False
63,63,2026-06-26,2026-06-26,Egito,Irã,Egito,Irã,False,False
64,64,2026-06-26,2026-06-26,Nova Zelândia,Bélgica,Nova Zelândia,Bélgica,False,False
65,65,2026-06-26,2026-06-26,Cabo Verde,Arábia Saudita,Cabo Verde,Arábia Saudita,False,False
66,66,2026-06-26,2026-06-26,Uruguai,Espanha,Uruguai,Espanha,False,False
67,67,2026-06-27,2026-06-27,Panamá,Inglaterra,Panamá,Inglaterra,False,False
68,68,2026-06-27,2026-06-27,Croácia,Gana,Croácia,Gana,False,False
69,69,2026-06-27,2026-06-27,Argélia,Áustria,Argélia,Áustria,False,False
70,70,2026-06-27,2026-06-27,Jordânia,Argentina,Jordânia,Argentina,False,False
71,71,2026-06-27,2026-06-27,Colômbia,Portugal,Colômbia,Portugal,False,False
72,72,2026-06-27,2026-06-27,RD Congo,Uzbequistão,RD Congo,Uzbequistão,False,False
73,73,2026-06-28,2026-06-28,África do Sul,Canadá,África do Sul,Canadá,False,False
74,74,2026-06-29,2026-06-29,Alemanha,Paraguai,Alemanha,Paraguai,False,False
75,75,2026-06-29,2026-06-29,Países Baixos,Marrocos,Países Baixos,Marrocos,False,False
76,76,2026-06-29,2026-06-29,Brasil,Japão,Brasil,Japão,False,False
77,77,2026-06-30,2026-06-30,França,Suécia,França,Suécia,False,False
