repo_team,alias
México,Mexico
África do Sul,South Africa
Coreia do Sul,South Korea
Coreia do Sul,Republic of Korea
Tchéquia,Czechia
Tchéquia,Czech Republic
Canadá,Canada
Bósnia e Herzegovina,Bosnia and Herzegovina
Bósnia e Herzegovina,Bosnia-Herzegovina
Estados Unidos,United States
Estados Unidos,USA
Paraguai,Paraguay
Catar,Qatar
Suíça,Switzerland
Brasil,Brazil
Marrocos,Morocco
Haiti,Haiti
Escócia,Scotland
Austrália,Australia
Turquia,Turkey
Alemanha,Germany
Curaçao,Curacao
Curaçao,Curaçao
Países Baixos,Netherlands
Países Baixos,Holland
Japão,Japan
Argentina,Argentina
Argélia,Algeria
Áustria,Austria
Bélgica,Belgium
Cabo Verde,Cape Verde
Colômbia,Colombia
Costa do Marfim,Ivory Coast
Costa do Marfim,Cote d'Ivoire
Costa do Marfim,Côte d'Ivoire
Croácia,Croatia
Egito,Egypt
Equador,Ecuador
Espanha,Spain
França,France
Gana,Ghana
Inglaterra,England
Iraque,Iraq
Irã,Iran
Irã,IR Iran
Jordânia,Jordan
Noruega,Norway
Nova Zelândia,New Zealand
Panamá,Panama
Portugal,Portugal
RD Congo,DR Congo
RD Congo,Congo DR
RD Congo,Democratic Republic of Congo
Senegal,Senegal
Suécia,Sweden
Tunísia,Tunisia
Uruguai,Uruguay
Uzbequistão,Uzbekistan
Arábia Saudita,Saudi Arabia
