selecao,grupo,codigo,tecnico,estilo_tecnico,sistema_base,forca_modelo_0_100,jogadores,liga_media,liga_top11,desempenho_proxy_medio,desempenho_top18,citacoes_jogadores,impacto_jogadores_copa,jogos_reais,impacto_resultado_anterior,ajuste_acumulado,competitividade_liga_0_100,desempenho_jogadores_0_100,momentum_data_0_100,ajuste_aprendizado_0_100,forca_contextual_0_100,explicacao_peso
Portugal,K,POR,MARTINEZ Roberto,"posse, amplitude e talento associativo",4-3-3 / 3-4-3,71.1,26,9.080769230769231,9.927272727272726,6.626923076923077,7.352777777777778,7.0,7.5,2,3.7040911034085893,1.26,99.3,73.5,72.2,56.3,76.1,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Países Baixos,F,NED,KOEMAN Ronald,construção controlada e variação com linha de 3,3-4-2-1 / 4-3-3,69.1,26,9.573076923076924,10.0,6.5807692307692305,7.401111111111111,0.0,0.0,3,4.004921380448025,1.26,100.0,74.0,74.0,56.3,75.7,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Argentina,J,ARG,SCALONI Lionel,"controle, flexibilidade e competitividade",4-3-3 / 4-4-2 ajustável,70.9,26,9.253846153846153,9.909090909090908,6.623076923076923,7.549611111111113,2.0,3.2,2,2.4442784155856057,1.035,99.1,75.5,64.7,55.2,75.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Espanha,H,ESP,DE LA FUENTE Luis,"posse, pressão pós-perda e amplitude",4-3-3,68.9,26,9.811538461538463,9.927272727272726,6.276923076923077,7.261333333333334,9.0,9.1,3,3.4261226388505337,0.675,99.3,72.6,70.6,53.4,74.6,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Suíça,B,SUI,YAKIN Murat,"sistema flexível, bloco médio e eficiência",3-4-2-1 / 4-2-3-1,70.1,26,9.296153846153846,9.790909090909091,6.5346153846153845,7.569333333333333,7.0,7.6,3,2.1667176454296464,-0.36,97.9,75.7,63.0,48.2,74.1,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Brasil,C,BRA,ANCELOTTI Carlo,"equilíbrio, liberdade ofensiva e transição de elite",4-3-3 / 4-2-3-1,67.9,26,8.792307692307691,9.909090909090908,6.15,7.151777777777777,9.0,12.0,3,3.9459481706081743,0.09,99.1,71.5,73.7,50.4,74.1,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
França,I,FRA,DESCHAMPS Didier,"pragmatismo, transição e superioridade física",4-2-3-1 / 4-3-3,63.8,26,9.353846153846153,9.899999999999999,6.050000000000001,6.8805555555555555,11.0,16.7,3,5.746719020449802,2.205,99.0,68.8,84.5,61.0,74.0,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Alemanha,E,GER,NAGELSMANN Julian,"pressão, rotação posicional e jogo entrelinhas",4-2-3-1 / 3-4-2-1,69.5,26,9.55,9.754545454545454,6.519230769230769,7.329388888888889,8.0,10.1,3,1.4511394895312795,1.575,97.5,73.3,58.7,57.9,73.6,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Estados Unidos,D,USA,POCHETTINO Mauricio,"pressão, energia e 4-2-3-1 agressivo",4-2-3-1,71.0,26,8.603846153846154,9.736363636363636,6.761538461538462,7.285388888888889,9.0,12.0,3,0.828124081371679,0.45,97.4,72.9,55.0,52.2,73.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Senegal,I,SEN,THIAW Pape,"potência, transição e bloco atlético",4-3-3 / 4-2-3-1,66.0,26,8.992307692307692,9.872727272727273,6.061538461538461,7.0072222222222225,9.0,12.600000000000001,3,3.593921071621476,0.54,98.7,70.1,71.6,52.7,72.9,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Bélgica,G,BEL,GARCIA Rudi,posse com veteranos criativos e transição,4-3-3 / 4-2-3-1,69.8,26,9.207692307692309,9.863636363636363,6.3961538461538465,7.465333333333332,2.0,2.0,2,0.0,0.36,98.6,74.7,50.0,51.8,72.6,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Inglaterra,L,ENG,TUCHEL Thomas,"controle, pressão em momentos e qualidade entrelinhas",4-2-3-1 / 3-4-2-1,67.2,26,9.838461538461539,10.0,6.0346153846153845,7.291277777777777,7.0,6.2,2,0.8131393194811982,0.45,100.0,72.9,54.9,52.2,72.1,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
