selecao,rating_inicial_0_100,rating_atual_0_100,ajuste_total_rating,momentum_resultado_anterior,memoria_desempenho,forma_ofensiva,forma_defensiva,forca_media_adversarios,pontos_ajustados_por_adversario,gols_marcados_ajustados_por_adversario,gols_sofridos_ajustados_por_adversario,gols_marcados_ajustados_por_jogo,gols_sofridos_ajustados_por_jogo,jogos_validados,gols_pro,gols_contra,saldo,pontos,ultima_data_validada
Argentina,76.22,78.841,2.621,0.551,0.016,0.265,-0.061,69.99,24.119,20.221,7.622,2.528,0.953,8,19,8,11,21,2026-07-19
Espanha,74.11,78.025,3.915,1.665,0.015,0.333,0.906,72.304,26.786,15.655,0.846,1.957,0.106,8,14,1,13,22,2026-07-19
Portugal,75.82,76.284,0.464,0.149,0.016,-0.21,0.244,70.185,9.068,8.097,2.677,1.619,0.535,5,8,3,5,8,2026-07-06
Suíça,75.25,76.192,0.942,0.254,0.025,-0.018,-0.117,70.625,13.794,10.602,5.319,1.767,0.887,6,10,6,4,12,2026-07-11
Bélgica,75.1,76.139,1.039,0.401,0.024,0.647,-0.196,69.2,12.724,15.404,6.277,2.567,1.046,6,14,7,7,11,2026-07-10
Estados Unidos,75.16,75.398,0.238,0.051,0.027,0.241,-0.581,68.488,9.747,11.376,7.097,2.275,1.419,5,11,8,3,9,2026-07-06
Inglaterra,73.24,75.263,2.023,1.002,0.013,0.854,-0.661,71.543,22.528,22.45,10.551,2.806,1.319,8,20,12,8,19,2026-07-18
Países Baixos,74.42,75.101,0.681,0.588,0.041,0.452,-0.166,67.462,8.751,11.254,4.781,2.814,1.195,4,11,5,6,8,2026-06-29
Brasil,73.38,74.779,1.399,0.386,0.107,0.406,-0.031,70.449,11.713,10.865,3.649,2.173,0.73,5,10,4,6,10,2026-07-05
Alemanha,74.2,74.391,0.191,0.084,0.057,0.171,-0.331,66.196,7.764,11.235,4.89,2.809,1.223,4,11,5,6,7,2026-06-29
Croácia,73.51,73.562,0.052,0.187,0.017,0.201,-0.231,70.963,6.717,6.587,6.142,1.647,1.536,4,6,7,-1,6,2026-07-02
Colômbia,72.34,73.523,1.183,0.594,0.03,-0.407,0.758,69.131,12.181,4.918,1.04,0.984,0.208,5,5,1,4,11,2026-07-07
Escócia,74.24,73.239,-1.001,-0.414,-0.049,-0.622,-0.379,69.348,3.242,1.019,3.538,0.34,1.179,3,1,4,-3,3,2026-06-24
França,70.37,73.01,2.64,-0.082,0.016,0.587,-0.425,69.774,20.316,21.57,8.571,2.696,1.071,8,20,10,10,18,2026-07-18
México,70.84,72.558,1.718,0.457,0.048,0.669,-0.158,67.854,13.239,10.546,2.578,2.109,0.516,5,10,3,7,12,2026-07-05
Turquia,72.96,72.394,-0.566,0.387,-0.002,0.18,-0.278,69.038,3.811,3.634,4.592,1.211,1.531,3,3,5,-2,3,2026-06-25
Japão,72.04,72.285,0.245,-0.217,-0.071,0.213,-0.153,69.268,5.425,8.274,4.4,2.069,1.1,4,8,5,3,5,2026-06-29
Noruega,71.01,72.224,1.214,0.349,0.006,0.46,-0.252,70.485,13.818,13.961,9.88,2.327,1.647,6,13,11,2,12,2026-07-11
Canadá,71.92,71.878,-0.042,0.028,0.102,-0.259,-0.294,67.425,7.472,9.601,5.551,1.92,1.11,5,9,6,3,7,2026-07-04
Áustria,72.5,71.824,-0.676,-0.39,-0.044,0.047,-0.809,70.614,4.208,6.148,7.987,1.537,1.997,4,6,9,-3,4,2026-07-02
Senegal,71.99,71.587,-0.403,-0.214,-0.01,0.779,-0.569,69.138,2.966,10.344,7.981,2.586,1.995,4,10,9,1,3,2026-07-01
Marrocos,69.16,70.802,1.642,0.388,0.025,0.229,0.085,72.17,14.291,10.962,5.452,1.827,0.909,6,10,6,4,12,2026-07-09
Uruguai,71.07,70.568,-0.502,-0.415,-0.013,-0.167,-0.074,67.895,2.148,2.988,3.859,0.996,1.286,3,3,4,-1,2,2026-06-26
Coreia do Sul,70.8,70.287,-0.513,-0.423,-0.018,-0.506,0.02,65.958,3.316,2.084,2.902,0.695,0.967,3,2,3,-1,3,2026-06-24
Costa do Marfim,68.69,68.906,0.216,0.012,0.014,0.037,-0.051,69.273,6.547,5.274,3.578,1.318,0.894,4,5,4,1,6,2026-06-30
Panamá,70.38,68.9,-1.48,-0.775,-0.077,-0.735,-0.155,70.142,0.0,0.0,3.633,0.0,1.211,3,0,4,-4,0,2026-06-27
Argélia,69.55,68.713,-0.837,-0.223,-0.011,0.067,-0.573,71.407,4.242,5.239,7.957,1.31,1.989,4,5,9,-4,4,2026-07-02
RD Congo,67.23,67.194,-0.036,-0.111,-0.021,0.185,-0.134,70.682,4.26,5.207,4.506,1.302,1.126,4,5,5,0,4,2026-07-01
Austrália,66.75,66.89,0.14,-0.04,-0.008,-0.304,0.249,69.152,5.781,3.267,2.664,0.817,0.666,4,3,3,0,5,2026-07-03
