grupo,selecao,selecao_xlsx,codigo,tecnico,estilo_tecnico,sistema_base,intensidade,posse,pressao,risco_tatico,jogadores,media_proxy,top11_proxy,top18_proxy,ataque_score,meio_score,defesa_score,goleiro_score,caps_media,caps_total,gols_selecao_total,experiencia_score,intensidade_valor,posse_valor,pressao_valor,forca_modelo_0_100,qtd_jogadores,liga_media,liga_top11,qualidade_top11,qualidade_top18,idade_media,caps_mediana,arbitragem_rigor_medio_0_10,arbitragem_fluidez_media_0_10,arbitragem_var_media_0_10,arbitragem_penalti_media_0_10,competitividade_liga_0_100,qualidade_jogadores_0_100,equilibrio_setores_0_100,rating_inicial_0_100,fonte_rating
J,Argentina,Argentina,ARG,SCALONI Lionel,"controle, flexibilidade e competitividade",4-3-3 / 4-4-2 ajustável,média-alta,alta,situacional,ritmo físico de veteranos,26,6.62,8.1,7.53,5.56,7.2,5.91,6.0,49.3,1283,228,9.05,6.8,8.0,5.0,70.9,26,9.253846153846153,9.909090909090908,7.994454545454545,7.514611111111112,28.73076923076923,46.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,99.09090909090908,75.14611111111111,61.675000000000004,76.22,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
K,Portugal,Portugal,POR,MARTINEZ Roberto,"posse, amplitude e talento associativo",4-3-3 / 3-4-3,alta,alta,média-alta,equilíbrio entre estrelas ofensivas,26,6.63,8.01,7.41,5.87,7.32,5.96,5.53,45.8,1192,264,8.88,8.0,8.0,6.8,71.1,26,9.080769230769231,9.927272727272726,7.837727272727273,7.318222222222222,27.615384615384617,35.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,99.27272727272725,73.18222222222222,61.70000000000001,75.82,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
B,Suíça,Switzerland,SUI,YAKIN Murat,"sistema flexível, bloco médio e eficiência",3-4-2-1 / 4-2-3-1,média-alta,média,média,ritmo ofensivo contra blocos baixos,26,6.53,8.31,7.47,5.6,6.66,5.81,5.43,45.4,1180,131,8.86,6.8,5.0,5.0,70.1,26,9.296153846153846,9.790909090909091,8.20709090909091,7.526777777777777,27.807692307692307,30.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,97.9090909090909,75.26777777777778,58.75,75.25,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
D,Estados Unidos,USA,USA,POCHETTINO Mauricio,"pressão, energia e 4-2-3-1 agressivo",4-2-3-1,alta,média-alta,alta,erros na primeira fase de construção,26,6.76,7.96,7.47,5.97,6.88,6.17,5.73,38.8,1009,131,8.51,8.0,6.8,8.0,71.0,26,8.603846153846154,9.736363636363636,7.685818181818183,7.251722222222223,26.46153846153846,39.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,97.36363636363636,72.51722222222223,61.875,75.16,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
G,Bélgica,Belgium,BEL,GARCIA Rudi,posse com veteranos criativos e transição,4-3-3 / 4-2-3-1,média,alta,situacional,retorno defensivo e envelhecimento,26,6.4,8.22,7.41,5.42,6.95,5.61,6.03,43.0,1117,214,8.74,5.0,8.0,5.0,69.8,26,9.207692307692309,9.863636363636363,8.203999999999999,7.425111111111111,27.153846153846153,30.5,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,98.63636363636363,74.2511111111111,60.025000000000006,75.1,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
F,Países Baixos,Netherlands,NED,KOEMAN Ronald,construção controlada e variação com linha de 3,3-4-2-1 / 4-3-3,média-alta,alta,média-alta,espaço nas costas dos alas,26,6.58,8.05,7.33,5.51,6.08,6.19,5.6,35.0,909,162,8.27,6.8,8.0,6.8,69.1,26,9.573076923076924,10.0,7.9386363636363635,7.353888888888889,27.423076923076923,26.5,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,100.0,73.53888888888889,58.45,74.42,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
C,Escócia,Scotland,SCO,CLARKE Steve,"linha de 5, intensidade e bola parada",3-4-2-1 / 5-4-1,alta,baixa-média,média,saída sob pressão,26,6.27,7.89,7.22,5.17,7.17,5.92,6.43,39.3,1021,99,8.53,8.0,4.0,5.0,68.9,26,8.7,10.0,7.713636363636363,7.073499999999999,28.73076923076923,29.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,100.0,70.73499999999999,61.724999999999994,74.24,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
E,Alemanha,Germany,GER,NAGELSMANN Julian,"pressão, rotação posicional e jogo entrelinhas",4-2-3-1 / 3-4-2-1,alta,alta,alta,linha defensiva exposta,26,6.52,8.12,7.36,4.92,6.65,6.03,6.3,34.3,892,115,8.23,8.0,8.0,8.0,69.5,26,9.55,9.754545454545454,7.937000000000001,7.286277777777777,27.692307692307693,14.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,97.54545454545453,72.86277777777778,59.75000000000001,74.2,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
H,Espanha,Spain,ESP,DE LA FUENTE Luis,"posse, pressão pós-perda e amplitude",4-3-3,alta,muito alta,alta,vulnerabilidade a transições longas,26,6.28,7.83,7.14,5.79,7.41,4.93,6.57,29.8,774,120,7.91,8.0,9.0,8.0,68.9,26,9.811538461538463,9.927272727272726,7.714636363636364,7.207777777777778,26.307692307692307,26.0,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,99.27272727272725,72.07777777777778,61.75,74.11,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
L,Croácia,Croatia,CRO,DALIC Zlatko,"controle de meio, experiência e ritmo cadenciado",4-3-3,média,alta,situacional,velocidade defensiva em transição,26,6.36,7.95,7.05,5.15,6.8,5.74,6.07,45.8,1192,156,8.88,5.0,8.0,5.0,68.2,26,8.811538461538461,9.718181818181819,7.92618181818182,7.139722222222222,27.923076923076923,21.5,6.361538461538462,6.367307692307692,6.401923076923078,5.726923076923077,97.18181818181819,71.39722222222221,59.39999999999999,73.51,team_strengths + players_database + árbitros agregados; sem previsões/simulações prévias
