data,jogos_previstos,jogos_validados,acuracia_vencedor_%,placar_exato_%,erro_medio_total_gols
2026-06-11,2,2,100.0,0.0,1.5
2026-06-12,2,2,50.0,0.0,2.5
2026-06-13,4,4,25.0,25.0,1.25
2026-06-14,4,4,75.0,25.0,3.75
2026-06-15,4,4,0.0,0.0,1.5
2026-06-16,4,4,75.0,0.0,3.0
2026-06-17,4,4,50.0,0.0,2.25
2026-06-18,4,4,75.0,25.0,2.5
2026-06-19,4,4,50.0,0.0,1.75
2026-06-20,4,4,75.0,0.0,2.75
2026-06-21,4,4,50.0,0.0,2.0
2026-06-22,4,4,100.0,0.0,1.75
2026-06-23,4,4,75.0,25.0,2.25
2026-06-24,6,6,50.0,0.0,2.667
2026-06-25,6,6,33.33,0.0,2.0
2026-06-26,6,6,66.67,16.67,2.167
2026-06-27,6,6,66.67,0.0,2.5
2026-06-28,1,1,100.0,100.0,0.0
2026-06-29,3,2,50.0,0.0,1.5
2026-06-30,3,0,,,
2026-07-01,3,0,,,
2026-07-02,3,0,,,
2026-07-03,3,0,,,
2026-07-04,2,0,,,
2026-07-05,2,0,,,
2026-07-06,2,0,,,
2026-07-07,2,0,,,
2026-07-09,1,0,,,
2026-07-10,1,0,,,
2026-07-11,2,0,,,
2026-07-14,1,0,,,
2026-07-15,1,0,,,
2026-07-18,1,0,,,
2026-07-19,1,0,,,
