jogo,data,fase,grupo,equipe1,equipe2,placar_previsto,placar_real,vencedor_previsto,vencedor_real,acertou_vencedor,acertou_placar_exato,erro_total_gols,erro_xg_total,erro_saldo,proximidade_0_100,impacto_desempenho_equipe1,impacto_desempenho_equipe2,peso_resultado_anterior_aplicado_equipe1,peso_resultado_anterior_aplicado_equipe2,ajuste_rating_equipe1,ajuste_rating_equipe2,ajuste_relativo_rating,ajuste_ofensivo_equipe1,ajuste_ofensivo_equipe2,ajuste_defensivo_equipe1,ajuste_defensivo_equipe2,peso_adversario_ofensivo_equipe1,peso_adversario_ofensivo_equipe2,peso_gol_sofrido_equipe1,peso_gol_sofrido_equipe2,qualidade_adversario_equipe1,qualidade_adversario_equipe2,rating_pos_jogo_equipe1,rating_pos_jogo_equipe2,fonte_resultado
1,2026-06-11,Fase de grupos,A,México,África do Sul,1-0,2-0 (pên. nan),México,México,Sim,Não,1.0,1.434,1.0,74.0,0.0,0.0,0.688,-0.366,0.462,-0.427,0.888,0.717,-0.763,0.678,-0.673,0.972,1.094,1.028,0.914,0.972,1.094,71.302,60.173,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2,2026-06-11,Fase de grupos,A,Coreia do Sul,Tchéquia,2-1,2-1 (pên. nan),Coreia do Sul,Coreia do Sul,Sim,Sim,0.0,0.924,0.0,100.0,0.0,0.0,0.718,-0.395,0.43,-0.36,0.791,0.956,0.008,-0.007,-0.834,1.042,1.099,0.96,0.91,1.042,1.099,71.23,65.97,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
3,2026-06-12,Fase de grupos,B,Canadá,Bósnia e Herzegovina,1-0,1-1 (pên. nan),Canadá,Empate,Não,Não,1.0,0.505,1.0,52.0,0.0,0.0,-0.056,0.004,-0.214,0.126,-0.34,-0.263,0.263,-0.241,0.314,0.955,1.143,1.047,0.875,0.955,1.143,71.706,62.526,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
4,2026-06-12,Fase de grupos,D,Estados Unidos,Paraguai,1-0,4-1 (pên. nan),Estados Unidos,Estados Unidos,Sim,Não,4.0,3.043,2.0,20.0,0.0,0.0,0.684,-0.363,0.507,-0.452,0.96,2.0,0.407,-0.344,-2.0,0.984,1.199,1.016,0.834,0.984,1.199,75.667,64.158,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
5,2026-06-13,Fase de grupos,C,Haiti,Escócia,0-1,0-1 (pên. nan),Escócia,Escócia,Sim,Sim,0.0,0.987,0.0,100.0,0.0,0.0,-0.376,0.698,-0.289,0.319,-0.608,-0.9,-0.203,0.227,0.803,1.142,1.019,0.876,0.981,1.142,1.019,64.561,74.559,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
6,2026-06-13,Fase de grupos,D,Austrália,Turquia,0-1,2-0 (pên. nan),Turquia,Austrália,Não,Não,3.0,2.397,3.0,0.0,0.0,0.0,0.744,-0.422,0.844,-0.734,1.578,1.386,-1.227,1.337,-1.171,1.136,1.042,0.88,0.96,1.136,1.042,67.594,72.226,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
7,2026-06-13,Fase de grupos,C,Brasil,Marrocos,1-0,1-1 (pên. nan),Brasil,Empate,Não,Não,1.0,0.28,1.0,52.0,0.0,0.0,-0.042,-0.009,-0.142,0.048,-0.19,-0.166,0.141,-0.116,0.182,1.052,1.152,0.951,0.868,1.052,1.152,73.238,69.208,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
8,2026-06-13,Fase de grupos,B,Catar,Suíça,0-1,1-1 (pên. nan),Suíça,Empate,Não,Não,1.0,0.305,1.0,52.0,0.0,0.0,-0.009,-0.042,0.055,-0.149,0.204,0.119,-0.22,0.24,-0.093,1.179,1.081,0.848,0.925,1.179,1.081,67.795,75.101,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
9,2026-06-14,Fase de grupos,E,Costa do Marfim,Equador,1-0,1-0 (pên. nan),Costa do Marfim,Costa do Marfim,Sim,Sim,0.0,0.936,0.0,100.0,0.0,0.0,0.718,-0.395,0.434,-0.395,0.829,0.003,-0.999,0.959,-0.003,1.028,1.071,0.973,0.934,1.028,1.071,69.124,66.495,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
10,2026-06-14,Fase de grupos,E,Alemanha,Curaçao,1-0,7-1 (pên. nan),Alemanha,Alemanha,Sim,Não,7.0,6.037,5.0,0.0,0.0,0.0,0.695,-0.372,0.549,-0.498,1.047,2.0,0.273,-0.239,-2.0,1.011,1.127,0.989,0.887,1.011,1.127,74.749,64.102,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
