grupo,team,pts,j,v,e,d,gf,ga,gd,posicao
A,México,9,3,3,0,0,6,0,6,1
A,África do Sul,4,3,1,1,1,2,3,-1,2
A,Coreia do Sul,3,3,1,0,2,2,3,-1,3
A,Tchéquia,1,3,0,1,2,2,6,-4,4
B,Suíça,7,3,2,1,0,7,3,4,1
B,Canadá,4,3,1,1,1,8,3,5,2
B,Bósnia e Herzegovina,4,3,1,1,1,5,6,-1,3
B,Catar,1,3,0,1,2,2,10,-8,4
D,Estados Unidos,6,3,2,0,1,8,4,4,1
D,Austrália,4,3,1,1,1,2,2,0,2
D,Paraguai,4,3,1,1,1,2,4,-2,3
D,Turquia,3,3,1,0,2,3,5,-2,4
C,Brasil,7,3,2,1,0,7,1,6,1
C,Marrocos,7,3,2,1,0,6,3,3,2
C,Escócia,3,3,1,0,2,1,4,-3,3
C,Haiti,0,3,0,0,3,2,8,-6,4
E,Alemanha,6,3,2,0,1,10,4,6,1
E,Costa do Marfim,6,3,2,0,1,4,2,2,2
E,Equador,4,3,1,1,1,2,2,0,3
E,Curaçao,1,3,0,1,2,1,9,-8,4
F,Países Baixos,7,3,2,1,0,10,4,6,1
F,Japão,5,3,1,2,0,7,3,4,2
F,Suécia,4,3,1,1,1,7,7,0,3
F,Tunísia,0,3,0,0,3,2,12,-10,4
H,Espanha,5,3,1,2,0,5,1,4,1
H,Cabo Verde,5,3,1,2,0,4,2,2,2
H,Uruguai,3,3,0,3,0,4,4,0,3
H,Arábia Saudita,1,3,0,1,2,1,7,-6,4
G,Egito,5,3,1,2,0,5,3,2,1
G,Irã,3,3,0,3,0,3,3,0,2
G,Bélgica,3,3,0,3,0,2,2,0,3
G,Nova Zelândia,2,3,0,2,1,4,6,-2,4
I,França,7,3,2,1,0,7,2,5,1
I,Noruega,7,3,2,1,0,8,4,4,2
I,Senegal,1,3,0,1,2,4,7,-3,3
I,Iraque,1,3,0,1,2,2,8,-6,4
J,Argentina,9,3,3,0,0,7,0,7,1
J,Áustria,4,3,1,1,1,4,4,0,2
J,Argélia,4,3,1,1,1,3,5,-2,3
J,Jordânia,0,3,0,0,3,2,7,-5,4
L,Inglaterra,7,3,2,1,0,6,3,3,1
L,Gana,7,3,2,1,0,3,0,3,2
L,Croácia,3,3,1,0,2,3,6,-3,3
L,Panamá,0,3,0,0,3,1,4,-3,4
K,Portugal,7,3,2,1,0,8,2,6,1
K,Colômbia,6,3,2,0,1,5,3,2,2
K,RD Congo,4,3,1,1,1,4,2,2,3
K,Uzbequistão,0,3,0,0,3,1,11,-10,4
