jogo,data,fase,equipe1,equipe2,previsao_antes,resultado_real,vencedor_previsto,vencedor_real,erro_gols_equipe1,erro_gols_equipe2,erro_total_gols,erro_saldo,acertou_vencedor,acertou_placar_exato,proximidade_0_100,ajuste_rating_equipe1,ajuste_rating_equipe2,correcao_registrada,arbitro_principal,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10
1,2026-06-11,Fase de grupos,México,África do Sul,2-1,2-0,México,México,0,-1,1,1,Sim,Não,66,0.225,-0.225,"vencedor correto, placar ajustado",AL JASSIM Abdulrahman,7.9,6.7
2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2-1,2-1,Coreia do Sul,Coreia do Sul,0,0,0,0,Sim,Sim,100,0.0,-0.0,placar exato,AL TURAIS Khalid,4.8,6.1
3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,3-1,1-1,Canadá,Empate,-2,0,2,2,Não,Não,4,-0.585,0.585,vencedor corrigido,ARAKI Yusuke,5.8,5.0
4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,2-0,4-1,Estados Unidos,Estados Unidos,2,1,3,1,Sim,Não,34,0.225,-0.225,"vencedor correto, placar ajustado",ARTAN Omar Abdulkadir,6.5,5.8
5,2026-06-13,Fase de grupos,Haiti,Escócia,2-2,0-1,Empate,Escócia,-2,-1,3,1,Não,Não,6,-0.36,0.36,vencedor corrigido,ATCHO Pierre,7.6,7.7
6,2026-06-14,Fase de grupos,Austrália,Turquia,1-3,2-0,Turquia,Austrália,1,-3,4,4,Não,Não,0,1.035,-1.035,vencedor corrigido,BARTON Ivan,5.8,4.5
7,2026-06-13,Fase de grupos,Brasil,Marrocos,1-0,1-1,Brasil,Empate,0,1,1,1,Não,Não,38,-0.36,0.36,vencedor corrigido,BEIDA Dahane,6.9,5.9
8,2026-06-13,Fase de grupos,Catar,Suíça,0-2,1-1,Suíça,Empate,1,-1,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,BENITEZ Juan Gabriel,6.5,5.3
9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1-2,1-0,Equador,Costa do Marfim,0,-2,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,CALDERON Juan,6.2,7.5
10,2026-06-14,Fase de grupos,Alemanha,Curaçao,0-2,7-1,Curaçao,Alemanha,7,-1,8,8,Não,Não,0,1.935,-1.935,vencedor corrigido,CLAUS Raphael,8.2,4.9
11,2026-06-14,Fase de grupos,Países Baixos,Japão,0-2,2-2,Japão,Empate,2,0,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,ELFATH Ismail,8.0,7.7
12,2026-06-14,Fase de grupos,Suécia,Tunísia,2-1,5-1,Suécia,Suécia,3,0,3,3,Sim,Não,0,0.675,-0.675,"vencedor correto, placar ajustado",ESKAS Espen,6.4,6.6
13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1-0,1-1,Arábia Saudita,Empate,0,1,1,1,Não,Não,38,-0.36,0.36,vencedor corrigido,FAGHANI Alireza,6.6,7.8
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,1-0,0-0,Espanha,Empate,-1,0,1,1,Não,Não,38,-0.36,0.36,vencedor corrigido,FALCON PEREZ Yael,4.7,6.3
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2-1,2-2,Irã,Empate,0,1,1,1,Não,Não,38,-0.36,0.36,vencedor corrigido,FISCHER Drew,5.4,7.9
16,2026-06-15,Fase de grupos,Bélgica,Egito,0-1,1-1,Egito,Empate,1,0,1,1,Não,Não,38,0.36,-0.36,vencedor corrigido,GARAY Cristian,7.8,7.6
17,2026-06-16,Fase de grupos,França,Senegal,1-1,3-1,Empate,França,2,0,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,GARCIA Katia,6.7,7.9
