selecao,forca_inicial_0_100,ajuste_acumulado,forca_atualizada_0_100,jogos_corrigidos,proximidade_media_0_100
Alemanha,69.5,1.575,71.08,3,35.3
Argentina,70.9,1.035,71.94,2,33.0
Argélia,64.8,-0.45,64.35,2,66.0
Arábia Saudita,63.4,-1.17,62.23,3,25.3
Austrália,60.9,-0.36,60.54,3,1.3
Brasil,67.9,0.09,67.99,3,56.7
Bélgica,69.8,0.36,70.16,2,69.0
Bósnia e Herzegovina,55.0,0.72,55.72,3,2.7
Cabo Verde,59.3,1.305,60.6,3,16.0
Canadá,67.0,1.35,68.35,3,23.3
Catar,66.6,-1.71,64.89,3,2.7
Colômbia,67.8,0.36,68.16,2,16.0
Coreia do Sul,67.4,-0.81,66.59,3,66.7
Costa do Marfim,63.2,1.395,64.59,3,24.0
Croácia,68.2,-1.26,66.94,2,33.0
Curaçao,59.5,-1.485,58.02,3,0.0
Egito,59.4,-0.36,59.04,2,53.0
Equador,61.9,-1.485,60.41,3,14.0
Escócia,68.9,-0.9,68.0,3,12.7
Espanha,68.9,0.675,69.58,3,24.7
Estados Unidos,71.0,0.45,71.45,3,12.7
França,63.8,2.205,66.0,3,1.3
Gana,56.1,1.17,57.27,2,4.0
Haiti,59.2,-0.945,58.26,3,35.3
Inglaterra,67.2,0.45,67.65,2,2.0
Iraque,57.5,-2.745,54.76,3,11.3
Irã,64.1,-0.36,63.74,2,69.0
Japão,67.6,-0.135,67.46,3,2.7
Jordânia,60.2,-0.585,59.62,2,33.0
Marrocos,63.5,1.755,65.25,3,12.7
México,67.9,1.485,69.39,3,32.7
Noruega,64.3,-0.0,64.3,3,12.7
Nova Zelândia,59.9,0.36,60.26,2,53.0
Panamá,69.2,-0.36,68.84,2,35.0
Paraguai,59.7,1.395,61.1,3,11.3
Países Baixos,69.1,1.26,70.36,3,12.7
Portugal,71.1,1.26,72.36,2,50.0
RD Congo,61.0,0.45,61.45,2,66.0
Senegal,66.0,0.54,66.54,3,2.7
Suécia,58.8,0.81,59.61,3,1.3
Suíça,70.1,-0.36,69.74,3,23.3
Tchéquia,61.8,0.135,61.93,3,45.3
Tunísia,56.1,-1.935,54.16,3,11.3
Turquia,69.0,-1.485,67.52,3,0.0
Uruguai,66.3,-0.81,65.49,3,15.3
Uzbequistão,59.9,-2.07,57.83,2,0.0
África do Sul,59.3,-0.81,58.49,3,56.7
Áustria,67.6,0.0,67.6,2,0.0
