jogo,data,fase,equipe1,equipe2,placar_real,selecao,adversario,xg_pro,xg_contra,posse_pct,finalizacoes,finalizacoes_contra,finalizacoes_alvo,finalizacoes_alvo_contra,grandes_chances,grandes_chances_contra,toques_area,toques_area_contra,entradas_terco_final,entradas_terco_final_contra,passes_certos,passes_total,cruzamentos_certos,cruzamentos_total,duelos_aereos_ganhos,duelos_aereos_total,recuperacoes,clearances,interceptacoes,erros_gol,jogador_destaque,rating_sofascore,tipo_desempenho,detalhe_pesquisado,fonte,escopo_dado,gp,gf,ga,xg_total,gols_acima_xg,indice_desempenho_geral,impacto_modelo
1,2026-06-11,Fase de grupos,México,África do Sul,2-0,México,África do Sul,NA,NA,60.5,16.0,3.0,4.0,2.0,NA,NA,NA,NA,NA,NA,467.0,520.0,4.0,12.0,NA,NA,NA,15.0,8.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: México 2-0 África do Sul; posse 60.5%, finalizações 16.0 (4.0 no alvo), escanteios 3.0, faltas 12.0.",ESPN public API event 760415 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.472
1,2026-06-11,Fase de grupos,México,África do Sul,2-0,África do Sul,México,NA,NA,39.5,3.0,16.0,2.0,4.0,NA,NA,NA,NA,NA,NA,272.0,334.0,1.0,8.0,NA,NA,NA,17.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: África do Sul 0-2 México; posse 39.5%, finalizações 3.0 (2.0 no alvo), escanteios 1.0, faltas 11.0.",ESPN public API event 760415 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.322
2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2-1,Coreia do Sul,Tchéquia,NA,NA,61.5,15.0,7.0,6.0,4.0,NA,NA,NA,NA,NA,NA,469.0,541.0,3.0,12.0,NA,NA,NA,32.0,9.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Coreia do Sul 2-1 Tchéquia; posse 61.5%, finalizações 15.0 (6.0 no alvo), escanteios 4.0, faltas 9.0.",ESPN public API event 760414 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.476
2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2-1,Tchéquia,Coreia do Sul,NA,NA,38.5,7.0,15.0,4.0,6.0,NA,NA,NA,NA,NA,NA,230.0,327.0,3.0,15.0,NA,NA,NA,21.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Tchéquia 1-2 Coreia do Sul; posse 38.5%, finalizações 7.0 (4.0 no alvo), escanteios 5.0, faltas 16.0.",ESPN public API event 760414 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.326
3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,1-1,Canadá,Bósnia e Herzegovina,NA,NA,61.1,13.0,8.0,4.0,3.0,NA,NA,NA,NA,NA,NA,310.0,421.0,5.0,24.0,NA,NA,NA,21.0,4.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Canadá 1-1 Bósnia e Herzegovina; posse 61.1%, finalizações 13.0 (4.0 no alvo), escanteios 9.0, faltas 10.0.",ESPN public API event 760416 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.1344
3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,1-1,Bósnia e Herzegovina,Canadá,NA,NA,38.9,8.0,13.0,3.0,4.0,NA,NA,NA,NA,NA,NA,172.0,271.0,6.0,10.0,NA,NA,NA,70.0,11.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Bósnia e Herzegovina 1-1 Canadá; posse 38.9%, finalizações 8.0 (3.0 no alvo), escanteios 4.0, faltas 20.0.",ESPN public API event 760416 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.0344
4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,4-1,Estados Unidos,Paraguai,NA,NA,65.3,16.0,9.0,6.0,1.0,NA,NA,NA,NA,NA,NA,509.0,598.0,3.0,19.0,NA,NA,NA,15.0,9.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Estados Unidos 4-1 Paraguai; posse 65.3%, finalizações 16.0 (6.0 no alvo), escanteios 3.0, faltas 13.0.",ESPN public API event 760417 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.6112
4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,4-1,Paraguai,Estados Unidos,NA,NA,34.7,9.0,16.0,1.0,6.0,NA,NA,NA,NA,NA,NA,232.0,319.0,1.0,5.0,NA,NA,NA,33.0,10.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Paraguai 1-4 Estados Unidos; posse 34.7%, finalizações 9.0 (1.0 no alvo), escanteios 1.0, faltas 17.0.",ESPN public API event 760417 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.4612
8,2026-06-13,Fase de grupos,Catar,Suíça,1-1,Catar,Suíça,NA,NA,32.0,6.0,26.0,3.0,7.0,NA,NA,NA,NA,NA,NA,200.0,278.0,1.0,9.0,NA,NA,NA,31.0,11.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Catar 1-1 Suíça; posse 32.0%, finalizações 6.0 (3.0 no alvo), escanteios 3.0, faltas 12.0.",ESPN public API event 760420 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.182
8,2026-06-13,Fase de grupos,Catar,Suíça,1-1,Suíça,Catar,NA,NA,68.0,26.0,6.0,7.0,3.0,NA,NA,NA,NA,NA,NA,527.0,576.0,6.0,35.0,NA,NA,NA,13.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Suíça 1-1 Catar; posse 68.0%, finalizações 26.0 (7.0 no alvo), escanteios 10.0, faltas 11.0.",ESPN public API event 760420 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.282
7,2026-06-13,Fase de grupos,Brasil,Marrocos,1-1,Brasil,Marrocos,NA,NA,51.4,12.0,14.0,5.0,3.0,NA,NA,NA,NA,NA,NA,449.0,514.0,4.0,16.0,NA,NA,NA,23.0,5.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Brasil 1-1 Marrocos; posse 51.4%, finalizações 12.0 (5.0 no alvo), escanteios 6.0, faltas 16.0.",ESPN public API event 760419 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.1356
7,2026-06-13,Fase de grupos,Brasil,Marrocos,1-1,Marrocos,Brasil,NA,NA,48.6,14.0,12.0,3.0,5.0,NA,NA,NA,NA,NA,NA,419.0,486.0,2.0,15.0,NA,NA,NA,17.0,5.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Marrocos 1-1 Brasil; posse 48.6%, finalizações 14.0 (3.0 no alvo), escanteios 2.0, faltas 14.0.",ESPN public API event 760419 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.0356
5,2026-06-13,Fase de grupos,Haiti,Escócia,0-1,Haiti,Escócia,NA,NA,53.7,15.0,9.0,2.0,2.0,NA,NA,NA,NA,NA,NA,367.0,431.0,5.0,23.0,NA,NA,NA,20.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Haiti 0-1 Escócia; posse 53.7%, finalizações 15.0 (2.0 no alvo), escanteios 4.0, faltas 23.0.",ESPN public API event 760418 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.1852
5,2026-06-13,Fase de grupos,Haiti,Escócia,0-1,Escócia,Haiti,NA,NA,46.3,9.0,15.0,2.0,2.0,NA,NA,NA,NA,NA,NA,307.0,374.0,5.0,14.0,NA,NA,NA,17.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Escócia 1-0 Haiti; posse 46.3%, finalizações 9.0 (2.0 no alvo), escanteios 3.0, faltas 21.0.",ESPN public API event 760418 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.3352
