jogo,jogo_original_fonte,espn_event_id,event_id,period,clock,type_text,team,team_espn,player,participants_json,text,scoring_play,shootout,penalty,own_goal,yellow_card,red_card,substitution,source_url,collected_at,source_file,source_collected_at,temporal_status
1,1,760415,49483413.0,1.0,9',Goal,México,Mexico,Julián Quiñones,"[""Julián Quiñones"", ""Érik Lira""]","Goal! Mexico 1, South Africa 0. Julián Quiñones (Mexico) right footed shot from the centre of the box to the centre of the goal. Assisted by Érik Lira.",True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179543+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179543+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483541.0,1.0,17',Yellow Card,África do Sul,South Africa,Teboho Mokoena,"[""Teboho Mokoena""]",Teboho Mokoena (South Africa) is shown the yellow card for a bad foul.,False,False,False,False,True,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179633+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179633+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483569.0,1.0,"{'value': 0.0, 'displayValue': ''}",Kickoff,,,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179467+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179467+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483587.0,1.0,23',Yellow Card,México,Mexico,Brian Gutiérrez,"[""Brian Gutiérrez""]",Brian Gutiérrez (Mexico) is shown the yellow card for a bad foul.,False,False,False,False,True,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179717+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179717+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483601.0,1.0,25',Start Delay,México,Mexico,,[],Delay in match for a drinks break.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179797+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179797+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483602.0,1.0,25',Start Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179878+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179878+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483603.0,1.0,27',End Delay,México,Mexico,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179955+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179955+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483604.0,1.0,27',End Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180035+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180035+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483962.0,1.0,45'+4',Halftime,,,,[],"First Half ends, Mexico 1, South Africa 0.",False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180090+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180090+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49483976.0,2.0,45',Start 2nd Half,,,,[],"Second Half begins Mexico 1, South Africa 0.",False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180154+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180154+00:00,POST_MATCH_BACKFILLED_FACT
