jogo,jogo_original_fonte,espn_event_id,summary_home_team,summary_away_team,summary_home_score,summary_away_score,summary_home_penalty_score,summary_away_penalty_score,summary_winner_home,summary_winner_away,summary_completed,summary_status,source_url,collected_at
1,1,760415,México,África do Sul,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.167623+00:00
2,2,760414,Coreia do Sul,Tchéquia,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.758172+00:00
3,3,760416,Canadá,Bósnia e Herzegovina,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,2026-07-20T17:23:37.109255+00:00
4,4,760417,Estados Unidos,Paraguai,4,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,2026-07-20T17:23:41.890763+00:00
5,5,760418,Haiti,Escócia,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,2026-07-20T17:23:52.232143+00:00
6,6,760421,Austrália,Turquia,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,2026-07-20T17:23:55.375475+00:00
7,7,760419,Brasil,Marrocos,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,2026-07-20T17:23:48.539310+00:00
8,8,760420,Catar,Suíça,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,2026-07-20T17:23:45.989720+00:00
9,9,760423,Costa do Marfim,Equador,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,2026-07-20T17:24:05.753507+00:00
10,10,760422,Alemanha,Curaçao,7,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,2026-07-20T17:23:58.249240+00:00
11,11,760425,Países Baixos,Japão,2,2,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760425,2026-07-20T17:24:01.457468+00:00
