espn_event_id,date,datetime_utc,name,short_name,phase_espn,home_team_espn,away_team_espn,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_score_90,away_score_90,home_score_120,away_score_120,home_penalty_score,away_penalty_score,home_period_scores_json,away_period_scores_json,status_name,status_description,status_detail,completed,winner_home,winner_away,venue,city,country,attendance,neutral_site,source_url,collected_at,source_sha256,jogo,jogo_original_fonte,calendar_equipe1_original,calendar_equipe2_original,calendar_equipe1,calendar_equipe2,calendar_data,calendar_fase,mapping_confidence,mapping_reason,participant_change_required
760415,2026-06-11,2026-06-11T19:00Z,South Africa at Mexico,RSA @ MEX,,Mexico,South Africa,México,África do Sul,203,467,2,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Estadio Banorte,Mexico City,Mexico,80824,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,1,1,México,África do Sul,México,África do Sul,2026-06-11,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760414,2026-06-12,2026-06-12T02:00Z,Czechia at South Korea,CZE @ KOR,,South Korea,Czechia,Coreia do Sul,Tchéquia,451,450,2,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Estadio Akron,Guadalajara,Mexico,44985,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,2,2,Coreia do Sul,Tchéquia,Coreia do Sul,Tchéquia,2026-06-11,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760416,2026-06-12,2026-06-12T19:00Z,Bosnia-Herzegovina at Canada,BIH @ CAN,,Canada,Bosnia-Herzegovina,Canadá,Bósnia e Herzegovina,206,452,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,BMO Field,Toronto,Canada,43002,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,3,3,Canadá,Bósnia e Herzegovina,Canadá,Bósnia e Herzegovina,2026-06-12,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760417,2026-06-13,2026-06-13T01:00Z,Paraguay at United States,PAR @ USA,,United States,Paraguay,Estados Unidos,Paraguai,660,210,4,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,SoFi Stadium,"Inglewood, California",USA,70492,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,4,4,Estados Unidos,Paraguai,Estados Unidos,Paraguai,2026-06-12,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760418,2026-06-14,2026-06-14T01:00Z,Scotland at Haiti,SCO @ HAI,,Haiti,Scotland,Haiti,Escócia,2654,580,0,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Gillette Stadium,"Foxborough, Massachusetts",USA,64146,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,5,5,Haiti,Escócia,Haiti,Escócia,2026-06-13,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760421,2026-06-14,2026-06-14T04:00Z,Türkiye at Australia,TUR @ AUS,,Australia,Türkiye,Austrália,Turquia,628,465,2,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,BC Place,Vancouver,Canada,52497,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,6,6,Austrália,Turquia,Austrália,Turquia,2026-06-13,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760419,2026-06-13,2026-06-13T22:00Z,Morocco at Brazil,MAR @ BRA,,Brazil,Morocco,Brasil,Marrocos,205,2869,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,MetLife Stadium,"East Rutherford, New Jersey",USA,80663,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,7,7,Brasil,Marrocos,Brasil,Marrocos,2026-06-13,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760420,2026-06-13,2026-06-13T19:00Z,Switzerland at Qatar,SUI @ QAT,,Qatar,Switzerland,Catar,Suíça,4398,475,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Levi's Stadium,"Santa Clara, California",USA,67966,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,8,8,Catar,Suíça,Catar,Suíça,2026-06-13,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760423,2026-06-14,2026-06-14T23:00Z,Ecuador at Ivory Coast,ECU @ CIV,,Ivory Coast,Ecuador,Costa do Marfim,Equador,4789,209,1,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,68274,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,9,9,Costa do Marfim,Equador,Costa do Marfim,Equador,2026-06-14,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760422,2026-06-14,2026-06-14T17:00Z,Curaçao at Germany,CUW @ GER,,Germany,Curaçao,Alemanha,Curaçao,481,11678,7,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,NRG Stadium,"Houston, Texas",USA,68021,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,10,10,Alemanha,Curaçao,Alemanha,Curaçao,2026-06-14,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
