jogo,jogo_original_fonte,espn_event_id,event_id,team_id,team,team_espn,player_id,player,kick_number,converted,result,source_url,collected_at
74,74,760489,49663249,481,Alemanha,Germany,231182,Kai Havertz,1,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604254+00:00
74,74,760489,49663250,210,Paraguai,Paraguay,289046,Maurício,1,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604338+00:00
74,74,760489,49663251,481,Alemanha,Germany,190161,Joshua Kimmich,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604278+00:00
74,74,760489,49663252,210,Paraguai,Paraguay,118395,Gustavo Gómez,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604349+00:00
74,74,760489,49663253,481,Alemanha,Germany,303821,Jamal Musiala,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604291+00:00
74,74,760489,49663254,210,Paraguai,Paraguay,297328,Matías Galarza,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604359+00:00
74,74,760489,49663255,481,Alemanha,Germany,298349,Nick Woltemade,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604302+00:00
74,74,760489,49663256,210,Paraguai,Paraguay,192162,Antonio Sanabria,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604370+00:00
74,74,760489,49663257,481,Alemanha,Germany,210818,Nadiem Amiri,5,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604314+00:00
74,74,760489,49663258,210,Paraguai,Paraguay,199101,Fabián Balbuena,5,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604380+00:00
74,74,760489,49663259,481,Alemanha,Germany,188052,Jonathan Tah,6,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604324+00:00
74,74,760489,49663260,210,Paraguai,Paraguay,227682,José Canale,6,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.604390+00:00
75,75,760488,49665202,449,Países Baixos,Netherlands,258968,Teun Koopmeiners,1,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.175970+00:00
75,75,760488,49665203,2869,Marrocos,Morocco,323807,Neil El Aynaoui,1,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176033+00:00
