jogo,jogo_original_fonte,espn_event_id,team,team_espn,team_norm,source_url,collected_at,stat_foulsCommitted,stat_yellowCards,stat_redCards,stat_offsides,stat_wonCorners,stat_saves,stat_possessionPct,stat_totalShots,stat_shotsOnTarget,stat_shotPct,stat_penaltyKickGoals,stat_penaltyKickShots,stat_accuratePasses,stat_totalPasses,stat_passPct,stat_accurateCrosses,stat_totalCrosses,stat_crossPct,stat_totalLongBalls,stat_accurateLongBalls,stat_longballPct,stat_blockedShots,stat_effectiveTackles,stat_totalTackles,stat_tacklePct,stat_interceptions,stat_effectiveClearance,stat_totalClearance,source_file,temporal_status
1,1,760415,África do Sul,South Africa,africa do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.195553+00:00,11,2,2,1,1,2,39.5,3,2,0.7,0,0,272,334,0.8,1,8,0.1,46,17,0.4,0,7,14,0.5,7,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,POST_MATCH_BACKFILLED_FACT
1,1,760415,México,Mexico,mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.195182+00:00,12,1,1,1,3,2,60.5,16,4,0.3,0,0,467,520,0.9,4,12,0.3,48,31,0.6,5,6,12,0.5,8,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,POST_MATCH_BACKFILLED_FACT
2,2,760414,Coreia do Sul,South Korea,coreia do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.772511+00:00,9,1,0,2,4,3,61.5,15,6,0.4,0,0,469,541,0.9,3,12,0.3,61,30,0.5,4,4,7,0.6,9,32,32,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,POST_MATCH_BACKFILLED_FACT
2,2,760414,Tchéquia,Czechia,tchequia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.772870+00:00,16,0,0,2,5,4,38.5,7,4,0.6,0,0,230,327,0.7,3,15,0.2,69,23,0.3,1,7,9,0.8,6,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,POST_MATCH_BACKFILLED_FACT
3,3,760416,Bósnia e Herzegovina,Bosnia-Herzegovina,bosnia e herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,2026-07-20T17:23:37.116259+00:00,20,3,0,0,4,1,38.9,8,3,0.4,0,0,172,271,0.6,6,10,0.6,62,17,0.3,1,12,20,0.6,11,70,70,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760416__72d2345af9f4f1de.json,POST_MATCH_BACKFILLED_FACT
3,3,760416,Canadá,Canada,canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,2026-07-20T17:23:37.116059+00:00,10,2,0,1,9,2,61.1,13,4,0.3,0,0,310,421,0.7,5,24,0.2,41,18,0.4,4,15,23,0.7,4,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760416__72d2345af9f4f1de.json,POST_MATCH_BACKFILLED_FACT
4,4,760417,Estados Unidos,United States,estados unidos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,2026-07-20T17:23:41.899213+00:00,13,1,0,2,3,1,65.3,16,6,0.4,0,0,509,598,0.9,3,19,0.2,48,26,0.5,4,7,9,0.8,9,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760417__010e1016083c1dbf.json,POST_MATCH_BACKFILLED_FACT
4,4,760417,Paraguai,Paraguay,paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,2026-07-20T17:23:41.899420+00:00,17,5,0,1,1,3,34.7,9,1,0.1,0,0,232,319,0.7,1,5,0.0,59,20,0.3,5,16,21,0.8,10,33,33,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760417__010e1016083c1dbf.json,POST_MATCH_BACKFILLED_FACT
5,5,760418,Escócia,Scotland,escocia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,2026-07-20T17:23:52.238813+00:00,21,3,0,1,3,2,46.3,9,2,0.2,0,0,307,374,0.8,5,14,0.4,58,30,0.5,2,5,12,0.4,6,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760418__2d3436ec86ea7a74.json,POST_MATCH_BACKFILLED_FACT
5,5,760418,Haiti,Haiti,haiti,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,2026-07-20T17:23:52.238615+00:00,23,1,0,3,4,1,53.7,15,2,0.1,0,0,367,431,0.9,5,23,0.2,59,26,0.4,4,7,12,0.6,6,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760418__2d3436ec86ea7a74.json,POST_MATCH_BACKFILLED_FACT
6,6,760421,Austrália,Australia,australia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,2026-07-20T17:23:55.389231+00:00,12,0,0,1,5,8,28.4,9,4,0.4,0,0,201,271,0.7,4,14,0.3,58,16,0.3,1,5,15,0.3,7,55,55,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760421__9f01db8a0d6e33d4.json,POST_MATCH_BACKFILLED_FACT
6,6,760421,Turquia,Türkiye,turquia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,2026-07-20T17:23:55.389631+00:00,4,1,0,3,8,2,71.6,30,8,0.3,0,0,635,704,0.9,2,26,0.1,28,19,0.7,12,8,12,0.7,4,29,29,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760421__9f01db8a0d6e33d4.json,POST_MATCH_BACKFILLED_FACT
7,7,760419,Brasil,Brazil,brasil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,2026-07-20T17:23:48.545623+00:00,16,2,0,0,6,2,51.4,12,5,0.4,0,0,449,514,0.9,4,16,0.3,36,18,0.5,3,13,23,0.6,5,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760419__31ded61d5db77506.json,POST_MATCH_BACKFILLED_FACT
7,7,760419,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,2026-07-20T17:23:48.545805+00:00,14,0,0,1,2,4,48.6,14,3,0.2,0,0,419,486,0.9,2,15,0.1,52,17,0.3,6,18,26,0.7,5,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760419__31ded61d5db77506.json,POST_MATCH_BACKFILLED_FACT
8,8,760420,Catar,Qatar,catar,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,2026-07-20T17:23:45.997724+00:00,12,2,0,0,3,5,32.0,6,3,0.5,0,0,200,278,0.7,1,9,0.1,64,19,0.3,0,9,14,0.6,11,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760420__b69d34406b912293.json,POST_MATCH_BACKFILLED_FACT
8,8,760420,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,2026-07-20T17:23:45.997909+00:00,11,1,0,1,10,3,68.0,26,7,0.3,0,1,527,576,0.9,6,35,0.2,35,27,0.8,9,6,8,0.8,7,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760420__b69d34406b912293.json,POST_MATCH_BACKFILLED_FACT
9,9,760423,Costa do Marfim,Ivory Coast,costa do marfim,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,2026-07-20T17:24:05.761514+00:00,10,3,0,0,3,1,48.4,15,4,0.3,0,0,397,470,0.8,2,8,0.3,40,18,0.5,3,9,14,0.6,11,29,29,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760423__00dcd92e69ccb35a.json,POST_MATCH_BACKFILLED_FACT
9,9,760423,Equador,Ecuador,equador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,2026-07-20T17:24:05.761703+00:00,13,1,0,0,6,3,51.6,12,1,0.1,0,0,419,492,0.9,4,14,0.3,36,11,0.3,3,15,21,0.7,13,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760423__00dcd92e69ccb35a.json,POST_MATCH_BACKFILLED_FACT
10,10,760422,Alemanha,Germany,alemanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,2026-07-20T17:23:58.255141+00:00,18,0,0,0,8,1,64.6,26,12,0.5,0,1,554,637,0.9,5,12,0.4,25,12,0.5,8,13,19,0.7,12,8,8,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760422__befb6cc31851ade2.json,POST_MATCH_BACKFILLED_FACT
10,10,760422,Curaçao,Curaçao,curacao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,2026-07-20T17:23:58.255325+00:00,11,0,0,1,1,4,35.4,8,2,0.3,0,0,282,343,0.8,2,7,0.3,44,17,0.4,0,8,16,0.5,16,25,25,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760422__befb6cc31851ade2.json,POST_MATCH_BACKFILLED_FACT
11,11,760425,Japão,Japan,japao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760425,2026-07-20T17:24:01.465558+00:00,7,0,0,0,4,4,40.2,10,3,0.3,0,0,286,341,0.8,6,23,0.3,36,13,0.4,1,10,11,0.9,4,32,32,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760425__710d99c286e874bd.json,POST_MATCH_BACKFILLED_FACT
11,11,760425,Países Baixos,Netherlands,paises baixos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760425,2026-07-20T17:24:01.465310+00:00,7,3,0,1,5,1,59.8,10,6,0.6,0,0,463,524,0.9,8,21,0.4,35,16,0.5,1,5,11,0.5,7,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760425__710d99c286e874bd.json,POST_MATCH_BACKFILLED_FACT
12,12,760424,Suécia,Sweden,suecia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760424,2026-07-20T17:24:10.777065+00:00,10,0,0,3,4,1,48.7,13,7,0.5,0,0,278,356,0.8,3,12,0.3,58,22,0.4,3,9,14,0.6,6,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760424__3151b4a80b018a3b.json,POST_MATCH_BACKFILLED_FACT
12,12,760424,Tunísia,Tunisia,tunisia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760424,2026-07-20T17:24:10.777253+00:00,8,1,0,6,2,1,51.3,6,2,0.3,0,0,292,371,0.8,3,13,0.2,53,24,0.5,1,12,21,0.6,6,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760424__3151b4a80b018a3b.json,POST_MATCH_BACKFILLED_FACT
13,13,760429,Arábia Saudita,Saudi Arabia,arabia saudita,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760429,2026-07-20T17:24:22.668886+00:00,11,1,0,0,4,9,33.2,7,3,0.4,0,0,236,322,0.7,3,6,0.5,41,10,0.2,1,8,11,0.7,9,43,43,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760429__1724a8248844b503.json,POST_MATCH_BACKFILLED_FACT
