jogo,jogo_original_fonte,espn_event_id,fifa_verified,fifa_home_score,fifa_away_score,fifa_orientation,fifa_url
1,1,760415,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2,2,760414,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
3,3,760416,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
4,4,760417,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
5,5,760418,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
6,6,760421,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
7,7,760419,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
8,8,760420,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
9,9,760423,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
10,10,760422,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
11,11,760425,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
12,12,760424,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
13,13,760429,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
14,14,760428,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
15,15,760427,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
16,16,760426,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
17,17,760432,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
18,18,760430,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
19,19,760433,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
20,20,760431,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
21,21,760434,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
22,22,760437,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
23,23,760435,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
24,24,760436,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
25,25,760438,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
26,26,760439,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
27,27,760440,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
28,28,760441,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
29,29,760444,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
30,30,760445,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
31,31,760443,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
32,32,760442,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
33,33,760448,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
34,34,760446,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
35,35,760447,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
36,36,760449,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
37,37,760450,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
38,38,760453,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
39,39,760451,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
40,40,760452,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
41,41,760454,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
42,42,760457,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
43,43,760456,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
44,44,760455,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
45,45,760458,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
46,46,760460,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
47,47,760461,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
48,48,760459,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
49,49,760465,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
50,50,760464,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
51,51,760463,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
52,52,760462,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
53,53,760467,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
54,54,760466,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
55,55,760473,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
56,56,760468,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
57,57,760471,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
58,58,760472,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
59,59,760470,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
60,60,760469,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
61,61,760475,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
62,62,760474,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
63,63,760476,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
64,64,760477,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
65,65,760478,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
66,66,760479,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
67,67,760485,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
68,68,760480,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
69,69,760484,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
70,70,760483,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
71,71,760481,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
72,72,760482,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
73,73,760486,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
74,74,760489,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
75,75,760488,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
76,76,760487,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
77,77,760492,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
78,78,760490,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
79,79,760491,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
80,80,760495,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
81,81,760494,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
82,82,760493,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
83,83,760496,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
84,84,760497,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
85,85,760498,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
86,86,760500,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
87,87,760501,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
88,88,760499,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
89,90,760503,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
90,89,760502,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
91,91,760504,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
92,92,760505,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
93,93,760506,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
94,94,760507,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
95,95,760509,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
96,96,760508,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
97,97,760510,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
98,98,760511,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
99,99,760512,False,,,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
