jogo,data,diaSemana,horaET,horaLocal,fase,ordemFase,grupo,rodadaGrupo,equipe1,equipe2,confronto,estadio,cidade,pais,status,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,fonte,source_secondary,canonical_result_agrees,has_events,has_commentary,has_team_stats,has_player_data,has_officials,has_penalty_kicks
1,2026-06-11,Quinta-feira,15:00,13:00,Fase de grupos,1,A,1.0,México,África do Sul,México x África do Sul,Estadio Azteca,Mexico City,México,Finalizado,2,0,2-0,,,México,Finalizado,REGULAR_TIME,,,760415,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,True,True,True,True,True,True,False
2,2026-06-11,Quinta-feira,22:00,20:00,Fase de grupos,1,A,1.0,Coreia do Sul,Tchéquia,Coreia do Sul x Tchéquia,Estadio Akron,Guadalajara,México,Finalizado,2,1,2-1,,,Coreia do Sul,Finalizado,REGULAR_TIME,,,760414,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,True,True,True,True,True,True,False
3,2026-06-12,Sexta-feira,15:00,15:00,Fase de grupos,1,B,1.0,Canadá,Bósnia e Herzegovina,Canadá x Bósnia e Herzegovina,BMO Field,Toronto,Canadá,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760416,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,True,True,True,True,True,True,False
4,2026-06-12,Sexta-feira,21:00,18:00,Fase de grupos,1,D,1.0,Estados Unidos,Paraguai,Estados Unidos x Paraguai,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,4,1,4-1,,,Estados Unidos,Finalizado,REGULAR_TIME,,,760417,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,True,True,True,True,True,True,False
5,2026-06-13,Sábado,21:00,21:00,Fase de grupos,1,C,1.0,Haiti,Escócia,Haiti x Escócia,Gillette Stadium,Boston,Estados Unidos,Finalizado,0,1,0-1,,,Escócia,Finalizado,REGULAR_TIME,,,760418,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,True,True,True,True,True,True,False
6,2026-06-13,Sábado,24:00,21:00,Fase de grupos,1,D,1.0,Austrália,Turquia,Austrália x Turquia,BC Place,Vancouver,Canadá,Finalizado,2,0,2-0,,,Austrália,Finalizado,REGULAR_TIME,,,760421,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,True,True,True,True,True,True,False
7,2026-06-13,Sábado,18:00,18:00,Fase de grupos,1,C,1.0,Brasil,Marrocos,Brasil x Marrocos,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760419,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,True,True,True,True,True,True,False
8,2026-06-13,Sábado,15:00,12:00,Fase de grupos,1,B,1.0,Catar,Suíça,Catar x Suíça,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760420,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,True,True,True,True,True,True,False
9,2026-06-14,Domingo,19:00,19:00,Fase de grupos,1,E,1.0,Costa do Marfim,Equador,Costa do Marfim x Equador,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado,1,0,1-0,,,Costa do Marfim,Finalizado,REGULAR_TIME,,,760423,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,True,True,True,True,True,True,False
10,2026-06-14,Domingo,13:00,12:00,Fase de grupos,1,E,1.0,Alemanha,Curaçao,Alemanha x Curaçao,NRG Stadium,Houston,Estados Unidos,Finalizado,7,1,7-1,,,Alemanha,Finalizado,REGULAR_TIME,,,760422,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,True,True,True,True,True,True,False
