jogo,jogo_original_fonte,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,fonte,source_secondary,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,conflict_reason,mapping_confidence,participant_change_required,scoreboard_summary_agree,fifa_agrees,source_data,source_equipe1,source_equipe2,source_orientation_swapped,canonical_result_agrees
1,1,2026-06-11,Fase de grupos,México,África do Sul,2,0,2-0,,,México,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,760415,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-11,México,África do Sul,False,True
2,2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2,1,2-1,,,Coreia do Sul,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,760414,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-11,Coreia do Sul,Tchéquia,False,True
3,3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760416,760416,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-12,Canadá,Bósnia e Herzegovina,False,True
4,4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,4,1,4-1,,,Estados Unidos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760417,760417,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-12,Estados Unidos,Paraguai,False,True
5,5,2026-06-13,Fase de grupos,Haiti,Escócia,0,1,0-1,,,Escócia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760418,760418,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-13,Haiti,Escócia,False,True
6,6,2026-06-14,Fase de grupos,Austrália,Turquia,2,0,2-0,,,Austrália,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421,760421,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-13,Austrália,Turquia,False,True
7,7,2026-06-13,Fase de grupos,Brasil,Marrocos,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419,760419,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-13,Brasil,Marrocos,False,True
8,8,2026-06-13,Fase de grupos,Catar,Suíça,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760420,760420,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-13,Catar,Suíça,False,True
9,9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1,0,1-0,,,Costa do Marfim,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760423,760423,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-14,Costa do Marfim,Equador,False,True
10,10,2026-06-14,Fase de grupos,Alemanha,Curaçao,7,1,7-1,,,Alemanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760422,760422,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-14,Alemanha,Curaçao,False,True
11,11,2026-06-14,Fase de grupos,Países Baixos,Japão,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760425,760425,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-14,Países Baixos,Japão,False,True
12,12,2026-06-14,Fase de grupos,Suécia,Tunísia,5,1,5-1,,,Suécia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760424,760424,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-14,Suécia,Tunísia,False,True
13,13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760429,760429,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-15,Arábia Saudita,Uruguai,False,True
14,14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,760428,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-15,Espanha,Cabo Verde,False,True
15,15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760427,760427,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-15,Irã,Nova Zelândia,False,True
16,16,2026-06-15,Fase de grupos,Bélgica,Egito,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,760426,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-15,Bélgica,Egito,False,True
17,17,2026-06-16,Fase de grupos,França,Senegal,3,1,3-1,,,França,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760432,760432,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-16,França,Senegal,False,True
18,18,2026-06-16,Fase de grupos,Iraque,Noruega,1,4,1-4,,,Noruega,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760430,760430,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-16,Iraque,Noruega,False,True
19,19,2026-06-16,Fase de grupos,Argentina,Argélia,3,0,3-0,,,Argentina,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,760433,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-16,Argentina,Argélia,False,True
20,20,2026-06-17,Fase de grupos,Áustria,Jordânia,3,1,3-1,,,Áustria,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,760431,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-16,Áustria,Jordânia,False,True
21,21,2026-06-17,Fase de grupos,Gana,Panamá,1,0,1-0,,,Gana,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760434,760434,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-17,Gana,Panamá,False,True
