match_id,team1,team2,stadium,city,country,weather_forecast,travel_distance_team1_km,travel_distance_team2_km,timezone_adjustment_team1_hours,timezone_adjustment_team2_hours,rest_days_team1,rest_days_team2,snapshot_at,source_dataset
1,México,África do Sul,Estadio Azteca,Mexico City,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
2,Coreia do Sul,Tchéquia,Estadio Akron,Guadalajara,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
3,Canadá,Bósnia e Herzegovina,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
4,Estados Unidos,Paraguai,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
5,Haiti,Escócia,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
6,Austrália,Turquia,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
7,Brasil,Marrocos,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
8,Catar,Suíça,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
9,Costa do Marfim,Equador,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
10,Alemanha,Curaçao,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
11,Países Baixos,Japão,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
12,Suécia,Tunísia,Estadio BBVA,Monterrey,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
13,Arábia Saudita,Uruguai,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
14,Espanha,Cabo Verde,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
15,Irã,Nova Zelândia,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
16,Bélgica,Egito,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
17,França,Senegal,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
18,Iraque,Noruega,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
19,Argentina,Argélia,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
20,Áustria,Jordânia,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
21,Gana,Panamá,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
22,Inglaterra,Croácia,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
23,Portugal,RD Congo,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
24,Uzbequistão,Colômbia,Estadio Azteca,Mexico City,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
25,Tchéquia,África do Sul,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
26,Suíça,Bósnia e Herzegovina,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
27,Canadá,Catar,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
28,México,Coreia do Sul,Estadio Akron,Guadalajara,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
29,Brasil,Haiti,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
30,Escócia,Marrocos,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
31,Turquia,Paraguai,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
32,Estados Unidos,Austrália,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
33,Alemanha,Costa do Marfim,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
34,Equador,Curaçao,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
35,Países Baixos,Suécia,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
36,Tunísia,Japão,Estadio BBVA,Monterrey,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
37,Uruguai,Cabo Verde,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
38,Espanha,Arábia Saudita,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
39,Bélgica,Irã,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
40,Nova Zelândia,Egito,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
41,Noruega,Senegal,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
42,França,Iraque,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
43,Argentina,Áustria,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
44,Jordânia,Argélia,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
45,Inglaterra,Gana,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
46,Panamá,Croácia,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
47,Portugal,Uzbequistão,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
48,Colômbia,RD Congo,Estadio Akron,Guadalajara,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
49,Escócia,Brasil,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
50,Marrocos,Haiti,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
51,Suíça,Canadá,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
52,Bósnia e Herzegovina,Catar,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
53,Tchéquia,México,Estadio Azteca,Mexico City,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
54,África do Sul,Coreia do Sul,Estadio BBVA,Monterrey,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
55,Curaçao,Costa do Marfim,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
56,Equador,Alemanha,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
57,Japão,Suécia,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
58,Tunísia,Países Baixos,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
59,Turquia,Estados Unidos,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
60,Paraguai,Austrália,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
61,Noruega,França,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
62,Senegal,Iraque,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
63,Egito,Irã,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
64,Nova Zelândia,Bélgica,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
65,Cabo Verde,Arábia Saudita,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
66,Uruguai,Espanha,Estadio Akron,Guadalajara,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
67,Panamá,Inglaterra,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
68,Croácia,Gana,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
69,Argélia,Áustria,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
70,Jordânia,Argentina,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
71,Colômbia,Portugal,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
72,RD Congo,Uzbequistão,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
73,África do Sul,Canadá,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
74,Alemanha,Paraguai,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
75,Países Baixos,Marrocos,Estadio BBVA,Monterrey,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
76,Brasil,Japão,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
77,França,Suécia,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
