player_id,team,player_name,snapshot_at,temporal_status,recent_minutes,recent_goals,recent_assists,offensive_participation,defensive_performance,injury_status,physical_condition,source_dataset,age,club,club_country,position,national_team_caps,national_team_goals,league_strength_proxy,player_quality_proxy
algeria::abada_achref,Algeria,ABADA Achref,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,USM Alger (ALG),ALG,DF,10,1,6.5,6.1
algeria::ait-nouri_rayan,Algeria,AIT-NOURI Rayan,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,Manchester City FC (ENG),ENG,DF,32,0,9.0,5.2
algeria::amoura_mohamed,Algeria,AMOURA Mohamed,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,VfL Wolfsburg (GER),GER,FW,48,19,9.0,8.3
algeria::aouar_houssem,Algeria,AOUAR Houssem,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Al Ittihad (KSA),KSA,MF,24,6,7.5,6.9
algeria::belaid_zineddine,Algeria,BELAID Zineddine,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,JS Kabylie (ALG),ALG,DF,19,1,6.5,5.6
algeria::belghali_ra_k,Algeria,BELGHALI Ra k,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,24,Hellas Verona FC (ITA),ITA,DF,15,1,9.0,6.5
algeria::benbot_oussama,Algeria,BENBOT Oussama,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,31,USM Alger (ALG),ALG,GK,3,0,6.5,4.0
algeria::benbouali_nadhir,Algeria,BENBOUALI Nadhir,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,Györi ETO FC (HUN),HUN,FW,5,2,6.5,5.8
algeria::bensebaini_ramy,Algeria,BENSEBAINI Ramy,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,31,Borussia Dortmund (GER),GER,DF,84,9,9.0,9.4
algeria::bentaleb_nabil,Algeria,BENTALEB Nabil,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,31,Lille OSC (FRA),FRA,MF,62,6,9.0,7.8
algeria::boudaoui_hicham,Algeria,BOUDAOUI Hicham,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,OGC Nice (FRA),FRA,MF,36,0,9.0,5.3
algeria::boulbina_adil,Algeria,BOULBINA Adil,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,Al Duhail SC (QAT),QAT,FW,12,5,6.5,5.9
algeria::chaibi_fares,Algeria,CHAIBI Fares,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,Eintracht Frankfurt (GER),GER,MF,33,3,9.0,6.4
algeria::chergui_samir,Algeria,CHERGUI Samir,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Paris FC (FRA),FRA,DF,5,0,9.0,4.0
algeria::ghedjemis_fares,Algeria,GHEDJEMIS Fares,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,Frosinone (ITA),ITA,FW,1,1,9.0,6.0
algeria::gouiri_amine,Algeria,GOUIRI Amine,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,Olympique Marseille (FRA),FRA,FW,25,11,9.0,7.3
algeria::hadj_moussa_anis,Algeria,HADJ MOUSSA Anis,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,24,Feyenoord Rotterdam (NED),NED,FW,17,2,7.5,5.0
algeria::hadjam_jaouen,Algeria,HADJAM Jaouen,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,BSC Young Boys (SUI),SUI,DF,19,3,7.5,6.4
algeria::mahrez_riyad,Algeria,MAHREZ Riyad,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,35,Al Ahli FC (KSA),KSA,FW,118,38,7.5,8.6
algeria::mandi_aissa,Algeria,MANDI Aissa,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,34,Lille OSC (FRA),FRA,DF,121,8,9.0,8.7
algeria::mastil_melvin,Algeria,MASTIL Melvin,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,FC Stade Nyonnais (SUI),SUI,GK,2,0,7.5,4.7
algeria::maza_ibrahim,Algeria,MAZA Ibrahim,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,20,Bayer 04 Leverkusen (GER),GER,MF,19,2,9.0,5.7
algeria::titraoui_yassine,Algeria,TITRAOUI Yassine,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,Sporting Charleroi (BEL),BEL,MF,5,0,7.5,3.3
algeria::tougai_mohamed_amine,Algeria,TOUGAI Mohamed Amine,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,Espérance De Tunisie (TUN),TUN,DF,30,2,5.5,6.3
algeria::zerrouki_ramiz,Algeria,ZERROUKI Ramiz,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,FC Twente (NED),NED,MF,55,3,7.5,6.7
algeria::zidane_luca,Algeria,ZIDANE Luca,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Granada CF (ESP),ESP,GK,9,0,9.0,5.7
argentina::almada_thiago,Argentina,ALMADA Thiago,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,Atlético De Madrid (ESP),ESP,FW,18,5,9.0,6.5
argentina::alvarez_julian,Argentina,ALVAREZ Julian,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,Atlético De Madrid (ESP),ESP,FW,53,14,9.0,8.0
argentina::barco_valentin,Argentina,BARCO Valentin,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,21,RC Strasbourg (FRA),FRA,MF,4,2,9.0,6.1
argentina::de_paul_rodrigo,Argentina,DE PAUL Rodrigo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,32,Inter Miami CF (USA),USA,MF,89,2,7.5,6.9
argentina::fernandez_enzo,Argentina,FERNANDEZ Enzo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,Chelsea FC (ENG),ENG,MF,44,6,9.0,7.9
argentina::gonzalez_nico,Argentina,GONZALEZ Nico,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Atlético De Madrid (ESP),ESP,MF,53,6,9.0,8.0
argentina::lo_celso_giovani,Argentina,LO CELSO Giovani,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,30,Real Betis (ESP),ESP,MF,67,4,9.0,7.7
argentina::lopez_jose_manuel,Argentina,LOPEZ Jose Manuel,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,SE Palmeiras (BRA),BRA,FW,5,0,7.5,3.6
argentina::mac_allister_alexis,Argentina,MAC ALLISTER Alexis,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Liverpool FC (ENG),ENG,MF,48,6,9.0,7.9
argentina::martinez_emiliano,Argentina,MARTINEZ Emiliano,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,33,Aston Villa FC (ENG),ENG,GK,61,0,9.0,8.2
argentina::martinez_lautaro,Argentina,MARTINEZ Lautaro,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,FC Internazionale Milano (ITA),ITA,FW,79,37,9.0,9.7
argentina::martinez_lisandro,Argentina,MARTINEZ Lisandro,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Manchester United FC (ENG),ENG,DF,30,1,9.0,6.1
argentina::medina_facundo,Argentina,MEDINA Facundo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Olympique Marseille (FRA),FRA,DF,11,0,9.0,4.2
argentina::messi_lionel,Argentina,MESSI Lionel,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,39,Inter Miami CF (USA),USA,FW,201,122,7.5,8.5
argentina::molina_nahuel,Argentina,MOLINA Nahuel,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Atlético De Madrid (ESP),ESP,DF,60,1,9.0,6.9
argentina::montiel_gonzalo,Argentina,MONTIEL Gonzalo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,29,CA River Plate (ARG),ARG,DF,40,2,7.5,6.7
argentina::musso_juan,Argentina,MUSSO Juan,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,32,Atlético De Madrid (ESP),ESP,GK,4,0,9.0,5.0
argentina::otamendi_nicolas,Argentina,OTAMENDI Nicolas,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,38,SL Ben ca (POR),POR,DF,134,8,7.5,7.8
argentina::palacios_exequiel,Argentina,PALACIOS Exequiel,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Bayer 04 Leverkusen (GER),GER,MF,40,0,9.0,5.5
argentina::paredes_leandro,Argentina,PAREDES Leandro,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,31,CA Boca Juniors (ARG),ARG,MF,78,5,7.5,7.6
argentina::paz_nico,Argentina,PAZ Nico,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,21,Como (ITA),ITA,FW,10,1,9.0,4.6
argentina::romero_cristian,Argentina,ROMERO Cristian,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Tottenham Hotspur FC (ENG),ENG,DF,53,3,9.0,7.8
argentina::rulli_geronimo,Argentina,RULLI Geronimo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,34,Olympique Marseille (FRA),FRA,GK,8,0,9.0,4.8
argentina::senesi_marcos,Argentina,SENESI Marcos,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,29,AFC Bournemouth (ENG),ENG,DF,3,0,9.0,3.9
argentina::simeone_giuliano,Argentina,SIMEONE Giuliano,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,Atlético De Madrid (ESP),ESP,FW,13,2,9.0,5.1
argentina::tagliafico_nicolas,Argentina,TAGLIAFICO Nicolas,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,33,Olympique Lyonnais (FRA),FRA,DF,77,1,9.0,7.2
australia::beach_patrick,Australia,BEACH Patrick,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,Melbourne City FC (AUS),AUS,GK,5,0,5.5,3.8
australia::behich_aziz,Australia,BEHICH Aziz,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,35,Melbourne City FC (AUS),AUS,DF,86,3,5.5,6.9
australia::bos_jordan,Australia,BOS Jordan,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,23,Feyenoord Rotterdam (NED),NED,DF,30,4,7.5,6.9
australia::burgess_cameron,Australia,BURGESS Cameron,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,30,Swansea City AFC (WAL),WAL,DF,29,0,5.5,4.1
australia::circati_alessandro,Australia,CIRCATI Alessandro,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,Parma (ITA),ITA,DF,16,1,9.0,6.1
australia::degenek_milos,Australia,DEGENEK Milos,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,32,APOEL FC (CYP),CYP,DF,57,1,5.5,5.6
australia::devlin_cameron,Australia,DEVLIN Cameron,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,Heart Of Midlothian FC (SCO),SCO,MF,5,0,7.5,3.6
australia::geria_jason,Australia,GERIA Jason,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,33,Albirex Niigata (JPN),JPN,DF,16,0,6.5,3.5
australia::herrington_lucas,Australia,HERRINGTON Lucas,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,18,Colorado Rapids (USA),USA,DF,5,0,7.5,3.0
australia::hrustic_ajdin,Australia,HRUSTIC Ajdin,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,29,SC Heracles Almelo (NED),NED,FW,38,3,7.5,5.6
australia::irankunda_nestory,Australia,IRANKUNDA Nestory,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,20,Watford FC (ENG),ENG,FW,18,6,9.0,6.3
australia::irvine_jackson,Australia,IRVINE Jackson,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,33,FC St. Pauli (GER),GER,MF,85,14,9.0,9.4
australia::italiano_jacob,Australia,ITALIANO Jacob,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,24,Grazer AK (AUT),AUT,DF,7,0,7.5,3.7
australia::izzo_paul,Australia,IZZO Paul,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,31,Randers FC (DEN),DEN,GK,4,0,7.5,4.5
australia::leckie_mathew,Australia,LECKIE Mathew,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,35,Melbourne City FC (AUS),AUS,FW,82,14,5.5,7.0
australia::mabil_awer,Australia,MABIL Awer,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,30,CD Castellón (ESP),ESP,FW,38,10,9.0,7.3
australia::metcalfe_connor,Australia,METCALFE Connor,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,26,FC St. Pauli (GER),GER,MF,39,2,9.0,6.3
australia::okon-engstler_paul,Australia,OKON-ENGSTLER Paul,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,21,Sydney FC (AUS),AUS,MF,9,0,5.5,3.0
australia::oneill_aiden,Australia,ONEILL Aiden,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,New York City FC (USA),USA,MF,34,0,7.5,4.9
australia::ryan_mathew,Australia,RYAN Mathew,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,34,Levante UD (ESP),ESP,GK,104,0,9.0,8.9
australia::souttar_harry,Australia,SOUTTAR Harry,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Leicester City FC (ENG),ENG,DF,41,11,9.0,8.0
australia::toure_mohamed,Australia,TOURE Mohamed,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,Norwich City FC (ENG),ENG,FW,12,2,9.0,5.2
australia::trewin_kai,Australia,TREWIN Kai,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,New York City FC (USA),USA,DF,6,0,7.5,3.6
australia::velupillay_nishan,Australia,VELUPILLAY Nishan,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,Melbourne Victory FC (AUS),AUS,FW,9,3,5.5,5.6
australia::volpato_cristian,Australia,VOLPATO Cristian,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,US Sassuolo (ITA),ITA,FW,3,0,9.0,3.6
australia::yengi_tete,Australia,YENGI Tete,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,FC Machida Zelvia (JPN),JPN,FW,3,1,6.5,5.6
austria::affengruber_david,Austria,AFFENGRUBER David,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,25,Elche CF (ESP),ESP,DF,1,0,9.0,3.8
austria::alaba_david,Austria,ALABA David,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,34,Real Madrid C. F. (ESP),ESP,DF,115,15,9.0,9.2
austria::arnautovic_marko,Austria,ARNAUTOVIC Marko,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,37,FK Crvena Zvezda (SRB),SRB,FW,135,48,6.5,8.2
austria::chukwuemeka_carney,Austria,CHUKWUEMEKA Carney,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,22,Borussia Dortmund (GER),GER,MF,5,1,9.0,6.2
austria::danso_kevin,Austria,DANSO Kevin,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,27,Tottenham Hotspur FC (ENG),ENG,DF,34,0,9.0,5.2
austria::friedl_marco,Austria,FRIEDL Marco,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,28,SV Werder Bremen (GER),GER,DF,12,0,9.0,4.3
austria::gregoritsch_michael,Austria,GREGORITSCH Michael,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,32,FC Augsburg (GER),GER,FW,76,24,9.0,9.0
austria::grillitsch_florian,Austria,GRILLITSCH Florian,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/players_database.csv,30,SC Braga (POR),POR,MF,59,1,7.5,6.2
