team,snapshot_at,temporal_status,fifa_ranking,fifa_points,recent_matches,recent_points_per_match,qualifying_performance,recent_goals_for,recent_goals_against,source_dataset,ranking_source,recent_form_source,coach,tactical_style,base_system,initial_strength_proxy,attack_proxy,midfield_proxy,defense_proxy,goalkeeper_proxy,experience_proxy,possession_proxy,pressing_proxy,intensity_proxy
Alemanha,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,NAGELSMANN Julian,"pressão, rotação posicional e jogo entrelinhas",4-2-3-1 / 3-4-2-1,69.5,4.92,6.65,6.03,6.3,8.23,8.0,8.0,8.0
Argentina,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,SCALONI Lionel,"controle, flexibilidade e competitividade",4-3-3 / 4-4-2 ajustável,70.9,5.56,7.2,5.91,6.0,9.05,8.0,5.0,6.8
Argélia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,PETKOVIC Vladimir,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,64.8,5.3,6.01,5.81,4.8,8.01,5.0,5.0,5.0
Arábia Saudita,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,DONIS Georgios,"intensidade, meio-campo técnico e transição",4-3-3 / 4-2-3-1,63.4,5.17,5.7,5.12,5.97,8.39,5.0,6.8,8.0
Austrália,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,POPOVIC Tony,"organização, força física e jogo direto",4-4-2 / 4-2-3-1,60.9,4.91,5.44,5.01,5.73,7.93,4.0,5.0,8.0
Brasil,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,ANCELOTTI Carlo,"equilíbrio, liberdade ofensiva e transição de elite",4-3-3 / 4-2-3-1,67.9,5.51,6.42,5.44,6.4,8.4,8.0,7.2,8.0
Bélgica,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,GARCIA Rudi,posse com veteranos criativos e transição,4-3-3 / 4-2-3-1,69.8,5.42,6.95,5.61,6.03,8.74,8.0,5.0,5.0
Bósnia e Herzegovina,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BARBAREZ Sergej,"jogo direto, experiência e cruzamentos",4-2-3-1,55.0,4.26,4.8,4.97,4.77,7.51,4.0,3.0,5.0
Cabo Verde,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BUBISTA,"organização, transição e agressividade física",4-3-3 / 4-2-3-1,59.3,4.3,5.68,5.07,5.7,8.14,4.0,5.0,8.0
Canadá,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,MARSCH Jesse,"pressão alta, verticalidade e transição rápida",4-2-3-1 / 3-4-3,67.0,5.63,6.59,5.3,5.6,8.5,5.0,8.0,9.0
Catar,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,LOPETEGUI Julen,"posse, saída curta e controle territorial",4-3-3 / 4-2-3-1,66.6,5.38,6.08,5.29,5.77,9.58,8.0,5.0,5.0
Colômbia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,LORENZO Nestor,"equilíbrio, lado forte ofensivo e transição",4-2-3-1 / 4-3-3,67.8,5.03,6.4,6.0,6.13,8.65,6.8,6.8,8.0
Coreia do Sul,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,HONG Myungbo,"intensidade, velocidade e jogo pelos lados",4-2-3-1,67.4,5.1,6.79,4.91,6.2,8.5,5.0,6.8,8.0
Costa do Marfim,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,FAE Emerse,"força física, transição e ataques pelos lados",4-3-3,63.2,5.03,6.43,5.3,5.3,7.85,5.0,6.8,8.0
Croácia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,DALIC Zlatko,"controle de meio, experiência e ritmo cadenciado",4-3-3,68.2,5.15,6.8,5.74,6.07,8.88,8.0,5.0,5.0
Curaçao,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,ADVOCAAT Dick,"pragmatismo, bloco compacto e experiência",4-2-3-1 / 5-4-1,59.5,4.79,6.61,4.7,5.83,7.58,3.0,3.0,5.0
