jogo,fase,grupo,data,equipe1_prevista,equipe2_prevista,placar_previsto_original,gols1_previsto_original,gols2_previsto_original,placar_previsto_atual,gols1_previsto_atual,gols2_previsto_atual,vencedor_previsto_original,vencedor_previsto_atual,tipo_previsao,confianca_modelo,xg1_modelo,xg2_modelo,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,fonte_previsao,arbitro_principal,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10
1,Fase de grupos,A,2026-06-11,México,África do Sul,1-0,1,0,1-0,1,0,México,México,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.263,0.697,0.5012,0.2949,0.2038,,,Modelo diário recalibrado,AL JASSIM Abdulrahman,7.9,6.7
2,Fase de grupos,A,2026-06-11,Coreia do Sul,Tchéquia,2-1,2,1,2-1,2,1,Coreia do Sul,Coreia do Sul,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.083,0.993,0.3627,0.3053,0.332,,,Modelo diário recalibrado,AL TURAIS Khalid,4.8,6.1
3,Fase de grupos,B,2026-06-12,Canadá,Bósnia e Herzegovina,1-0,1,0,1-0,1,0,Canadá,Canadá,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.275,0.77,0.4873,0.296,0.2167,,,Modelo diário recalibrado,ARAKI Yusuke,5.8,5.0
4,Fase de grupos,D,2026-06-12,Estados Unidos,Paraguai,1-0,1,0,1-0,1,0,Estados Unidos,Estados Unidos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.296,0.661,0.5207,0.2869,0.1924,,,Modelo diário recalibrado,ARTAN Omar Abdulkadir,6.5,5.8
5,Fase de grupos,C,2026-06-13,Haiti,Escócia,0-1,0,1,0-1,0,1,Escócia,Escócia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.788,1.199,0.2452,0.2975,0.4572,,,Modelo diário recalibrado,ATCHO Pierre,7.6,7.7
6,Fase de grupos,D,2026-06-13,Austrália,Turquia,0-1,0,1,0-1,0,1,Turquia,Turquia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.78,1.177,0.2483,0.2967,0.455,,,Modelo diário recalibrado,BARTON Ivan,5.8,4.5
7,Fase de grupos,C,2026-06-13,Brasil,Marrocos,1-0,1,0,1-0,1,0,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.158,0.878,0.422,0.3072,0.2708,,,Modelo diário recalibrado,BEIDA Dahane,6.9,5.9
8,Fase de grupos,B,2026-06-13,Catar,Suíça,0-1,0,1,0-1,0,1,Suíça,Suíça,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.899,1.204,0.2729,0.3039,0.4232,,,Modelo diário recalibrado,BENITEZ Juan Gabriel,6.5,5.3
9,Fase de grupos,E,2026-06-14,Costa do Marfim,Equador,1-0,1,0,1-0,1,0,Costa do Marfim,Costa do Marfim,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.997,0.933,0.3585,0.3142,0.3273,,,Modelo diário recalibrado,CALDERON Juan,6.2,7.5
10,Fase de grupos,E,2026-06-14,Alemanha,Curaçao,1-0,1,0,1-0,1,0,Alemanha,Alemanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.205,0.758,0.4688,0.3033,0.2279,,,Modelo diário recalibrado,CLAUS Raphael,8.2,4.9
