jogo,data,fase,grupo,equipe1,equipe2,team1_id,team2_id,has_real,gols1_real,gols2_real,target_goal_diff,target_total_goals,days_from_start,is_knockout,grupo_num,diff_forca_modelo_0_100,sum_forca_modelo_0_100,diff_ataque_score,sum_ataque_score,diff_meio_score,sum_meio_score,diff_defesa_score,sum_defesa_score,diff_goleiro_score,sum_goleiro_score,diff_experiencia_score,sum_experiencia_score,diff_intensidade_valor,sum_intensidade_valor,diff_posse_valor,sum_posse_valor,diff_pressao_valor,sum_pressao_valor,diff_player_proxy_mean,sum_player_proxy_mean,diff_player_proxy_top18,sum_player_proxy_top18,diff_league_score_mean,sum_league_score_mean,diff_league_score_top11,sum_league_score_top11,diff_caps_mean,sum_caps_mean,diff_caps_total,sum_caps_total,diff_caps_total_players,sum_caps_total_players,diff_goals_selection_total_players,sum_goals_selection_total_players,diff_gols_selecao_total,sum_gols_selecao_total,attack_vs_def_1,attack_vs_def_2,press_vs_posse_1,press_vs_posse_2
1,2026-06-11,Fase de grupos,A,México,África do Sul,32,0,True,2.0,0.0,2.0,2.0,0,0.0,1,8.600000000000009,127.2,0.09999999999999964,9.92,-0.9399999999999995,12.5,2.21,11.010000000000002,0.5999999999999996,11.26,1.7999999999999998,16.24,0.0,16.0,1.0,9.0,1.7999999999999998,11.8,0.15769230769230802,12.611538461538462,0.13888888888888928,14.25,-0.3076923076923075,15.26923076923077,-0.545454545454545,16.909090909090907,10.115384615384613,87.5,703,1835,263.0,2275.0,0.0,246.0,55,191,0.6099999999999994,-1.7000000000000002,2.8,0.0
2,2026-06-11,Fase de grupos,A,Coreia do Sul,Tchéquia,14,43,True,2.0,1.0,1.0,3.0,0,0.0,1,5.6000000000000085,129.2,0.10999999999999943,10.09,1.0499999999999998,12.530000000000001,-0.4299999999999997,10.25,1.1000000000000005,11.3,0.5999999999999996,16.4,0.0,16.0,1.0,9.0,1.7999999999999998,11.8,-0.06923076923076987,12.384615384615383,0.13888888888888928,14.25,-0.38461538461538414,15.192307692307693,-0.2727272727272716,17.18181818181818,0.0,77.38461538461539,236,1776,0.0,2012.0,21.0,267.0,44,244,-0.2400000000000002,0.08000000000000007,2.8,0.0
3,2026-06-12,Fase de grupos,B,Canadá,Bósnia e Herzegovina,11,8,True,1.0,1.0,0.0,2.0,1,0.0,2,12.0,122.0,1.37,9.89,1.79,11.39,0.33000000000000007,10.27,0.8300000000000001,10.37,0.9900000000000002,16.009999999999998,4.0,14.0,1.0,9.0,5.0,11.0,0.0,12.453846153846154,-0.049999999999998934,14.061111111111112,0.1538461538461542,15.73076923076923,0.2727272727272734,17.727272727272727,-0.0384615384615401,77.34615384615384,360,1650,-1.0,2011.0,17.0,263.0,43,237,0.6600000000000001,-1.04,4.0,-2.0
4,2026-06-12,Fase de grupos,D,Estados Unidos,Paraguai,22,37,True,4.0,1.0,3.0,5.0,1,0.0,4,11.299999999999997,130.7,1.6399999999999997,10.3,0.9900000000000002,12.77,0.8499999999999996,11.49,1.1300000000000008,10.33,0.71,16.31,0.0,16.0,2.8,10.8,3.0,13.0,0.0,12.453846153846154,0.0,14.11111111111111,0.0,15.576923076923077,0.0,17.454545454545453,0.0,77.38461538461539,272,1746,0.0,2012.0,0.0,246.0,76,186,0.6499999999999995,-1.8399999999999999,4.0,-1.7999999999999998
5,2026-06-13,Fase de grupos,C,Haiti,Escócia,25,20,True,0.0,1.0,-1.0,1.0,2,0.0,3,-9.700000000000003,128.10000000000002,-0.28000000000000025,10.059999999999999,-2.8099999999999996,11.530000000000001,-0.8899999999999997,10.95,0.27000000000000046,13.129999999999999,-0.919999999999999,16.14,0.0,16.0,-1.0,7.0,-2.0,8.0,-0.8230769230769228,11.630769230769232,-0.8055555555555554,13.305555555555555,-0.21153846153846168,15.365384615384615,-0.1363636363636349,17.31818181818182,-12.730769230769234,64.65384615384616,-346,1696,-331.0,1681.0,-7.0,239.0,17,215,-1.0300000000000002,0.13999999999999968,-1.0,2.0
6,2026-06-13,Fase de grupos,D,Austrália,Turquia,5,45,True,2.0,0.0,2.0,2.0,2,0.0,4,-8.100000000000001,129.9,-0.39999999999999947,10.219999999999999,-1.5999999999999996,12.48,-1.38,11.399999999999999,-0.3699999999999992,11.83,-0.5999999999999996,16.46,0.0,16.0,-2.8,10.8,-1.7999999999999998,11.8,-0.9576923076923078,11.880769230769232,-0.7111111111111104,13.4,-0.6153846153846159,15.423076923076923,0.0,17.454545454545453,-9.230769230769226,69.3076923076923,-240,1802,-240.0,1802.0,-25.0,175.0,-25,175,-1.4799999999999995,0.2999999999999998,-1.7999999999999998,2.8
7,2026-06-13,Fase de grupos,C,Brasil,Marrocos,9,31,True,1.0,1.0,0.0,2.0,2,0.0,3,4.400000000000006,131.4,0.8999999999999995,10.120000000000001,0.6100000000000003,12.23,0.2600000000000007,10.620000000000001,0.16999999999999993,12.63,0.5500000000000007,16.25,0.0,16.0,3.0,13.0,2.2,12.2,0.0,12.453846153846154,0.0,14.11111111111111,0.0,15.576923076923077,0.0,17.454545454545453,0.0,77.38461538461539,210,1718,0.0,2012.0,0.0,246.0,52,266,0.33000000000000007,-0.8300000000000001,2.2,-3.0
8,2026-06-13,Fase de grupos,B,Catar,Suíça,12,42,True,1.0,1.0,0.0,2.0,2,0.0,2,-3.5,136.7,-0.21999999999999975,10.98,-0.5800000000000001,12.74,-0.5199999999999996,11.1,0.33999999999999986,11.2,0.7200000000000006,18.439999999999998,-1.7999999999999998,11.8,3.0,13.0,0.0,10.0,0.0,12.453846153846154,0.0,14.11111111111111,0.0,15.576923076923077,0.0,17.454545454545453,0.0,77.38461538461539,438,2798,0.0,2012.0,0.0,246.0,86,348,-0.4299999999999997,0.3099999999999996,0.0,-3.0
9,2026-06-14,Fase de grupos,E,Costa do Marfim,Equador,15,19,True,1.0,0.0,1.0,1.0,3,0.0,5,1.3000000000000043,125.1,0.39000000000000057,9.67,1.0199999999999996,11.84,-0.3600000000000003,10.96,0.46999999999999975,10.129999999999999,-0.17999999999999972,15.879999999999999,-1.0,17.0,-1.7999999999999998,11.8,-1.2000000000000002,14.8,0.0,12.453846153846154,0.0,14.11111111111111,0.0,15.576923076923077,0.0,17.454545454545453,0.0,77.38461538461539,-62,1570,0.0,2012.0,0.0,246.0,-10,182,-0.6299999999999999,-0.6600000000000001,0.0,3.0
10,2026-06-14,Fase de grupos,E,Alemanha,Curaçao,1,17,True,7.0,1.0,6.0,8.0,3,0.0,5,10.0,129.0,0.1299999999999999,9.71,0.040000000000000036,13.260000000000002,1.33,10.73,0.46999999999999975,12.129999999999999,0.6500000000000004,15.81,3.0,13.0,5.0,11.0,5.0,11.0,0.7192307692307693,11.734615384615385,0.9055555555555559,13.205555555555556,0.3076923076923075,15.26923076923077,0.8181818181818175,16.636363636363637,13.03846153846154,64.34615384615384,225,1559,339.0,1673.0,50.0,196.0,42,188,0.21999999999999975,-1.2400000000000002,5.0,-5.0
