epoch,train_loss,val_loss
1,1.964168,1.568783
2,1.622882,1.420557
3,1.344494,1.333634
4,1.096998,1.307008
5,0.963473,1.300467
6,0.905419,1.322631
7,0.746545,1.374909
8,0.671247,1.357843
9,0.595338,1.26037
10,0.540557,1.227101
11,0.475044,1.340102
12,0.357457,1.444882
13,0.321216,1.44561
14,0.263333,1.370395
15,0.325266,1.368643
16,0.317904,1.421952
17,0.256111,1.452043
18,0.24409,1.427516
19,0.237404,1.407262
20,0.277665,1.286052
21,0.201243,1.421699
22,0.201972,1.477497
23,0.218318,1.426349
24,0.178795,1.386129
25,0.212576,1.375621
26,0.182595,1.32283
27,0.161444,1.347599
28,0.150363,1.430358
29,0.229247,1.532236
30,0.153489,1.544086
31,0.142792,1.415958
32,0.129925,1.364839
33,0.122246,1.391876
34,0.14914,1.361175
35,0.134061,1.453906
36,0.144777,1.449438
37,0.10013,1.424811
38,0.09051,1.4052
39,0.096666,1.331094
40,0.116972,1.365399
41,0.109214,1.405795
42,0.122675,1.446447
43,0.1368,1.420272
44,0.128352,1.329613
45,0.078618,1.30635
