jogo,fase,grupo,data,equipe1,equipe2,gols1_neural_float,gols2_neural_float,goal_diff_neural_float,total_goals_neural_float,placar_rede_neural,gols1_rede_neural,gols2_rede_neural,vencedor_rede_neural,possui_real,placar_real,vencedor_real
1,Fase de grupos,A,2026-06-11,México,África do Sul,2.0206,0.466,1.5546,2.4866,2-0,2,0,México,Sim,2-0,México
2,Fase de grupos,A,2026-06-11,Coreia do Sul,Tchéquia,1.9493,0.7328,1.2165,2.6821,2-1,2,1,Coreia do Sul,Sim,2-1,Coreia do Sul
3,Fase de grupos,B,2026-06-12,Canadá,Bósnia e Herzegovina,2.0098,0.6322,1.3776,2.642,2-1,2,1,Canadá,Sim,1-1,Empate
4,Fase de grupos,D,2026-06-12,Estados Unidos,Paraguai,2.0527,0.683,1.3697,2.7357,2-1,2,1,Estados Unidos,Sim,4-1,Estados Unidos
5,Fase de grupos,C,2026-06-13,Haiti,Escócia,0.9591,1.2444,-0.2853,2.2035,1-1,1,1,Escócia,Sim,0-1,Escócia
6,Fase de grupos,D,2026-06-13,Austrália,Turquia,1.0322,1.2677,-0.2355,2.3,1-1,1,1,Turquia,Sim,2-0,Austrália
7,Fase de grupos,C,2026-06-13,Brasil,Marrocos,1.9353,0.7314,1.204,2.6667,2-1,2,1,Brasil,Sim,1-1,Empate
8,Fase de grupos,B,2026-06-13,Catar,Suíça,1.6239,0.9195,0.7043,2.5434,2-1,2,1,Catar,Sim,1-1,Empate
9,Fase de grupos,E,2026-06-14,Costa do Marfim,Equador,1.4571,0.9038,0.5533,2.3609,1-1,1,1,Costa do Marfim,Sim,1-0,Costa do Marfim
10,Fase de grupos,E,2026-06-14,Alemanha,Curaçao,2.1315,0.5652,1.5663,2.6967,2-1,2,1,Alemanha,Sim,7-1,Alemanha
11,Fase de grupos,F,2026-06-14,Países Baixos,Japão,2.0909,0.6023,1.4886,2.6931,2-1,2,1,Países Baixos,Sim,2-2,Empate
12,Fase de grupos,F,2026-06-14,Suécia,Tunísia,1.9746,0.6259,1.3487,2.6005,2-1,2,1,Suécia,Sim,5-1,Suécia
13,Fase de grupos,H,2026-06-15,Arábia Saudita,Uruguai,1.7164,0.8337,0.8827,2.5501,2-1,2,1,Arábia Saudita,Sim,1-1,Empate
14,Fase de grupos,H,2026-06-15,Espanha,Cabo Verde,2.0828,0.5489,1.5339,2.6316,2-1,2,1,Espanha,Sim,0-0,Empate
15,Fase de grupos,G,2026-06-15,Irã,Nova Zelândia,1.2565,1.0556,0.2008,2.3121,1-1,1,1,Irã,Sim,2-2,Empate
16,Fase de grupos,G,2026-06-15,Bélgica,Egito,1.8741,0.691,1.183,2.5651,2-1,2,1,Bélgica,Sim,1-1,Empate
17,Fase de grupos,I,2026-06-16,França,Senegal,1.9042,0.8054,1.0989,2.7096,2-1,2,1,França,Sim,3-1,França
18,Fase de grupos,I,2026-06-16,Iraque,Noruega,1.0716,1.3203,-0.2487,2.3919,1-1,1,1,Noruega,Sim,1-4,Noruega
19,Fase de grupos,J,2026-06-16,Argentina,Argélia,1.8948,0.7274,1.1674,2.6222,2-1,2,1,Argentina,Sim,3-0,Argentina
20,Fase de grupos,J,2026-06-16,Áustria,Jordânia,2.1275,0.5374,1.5902,2.6649,2-1,2,1,Áustria,Sim,3-1,Áustria
21,Fase de grupos,L,2026-06-17,Gana,Panamá,1.2729,0.9814,0.2915,2.2543,1-1,1,1,Gana,Sim,1-0,Gana
22,Fase de grupos,L,2026-06-17,Inglaterra,Croácia,1.8673,0.9116,0.9557,2.7789,2-1,2,1,Inglaterra,Sim,4-2,Inglaterra
23,Fase de grupos,K,2026-06-17,Portugal,RD Congo,2.0852,0.5915,1.4937,2.6768,2-1,2,1,Portugal,Sim,1-1,Empate
24,Fase de grupos,K,2026-06-17,Uzbequistão,Colômbia,0.8974,1.3424,-0.445,2.2398,1-1,1,1,Colômbia,Sim,1-3,Colômbia
25,Fase de grupos,A,2026-06-18,Tchéquia,África do Sul,1.46,0.8993,0.5606,2.3593,1-1,1,1,Tchéquia,Sim,1-1,Empate
26,Fase de grupos,B,2026-06-18,Suíça,Bósnia e Herzegovina,1.9576,0.6524,1.3053,2.61,2-1,2,1,Suíça,Sim,4-1,Suíça
27,Fase de grupos,B,2026-06-18,Canadá,Catar,2.0516,0.528,1.5236,2.5797,2-1,2,1,Canadá,Sim,6-0,Canadá
28,Fase de grupos,A,2026-06-18,México,Coreia do Sul,1.8729,0.2956,1.5773,2.1686,2-0,2,0,México,Sim,1-0,México
29,Fase de grupos,C,2026-06-19,Brasil,Haiti,2.1434,0.5235,1.6199,2.6669,2-1,2,1,Brasil,Sim,3-0,Brasil
30,Fase de grupos,C,2026-06-19,Escócia,Marrocos,0.7971,1.1258,-0.3287,1.923,1-1,1,1,Marrocos,Sim,0-1,Marrocos
31,Fase de grupos,D,2026-06-19,Turquia,Paraguai,1.8242,0.7825,1.0417,2.6067,2-1,2,1,Turquia,Sim,0-1,Paraguai
32,Fase de grupos,D,2026-06-19,Estados Unidos,Austrália,2.1715,0.5471,1.6244,2.7186,2-1,2,1,Estados Unidos,Sim,2-0,Estados Unidos
33,Fase de grupos,E,2026-06-20,Alemanha,Costa do Marfim,2.0438,0.6126,1.4312,2.6564,2-1,2,1,Alemanha,Sim,2-1,Alemanha
34,Fase de grupos,E,2026-06-20,Equador,Curaçao,1.9476,0.5883,1.3594,2.5359,2-1,2,1,Equador,Sim,0-0,Empate
35,Fase de grupos,F,2026-06-20,Países Baixos,Suécia,2.0485,0.6128,1.4357,2.6613,2-1,2,1,Países Baixos,Sim,5-1,Países Baixos
36,Fase de grupos,F,2026-06-20,Tunísia,Japão,0.7968,1.308,-0.5112,2.1049,1-1,1,1,Japão,Sim,0-4,Japão
37,Fase de grupos,H,2026-06-21,Uruguai,Cabo Verde,1.7244,0.8008,0.9236,2.5252,2-1,2,1,Uruguai,Sim,2-2,Empate
38,Fase de grupos,H,2026-06-21,Espanha,Arábia Saudita,2.0856,0.5122,1.5734,2.5979,2-1,2,1,Espanha,Sim,4-0,Espanha
39,Fase de grupos,G,2026-06-21,Bélgica,Irã,1.2466,0.7242,0.5223,1.9708,1-1,1,1,Bélgica,Sim,0-0,Empate
40,Fase de grupos,G,2026-06-21,Nova Zelândia,Egito,0.8217,1.2453,-0.4236,2.067,1-1,1,1,Egito,Sim,1-3,Egito
41,Fase de grupos,I,2026-06-22,Noruega,Senegal,1.6757,1.007,0.6687,2.6827,2-1,2,1,Noruega,Sim,3-2,Noruega
42,Fase de grupos,I,2026-06-22,França,Iraque,1.8755,0.7832,1.0923,2.6586,2-1,2,1,França,Sim,3-0,França
43,Fase de grupos,J,2026-06-22,Argentina,Áustria,2.0856,0.6649,1.4207,2.7504,2-1,2,1,Argentina,Sim,2-0,Argentina
44,Fase de grupos,J,2026-06-22,Jordânia,Argélia,0.774,1.3642,-0.5901,2.1382,1-1,1,1,Argélia,Sim,1-2,Argélia
45,Fase de grupos,L,2026-06-23,Inglaterra,Gana,1.7689,0.6364,1.1325,2.4053,2-1,2,1,Inglaterra,Sim,0-0,Empate
46,Fase de grupos,L,2026-06-23,Panamá,Croácia,0.9214,1.1354,-0.2141,2.0568,1-1,1,1,Croácia,Sim,0-1,Croácia
47,Fase de grupos,K,2026-06-23,Portugal,Uzbequistão,2.0123,0.5834,1.4288,2.5957,2-1,2,1,Portugal,Sim,5-0,Portugal
48,Fase de grupos,K,2026-06-23,Colômbia,RD Congo,2.0711,0.5551,1.516,2.6262,2-1,2,1,Colômbia,Sim,1-0,Colômbia
49,Fase de grupos,C,2026-06-24,Escócia,Brasil,1.0032,1.1482,-0.1451,2.1514,1-1,1,1,Brasil,Sim,0-3,Brasil
50,Fase de grupos,C,2026-06-24,Marrocos,Haiti,1.9866,0.6076,1.379,2.5942,2-1,2,1,Marrocos,Sim,4-2,Marrocos
51,Fase de grupos,B,2026-06-24,Suíça,Canadá,1.7042,0.8069,0.8972,2.5111,2-1,2,1,Suíça,Sim,2-1,Suíça
52,Fase de grupos,B,2026-06-24,Bósnia e Herzegovina,Catar,1.3505,1.1263,0.2242,2.4768,1-1,1,1,Bósnia e Herzegovina,Sim,3-1,Bósnia e Herzegovina
53,Fase de grupos,A,2026-06-24,Tchéquia,México,0.8877,1.1791,-0.2915,2.0668,1-1,1,1,México,Sim,0-3,México
54,Fase de grupos,A,2026-06-24,África do Sul,Coreia do Sul,1.4583,0.8167,0.6416,2.275,1-1,1,1,África do Sul,Sim,1-0,África do Sul
55,Fase de grupos,E,2026-06-25,Curaçao,Costa do Marfim,0.6881,1.3013,-0.6132,1.9895,1-1,1,1,Costa do Marfim,Sim,0-2,Costa do Marfim
