feature,tipo,uso
days_from_start,numérica padronizada,entrada da MLP / rede neural
is_knockout,numérica padronizada,entrada da MLP / rede neural
grupo_num,numérica padronizada,entrada da MLP / rede neural
gols1_previsto_atual,numérica padronizada,entrada da MLP / rede neural
gols2_previsto_atual,numérica padronizada,entrada da MLP / rede neural
gols1_previsto_original,numérica padronizada,entrada da MLP / rede neural
gols2_previsto_original,numérica padronizada,entrada da MLP / rede neural
xg1_modelo,numérica padronizada,entrada da MLP / rede neural
xg2_modelo,numérica padronizada,entrada da MLP / rede neural
rigor_cartoes_simulado_0_10,numérica padronizada,entrada da MLP / rede neural
fluidez_jogo_simulada_0_10,numérica padronizada,entrada da MLP / rede neural
diff_forca_modelo_0_100,numérica padronizada,entrada da MLP / rede neural
sum_forca_modelo_0_100,numérica padronizada,entrada da MLP / rede neural
diff_forca_contextual_0_100,numérica padronizada,entrada da MLP / rede neural
sum_forca_contextual_0_100,numérica padronizada,entrada da MLP / rede neural
diff_competitividade_liga_0_100,numérica padronizada,entrada da MLP / rede neural
sum_competitividade_liga_0_100,numérica padronizada,entrada da MLP / rede neural
diff_desempenho_jogadores_0_100,numérica padronizada,entrada da MLP / rede neural
sum_desempenho_jogadores_0_100,numérica padronizada,entrada da MLP / rede neural
diff_momentum_data_0_100,numérica padronizada,entrada da MLP / rede neural
sum_momentum_data_0_100,numérica padronizada,entrada da MLP / rede neural
diff_ajuste_aprendizado_0_100,numérica padronizada,entrada da MLP / rede neural
sum_ajuste_aprendizado_0_100,numérica padronizada,entrada da MLP / rede neural
diff_ataque_score,numérica padronizada,entrada da MLP / rede neural
sum_ataque_score,numérica padronizada,entrada da MLP / rede neural
diff_meio_score,numérica padronizada,entrada da MLP / rede neural
sum_meio_score,numérica padronizada,entrada da MLP / rede neural
diff_defesa_score,numérica padronizada,entrada da MLP / rede neural
sum_defesa_score,numérica padronizada,entrada da MLP / rede neural
diff_goleiro_score,numérica padronizada,entrada da MLP / rede neural
sum_goleiro_score,numérica padronizada,entrada da MLP / rede neural
diff_experiencia_score,numérica padronizada,entrada da MLP / rede neural
sum_experiencia_score,numérica padronizada,entrada da MLP / rede neural
diff_intensidade_valor,numérica padronizada,entrada da MLP / rede neural
sum_intensidade_valor,numérica padronizada,entrada da MLP / rede neural
diff_posse_valor,numérica padronizada,entrada da MLP / rede neural
sum_posse_valor,numérica padronizada,entrada da MLP / rede neural
diff_pressao_valor,numérica padronizada,entrada da MLP / rede neural
sum_pressao_valor,numérica padronizada,entrada da MLP / rede neural
diff_player_proxy_mean,numérica padronizada,entrada da MLP / rede neural
sum_player_proxy_mean,numérica padronizada,entrada da MLP / rede neural
diff_player_proxy_top18,numérica padronizada,entrada da MLP / rede neural
sum_player_proxy_top18,numérica padronizada,entrada da MLP / rede neural
diff_league_score_mean,numérica padronizada,entrada da MLP / rede neural
sum_league_score_mean,numérica padronizada,entrada da MLP / rede neural
diff_league_score_top11,numérica padronizada,entrada da MLP / rede neural
sum_league_score_top11,numérica padronizada,entrada da MLP / rede neural
diff_caps_mean,numérica padronizada,entrada da MLP / rede neural
sum_caps_mean,numérica padronizada,entrada da MLP / rede neural
diff_goals_selection_total,numérica padronizada,entrada da MLP / rede neural
sum_goals_selection_total,numérica padronizada,entrada da MLP / rede neural
diff_rating_inicial_0_100,numérica padronizada,entrada da MLP / rede neural
sum_rating_inicial_0_100,numérica padronizada,entrada da MLP / rede neural
diff_qualidade_jogadores_0_100,numérica padronizada,entrada da MLP / rede neural
sum_qualidade_jogadores_0_100,numérica padronizada,entrada da MLP / rede neural
diff_equilibrio_setores_0_100,numérica padronizada,entrada da MLP / rede neural
sum_equilibrio_setores_0_100,numérica padronizada,entrada da MLP / rede neural
diff_arbitragem_rigor_medio_0_10,numérica padronizada,entrada da MLP / rede neural
sum_arbitragem_rigor_medio_0_10,numérica padronizada,entrada da MLP / rede neural
diff_arbitragem_fluidez_media_0_10,numérica padronizada,entrada da MLP / rede neural
sum_arbitragem_fluidez_media_0_10,numérica padronizada,entrada da MLP / rede neural
attack_vs_def_1,numérica padronizada,entrada da MLP / rede neural
attack_vs_def_2,numérica padronizada,entrada da MLP / rede neural
press_vs_posse_1,numérica padronizada,entrada da MLP / rede neural
press_vs_posse_2,numérica padronizada,entrada da MLP / rede neural
