team_key,team_id
africa do sul,0
alemanha,1
arabia saudita,2
argelia,3
argentina,4
australia,5
austria,6
belgica,7
bosnia e herzegovina,8
brasil,9
cabo verde,10
canada,11
catar,12
colombia,13
coreia do sul,14
costa do marfim,15
croacia,16
curacao,17
egito,18
equador,19
escocia,20
espanha,21
estados unidos,22
franca,23
gana,24
haiti,25
inglaterra,26
ira,27
iraque,28
japao,29
jordania,30
marrocos,31
mexico,32
noruega,33
nova zelandia,34
paises baixos,35
panama,36
paraguai,37
portugal,38
rd congo,39
senegal,40
suecia,41
suica,42
tchequia,43
tunisia,44
turquia,45
uruguai,46
uzbequistao,47
