jogo,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,vencedor_real,status_real,fonte,placar_original,placar_penaltis_real,vencedor_penaltis_real,source_secondary
1,2026-06-11,Fase de grupos,México,África do Sul,2,0,2-0,México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760415 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),México 2 x 0 África do Sul,,,
2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2,1,2-1,Coreia do Sul,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760414 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),República da Coreia 2 x 1 Tchéquia,,,
3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760416 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Canadá 1 x 1 Bósnia e Herzegovina,,,
4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,4,1,4-1,Estados Unidos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760417 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Estados Unidos 4 x 1 Paraguai,,,
5,2026-06-13,Fase de grupos,Haiti,Escócia,0,1,0-1,Escócia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760418 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Haiti 0 x 1 Escócia,,,
6,2026-06-14,Fase de grupos,Austrália,Turquia,2,0,2-0,Austrália,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760421 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Austrália 2 x 0 Turquia,,,
7,2026-06-13,Fase de grupos,Brasil,Marrocos,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760419 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Brasil 1 x 1 Marrocos,,,
8,2026-06-13,Fase de grupos,Catar,Suíça,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760420 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Catar 1 x 1 Suíça,,,
9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1,0,1-0,Costa do Marfim,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760423 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Costa do Marfim 1 x 0 Equador,,,
10,2026-06-14,Fase de grupos,Alemanha,Curaçao,7,1,7-1,Alemanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760422 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Alemanha 7 x 1 Curaçao,,,
