Jogo 1 | 2026-06-11 | Fase de grupos | México 2 x 0 África do Sul | Vencedor: México
Jogo 2 | 2026-06-11 | Fase de grupos | República da Coreia 2 x 1 Tchéquia | Vencedor: Coreia do Sul
Jogo 3 | 2026-06-12 | Fase de grupos | Canadá 1 x 1 Bósnia e Herzegovina | Vencedor: Empate
Jogo 4 | 2026-06-12 | Fase de grupos | Estados Unidos 4 x 1 Paraguai | Vencedor: Estados Unidos
Jogo 5 | 2026-06-13 | Fase de grupos | Haiti 0 x 1 Escócia | Vencedor: Escócia
Jogo 6 | 2026-06-14 | Fase de grupos | Austrália 2 x 0 Turquia | Vencedor: Austrália
Jogo 7 | 2026-06-13 | Fase de grupos | Brasil 1 x 1 Marrocos | Vencedor: Empate
Jogo 8 | 2026-06-13 | Fase de grupos | Catar 1 x 1 Suíça | Vencedor: Empate
Jogo 9 | 2026-06-14 | Fase de grupos | Costa do Marfim 1 x 0 Equador | Vencedor: Costa do Marfim
Jogo 10 | 2026-06-14 | Fase de grupos | Alemanha 7 x 1 Curaçao | Vencedor: Alemanha
Jogo 11 | 2026-06-14 | Fase de grupos | Holanda 2 x 2 Japão | Vencedor: Empate
Jogo 12 | 2026-06-14 | Fase de grupos | Suécia 5 x 1 Tunísia | Vencedor: Suécia
Jogo 13 | 2026-06-15 | Fase de grupos | Arábia Saudita 1 x 1 Uruguai | Vencedor: Empate
Jogo 14 | 2026-06-15 | Fase de grupos | Espanha 0 x 0 Cabo Verde | Vencedor: Empate
Jogo 15 | 2026-06-15 | Fase de grupos | Irã 2 x 2 Nova Zelândia | Vencedor: Empate
Jogo 16 | 2026-06-15 | Fase de grupos | Bélgica 1 x 1 Egito | Vencedor: Empate
Jogo 17 | 2026-06-16 | Fase de grupos | França 3 x 1 Senegal | Vencedor: França
Jogo 18 | 2026-06-16 | Fase de grupos | Iraque 1 x 4 Noruega | Vencedor: Noruega
