match_id,date,phase,group,team1,team2,stadium,city,country,kickoff_at,prediction_at,fixture_known_at,result_available_at,statistics_available_at,is_knockout,result_team1_goals,result_team2_goals,result_winner,penalty_score,penalty_winner
1,2026-06-11,Fase de grupos,A,México,África do Sul,Estadio Azteca,Mexico City,México,2026-06-11T19:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-11T22:30:00+00:00,2026-06-11T23:00:00+00:00,False,2,0,México,NA,NA
2,2026-06-11,Fase de grupos,A,Coreia do Sul,Tchéquia,Estadio Akron,Guadalajara,México,2026-06-12T02:00:00+00:00,2026-06-12T00:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-12T05:30:00+00:00,2026-06-12T06:00:00+00:00,False,2,1,Coreia do Sul,NA,NA
3,2026-06-12,Fase de grupos,B,Canadá,Bósnia e Herzegovina,BMO Field,Toronto,Canadá,2026-06-12T19:00:00+00:00,2026-06-12T17:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-12T22:30:00+00:00,2026-06-12T23:00:00+00:00,False,1,1,Empate,NA,NA
4,2026-06-12,Fase de grupos,D,Estados Unidos,Paraguai,SoFi Stadium,Los Angeles,Estados Unidos,2026-06-13T01:00:00+00:00,2026-06-12T23:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-13T04:30:00+00:00,2026-06-13T05:00:00+00:00,False,4,1,Estados Unidos,NA,NA
8,2026-06-13,Fase de grupos,B,Catar,Suíça,Levi's Stadium,San Francisco Bay Area,Estados Unidos,2026-06-13T19:00:00+00:00,2026-06-13T17:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-13T22:30:00+00:00,2026-06-13T23:00:00+00:00,False,1,1,Empate,NA,NA
7,2026-06-13,Fase de grupos,C,Brasil,Marrocos,MetLife Stadium,New York/New Jersey,Estados Unidos,2026-06-13T22:00:00+00:00,2026-06-13T20:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-14T01:30:00+00:00,2026-06-14T02:00:00+00:00,False,1,1,Empate,NA,NA
5,2026-06-13,Fase de grupos,C,Haiti,Escócia,Gillette Stadium,Boston,Estados Unidos,2026-06-14T01:00:00+00:00,2026-06-13T23:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-14T04:30:00+00:00,2026-06-14T05:00:00+00:00,False,0,1,Escócia,NA,NA
6,2026-06-13,Fase de grupos,D,Austrália,Turquia,BC Place,Vancouver,Canadá,2026-06-14T04:00:00+00:00,2026-06-14T02:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-14T07:30:00+00:00,2026-06-14T08:00:00+00:00,False,2,0,Austrália,NA,NA
10,2026-06-14,Fase de grupos,E,Alemanha,Curaçao,NRG Stadium,Houston,Estados Unidos,2026-06-14T17:00:00+00:00,2026-06-14T15:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-14T20:30:00+00:00,2026-06-14T21:00:00+00:00,False,7,1,Alemanha,NA,NA
11,2026-06-14,Fase de grupos,F,Países Baixos,Japão,AT&T Stadium,Dallas,Estados Unidos,2026-06-14T20:00:00+00:00,2026-06-14T18:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-14T23:30:00+00:00,2026-06-15T00:00:00+00:00,False,2,2,Empate,NA,NA
9,2026-06-14,Fase de grupos,E,Costa do Marfim,Equador,Lincoln Financial Field,Philadelphia,Estados Unidos,2026-06-14T23:00:00+00:00,2026-06-14T21:00:00+00:00,2026-06-11T03:59:59+00:00,2026-06-15T02:30:00+00:00,2026-06-15T03:00:00+00:00,False,1,0,Costa do Marfim,NA,NA
