match_id,date,team1,team2,outcome_correct,score_correct,qualification_correct,brier_score,log_loss,goal_absolute_error,primary_factor,significance
1,2026-06-11,México,África do Sul,True,False,NA,0.08258257,0.51810707,1,red_card_imbalance,erro_estatistico
2,2026-06-11,Coreia do Sul,Tchéquia,True,False,NA,0.14802067,0.78542257,1,first_goal,acaso
3,2026-06-12,Canadá,Bósnia e Herzegovina,False,False,NA,0.33995621,1.50575831,1,first_goal,acaso
4,2026-06-12,Estados Unidos,Paraguai,True,False,NA,0.06790659,0.45505196,4,shots_on_target_dominance,erro_estatistico
5,2026-06-13,Haiti,Escócia,True,True,NA,0.10246249,0.60090352,0,first_goal,acaso
6,2026-06-13,Austrália,Turquia,False,False,NA,0.3374273,1.62701143,3,shots_on_target_dominance,acaso
7,2026-06-13,Brasil,Marrocos,False,False,NA,0.27647643,1.32018458,1,first_goal,acaso
8,2026-06-13,Catar,Suíça,False,True,NA,0.26793921,1.30409521,0,shots_on_target_dominance,acaso
9,2026-06-14,Costa do Marfim,Equador,True,False,NA,0.19258088,0.96760508,1,shots_on_target_dominance,acaso
10,2026-06-14,Alemanha,Curaçao,True,False,NA,0.09310335,0.56217681,7,shots_on_target_dominance,erro_estatistico
11,2026-06-14,Países Baixos,Japão,False,False,NA,0.26499048,1.28380637,2,shots_on_target_dominance,acaso
12,2026-06-14,Suécia,Tunísia,True,False,NA,0.16470532,0.85277383,4,shots_on_target_dominance,acaso
13,2026-06-15,Arábia Saudita,Uruguai,False,True,NA,0.26486041,1.29159892,0,shots_on_target_dominance,acaso
14,2026-06-15,Espanha,Cabo Verde,False,False,NA,0.32225533,1.46734825,1,shots_on_target_dominance,acaso
15,2026-06-15,Irã,Nova Zelândia,False,False,NA,0.26768911,1.28881925,3,shots_on_target_dominance,acaso
16,2026-06-15,Bélgica,Egito,False,False,NA,0.33323421,1.49491351,1,first_goal,acaso
17,2026-06-16,França,Senegal,False,False,NA,0.22513067,1.1037173,2,shots_on_target_dominance,acaso
18,2026-06-16,Iraque,Noruega,True,False,NA,0.14412687,0.76958988,4,shots_on_target_dominance,acaso
19,2026-06-16,Argentina,Argélia,True,False,NA,0.15103803,0.79749488,2,shots_on_target_dominance,acaso
20,2026-06-16,Áustria,Jordânia,True,False,NA,0.14809813,0.78553882,3,finishing_efficiency,acaso
21,2026-06-17,Gana,Panamá,False,False,NA,0.36543304,1.77610662,3,finishing_efficiency,acaso
22,2026-06-17,Inglaterra,Croácia,False,False,NA,0.22115513,1.0871354,4,shots_on_target_dominance,acaso
23,2026-06-17,Portugal,RD Congo,False,False,NA,0.29143103,1.3496539,1,first_goal,acaso
24,2026-06-17,Uzbequistão,Colômbia,True,False,NA,0.12315038,0.68455222,3,first_goal,acaso
25,2026-06-18,Tchéquia,África do Sul,False,True,NA,0.26941126,1.30007997,0,first_goal,erro_estatistico
26,2026-06-18,Suíça,Bósnia e Herzegovina,True,False,NA,0.08384323,0.52351749,3,red_card_imbalance,erro_estatistico
