match_id,competition_id,team1,team2,phase,expected_goals_team1,expected_goals_team2,probability_team1_win,probability_draw,probability_team2_win,probability_extra_time,probability_team1_win_in_extra_time,probability_team2_win_in_extra_time,probability_penalty_decision,probability_team1_win_penalties,mean_total_goals,iterations,model_source,simulation_role
1,world_cup_2026,México,África do Sul,Fase de grupos,1.267,0.701,0.501667,0.291417,0.206917,0.0,0.0,0.0,0.0,NA,1.967417,12000,configured_expected_goals,retrospective_validation
2,world_cup_2026,Coreia do Sul,Tchéquia,Fase de grupos,1.087,0.997,0.38025,0.294167,0.325583,0.0,0.0,0.0,0.0,NA,2.103917,12000,configured_expected_goals,retrospective_validation
3,world_cup_2026,Canadá,Bósnia e Herzegovina,Fase de grupos,1.279,0.774,0.481667,0.2905,0.227833,0.0,0.0,0.0,0.0,NA,2.06575,12000,configured_expected_goals,retrospective_validation
4,world_cup_2026,Estados Unidos,Paraguai,Fase de grupos,1.3,0.665,0.516083,0.29625,0.187667,0.0,0.0,0.0,0.0,NA,1.967583,12000,configured_expected_goals,retrospective_validation
5,world_cup_2026,Haiti,Escócia,Fase de grupos,0.793,1.203,0.248917,0.304833,0.44625,0.0,0.0,0.0,0.0,NA,1.988417,12000,configured_expected_goals,retrospective_validation
6,world_cup_2026,Austrália,Turquia,Fase de grupos,0.784,1.181,0.241,0.307583,0.451417,0.0,0.0,0.0,0.0,NA,1.943667,12000,configured_expected_goals,retrospective_validation
7,world_cup_2026,Brasil,Marrocos,Fase de grupos,1.162,0.882,0.41675,0.302083,0.281167,0.0,0.0,0.0,0.0,NA,2.0515,12000,configured_expected_goals,retrospective_validation
8,world_cup_2026,Catar,Suíça,Fase de grupos,0.903,1.208,0.271167,0.297583,0.43125,0.0,0.0,0.0,0.0,NA,2.104583,12000,configured_expected_goals,retrospective_validation
9,world_cup_2026,Costa do Marfim,Equador,Fase de grupos,1.001,0.937,0.351833,0.318917,0.32925,0.0,0.0,0.0,0.0,NA,1.927333,12000,configured_expected_goals,retrospective_validation
10,world_cup_2026,Alemanha,Curaçao,Fase de grupos,1.209,0.762,0.463833,0.304,0.232167,0.0,0.0,0.0,0.0,NA,1.964917,12000,configured_expected_goals,retrospective_validation
11,world_cup_2026,Países Baixos,Japão,Fase de grupos,1.127,0.886,0.414667,0.307583,0.27775,0.0,0.0,0.0,0.0,NA,1.994917,12000,configured_expected_goals,retrospective_validation
12,world_cup_2026,Suécia,Tunísia,Fase de grupos,1.11,0.906,0.403917,0.30375,0.292333,0.0,0.0,0.0,0.0,NA,2.013583,12000,configured_expected_goals,retrospective_validation
13,world_cup_2026,Arábia Saudita,Uruguai,Fase de grupos,0.906,1.085,0.298667,0.30575,0.395583,0.0,0.0,0.0,0.0,NA,1.977,12000,configured_expected_goals,retrospective_validation
14,world_cup_2026,Espanha,Cabo Verde,Fase de grupos,1.299,0.815,0.477917,0.2885,0.233583,0.0,0.0,0.0,0.0,NA,2.107667,12000,configured_expected_goals,retrospective_validation
