date,cutoff,results_observed,outcome_accuracy,mean_log_loss,mean_brier_score,probability_temperature,base_goals,recalibration_accepted,simulation_file
2026-06-11,2026-06-12T00:00:00+00:00,1,1.0,0.51810707,0.08258257,1.0,1.22,False,simulations/daily/simulation_after_2026-06-11.json
2026-06-12,2026-06-12T23:00:00+00:00,3,0.66666667,0.93642932,0.19018648,1.0,1.22,False,simulations/daily/simulation_after_2026-06-12.json
2026-06-13,2026-06-14T02:00:00+00:00,6,0.5,0.98143662,0.19714695,1.0,1.22,False,simulations/daily/simulation_after_2026-06-13.json
2026-06-14,2026-06-15T03:00:00+00:00,11,0.54545455,0.99364754,0.19758602,0.95,1.2387636363636365,True,simulations/daily/simulation_after_2026-06-14.json
2026-06-15,2026-06-16T02:00:00+00:00,15,0.46666667,1.06911716,0.21723343,1.35,1.2516625454545456,True,simulations/daily/simulation_after_2026-06-15.json
2026-06-16,2026-06-17T02:00:00+00:00,18,0.44444444,1.06660466,0.21641378,1.35,1.2737517640404041,False,simulations/daily/simulation_after_2026-06-16.json
2026-06-17,2026-06-18T03:00:00+00:00,23,0.43478261,1.08673102,0.22054798,1.35,1.295329883786737,False,simulations/daily/simulation_after_2026-06-17.json
2026-06-18,2026-06-19T02:00:00+00:00,27,0.44444444,1.05912526,0.21378045,1.35,1.3267034930837982,False,simulations/daily/simulation_after_2026-06-18.json
2026-06-19,2026-06-20T02:00:00+00:00,30,0.46666667,1.05182088,0.21170651,1.2,1.3472338803037611,True,simulations/daily/simulation_after_2026-06-19.json
2026-06-20,2026-06-21T03:30:00+00:00,35,0.48571429,1.04305803,0.20962776,1.2,1.3611218365461268,False,simulations/daily/simulation_after_2026-06-20.json
2026-06-21,2026-06-22T02:00:00+00:00,39,0.48717949,1.03080117,0.20684527,1.1,1.3772320896224368,True,simulations/daily/simulation_after_2026-06-21.json
2026-06-22,2026-06-23T03:30:00+00:00,43,0.53488372,0.98838223,0.19687269,0.95,1.3887201891193086,True,simulations/daily/simulation_after_2026-06-22.json
2026-06-23,2026-06-24T03:00:00+00:00,47,0.53191489,0.98829119,0.19740562,0.95,1.392622573989764,False,simulations/daily/simulation_after_2026-06-23.json
2026-06-24,2026-06-25T02:00:00+00:00,52,0.53846154,0.97270879,0.19358313,0.85,1.3945461014039162,True,simulations/daily/simulation_after_2026-06-24.json
2026-06-25,2026-06-26T03:00:00+00:00,58,0.53448276,1.00454432,0.19862932,1.2,1.3946490799582696,True,simulations/daily/simulation_after_2026-06-25.json
2026-06-26,2026-06-27T03:30:00+00:00,64,0.53125,1.03193877,0.20320645,1.35,1.3947438202282747,True,simulations/daily/simulation_after_2026-06-26.json
2026-06-27,2026-06-28T03:30:00+00:00,70,0.54285714,1.01626068,0.19956097,1.35,1.3931643146100128,False,simulations/daily/simulation_after_2026-06-27.json
2026-06-28,2026-06-29T00:00:00+00:00,73,0.54794521,1.00214705,0.19639924,1.2,1.4017111694412119,True,simulations/daily/simulation_after_2026-06-28.json
2026-06-29,2026-06-30T01:30:00+00:00,75,0.54666667,1.0049537,0.19748298,1.2,1.4062409425525817,False,simulations/daily/simulation_after_2026-06-29.json
2026-06-30,2026-07-01T02:00:00+00:00,78,0.53846154,1.00114137,0.19674056,1.2,1.4070750004817085,False,simulations/daily/simulation_after_2026-06-30.json
2026-07-01,2026-07-02T01:00:00+00:00,81,0.55555556,0.98488105,0.19291562,1.1,1.4128423337765053,True,simulations/daily/simulation_after_2026-07-01.json
2026-07-02,2026-07-03T03:30:00+00:00,84,0.57142857,0.96933354,0.18928238,1.0,1.4164816137410516,True,simulations/daily/simulation_after_2026-07-02.json
2026-07-03,2026-07-04T03:00:00+00:00,87,0.57471264,0.95880758,0.18684698,1.0,1.4181630846417677,False,simulations/daily/simulation_after_2026-07-03.json
2026-07-04,2026-07-05T02:00:00+00:00,90,0.57777778,0.94780599,0.18437508,1.0,1.4130433712037598,False,simulations/daily/simulation_after_2026-07-04.json
2026-07-05,2026-07-06T01:00:00+00:00,91,0.57142857,0.95515752,0.18608445,1.0,1.4099999015074591,False,simulations/daily/simulation_after_2026-07-05.json
2026-07-06,2026-07-07T00:00:00+00:00,93,0.56989247,0.95987596,0.18728117,1.0,1.4121999093868625,False,simulations/daily/simulation_after_2026-07-06.json
2026-07-07,2026-07-08T01:00:00+00:00,96,0.5625,0.95831371,0.18702628,1.0,1.4075572499692468,False,simulations/daily/simulation_after_2026-07-07.json
2026-07-09,2026-07-10T01:00:00+00:00,97,0.56701031,0.95559747,0.18639124,1.0,1.4049526699717072,False,simulations/daily/simulation_after_2026-07-09.json
2026-07-10,2026-07-11T00:00:00+00:00,98,0.57142857,0.95508175,0.18630965,1.0,1.4025564563739708,False,simulations/daily/simulation_after_2026-07-10.json
2026-07-11,2026-07-12T02:00:00+00:00,99,0.57575758,0.95269524,0.18575535,0.95,1.4020186065307196,True,simulations/daily/simulation_after_2026-07-11.json
