jogo_id;jogo;data;fase;grupo;rodada;selecao;adversario;placar_selecao;placar_adversario;resultado;vencedor_jogo;foi_mata_mata;teve_prorrogacao;teve_penaltis;penaltis_selecao;penaltis_adversario;classificado;gols_pro;gols_contra;xg_pro;xg_contra;xg_diff;posse_pct;finalizacoes;finalizacoes_contra;finalizacoes_alvo;finalizacoes_alvo_contra;grandes_chances;grandes_chances_contra;defesas_goleiro;gols_evitados_goleiro;faltas_cometidas;faltas_sofridas;cartoes_amarelos;cartoes_vermelhos;impedimentos;escanteios;gols_bola_parada;gols_contra_ataque;gols_penalti;gols_reservas;jogador_destaque;rating_jogador_destaque;goleiro_destaque;rating_goleiro;tipo_desempenho;observacao_analitica;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
GA01_1;1;2026-06-11;Fase de grupos;A;1;México;África do Sul;2;0;Vitoria;México;Nao;Nao;Nao;NA;NA;Sim;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Julián Quiñones;NA;Raúl Rangel;NA;vitoria_clinica;"Quiñones abriu o placar e Jiménez ampliou; México controlou a estreia.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_1;1;2026-06-11;Fase de grupos;A;1;África do Sul;México;0;2;Derrota;México;Nao;Nao;Nao;NA;NA;Sim;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ronwen Williams;NA;Ronwen Williams;NA;defesa_vazada;África do Sul terminou com nove jogadores após duas expulsões.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;1;Coreia do Sul;Tchéquia;2;1;Vitoria;Coreia do Sul;Nao;Nao;Nao;NA;NA;Nao;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Hwang In-beom;NA;Kim Seung-gyu;NA;eficiencia_alta;"Virada com Hwang In-beom e Oh Hyeon-gyu; o reserva Oh decidiu a partida.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;1;Tchéquia;Coreia do Sul;1;2;Derrota;Coreia do Sul;Nao;Nao;Nao;NA;NA;Nao;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ladislav Krejčí;NA;Matěj Kovář;NA;eficiencia_baixa;A Tchéquia saiu na frente, mas cedeu a virada no fim.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;2;Tchéquia;África do Sul;1;1;Empate;Empate;Nao;Nao;Nao;NA;NA;Nao;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Michal Sadílek;NA;Matěj Kovář;NA;dominio_sem_converter;Sadílek abriu cedo, mas a Tchéquia sofreu empate em pênalti no fim.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;2;África do Sul;Tchéquia;1;1;Empate;Empate;Nao;Nao;Nao;NA;NA;Sim;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Teboho Mokoena;NA;Ronwen Williams;NA;eficiencia_baixa;Mokoena converteu pênalti decisivo para manter a equipe viva.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_28;28;2026-06-18;Fase de grupos;A;2;México;Coreia do Sul;1;0;Vitoria;México;Nao;Nao;Nao;NA;NA;Sim;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Luis Romo;NA;Raúl Rangel;NA;vitoria_clinica;Romo aproveitou erro do goleiro e colocou o México no mata-mata.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_28;28;2026-06-18;Fase de grupos;A;2;Coreia do Sul;México;0;1;Derrota;México;Nao;Nao;Nao;NA;NA;Nao;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kim Seung-gyu;NA;Kim Seung-gyu;NA;baixo_volume_ofensivo;A Coreia criou pouco e dependeu do goleiro para seguir viva até o fim.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA03_53;53;2026-06-24;Fase de grupos;A;3;Tchéquia;México;0;3;Derrota;México;Nao;Nao;Nao;NA;NA;Nao;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tomáš Souček;NA;Matěj Kovář;NA;defesa_vazada;"A Tchéquia foi eliminada; Souček saiu lesionado no fim segundo a Reuters.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA03_53;53;2026-06-24;Fase de grupos;A;3;México;Tchéquia;3;0;Vitoria;México;Nao;Nao;Nao;NA;NA;Sim;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Mateo Chávez;NA;Raúl Rangel;NA;dominio_total;México fechou a fase de grupos com 100% de aproveitamento.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA03_54;54;2026-06-24;Fase de grupos;A;3;África do Sul;Coreia do Sul;1;0;Vitoria;África do Sul;Nao;Nao;Nao;NA;NA;Sim;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Thapelo Maseko;NA;Ronwen Williams;NA;vitoria_clinica;Gol de Maseko classificou os Bafana Bafana em segundo.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA03_54;54;2026-06-24;Fase de grupos;A;3;Coreia do Sul;África do Sul;0;1;Derrota;África do Sul;Nao;Nao;Nao;NA;NA;Nao;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Son Heung-min;NA;Kim Seung-gyu;NA;baixo_volume_ofensivo;"A derrota eliminou a Coreia; Son terminou sem gol ou assistência, segundo a Reuters.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
