selecao,codigo,cor_primaria,cor_secundaria,cor_acento,paleta_hex,chave
México,MEX,#006847,#CE1126,#CE1126,"#006847,#FFFFFF,#CE1126",mexico
África do Sul,RSA/ZAF,#007A4D,#FFB81C,#DE3831,"#007A4D,#FFB81C,#000000,#FFFFFF,#DE3831,#002395",africa do sul
Coreia do Sul,KOR,#CD2E3A,#0047A0,#0047A0,"#FFFFFF,#CD2E3A,#0047A0,#000000",coreia do sul
Tchéquia,CZE,#D7141A,#11457E,#11457E,"#D7141A,#FFFFFF,#11457E",tchequia
Canadá,CAN,#FF0000,#FFFFFF,#FFFFFF,"#FF0000,#FFFFFF",canada
Bósnia e Herzegovina,BIH,#002395,#FECB00,#FECB00,"#002395,#FECB00,#FFFFFF",bosnia e herzegovina
Estados Unidos,USA,#B31942,#0A3161,#0A3161,"#B31942,#FFFFFF,#0A3161",estados unidos
Paraguai,PAR/PRY,#D52B1E,#0038A8,#0038A8,"#D52B1E,#FFFFFF,#0038A8",paraguai
Catar,QAT,#8A1538,#FFFFFF,#FFFFFF,"#8A1538,#FFFFFF",catar
Suíça,SUI/CHE,#FF0000,#FFFFFF,#FFFFFF,"#FF0000,#FFFFFF",suica
Brasil,BRA,#009B3A,#FEDF00,#002776,"#009B3A,#FEDF00,#002776,#FFFFFF",brasil
Marrocos,MAR,#C1272D,#006233,#006233,"#C1272D,#006233",marrocos
Haiti,HAI/HTI,#00209F,#D21034,#016A16,"#00209F,#D21034,#FFFFFF,#016A16,#F1B517",haiti
Escócia,SCO,#005EB8,#FFFFFF,#FFFFFF,"#005EB8,#FFFFFF",escocia
Austrália,AUS,#00008B,#FF0000,#FF0000,"#00008B,#FFFFFF,#FF0000",australia
Turquia,TUR,#E30A17,#FFFFFF,#FFFFFF,"#E30A17,#FFFFFF",turquia
Alemanha,GER/DEU,#DD0000,#FFCE00,#FFCE00,"#000000,#DD0000,#FFCE00",alemanha
Curaçao,CUW,#002B7F,#F9E814,#F9E814,"#002B7F,#F9E814,#FFFFFF",curacao
Países Baixos,NED/NLD,#AE1C28,#21468B,#21468B,"#AE1C28,#FFFFFF,#21468B",paises baixos
Japão,JPN,#BC002D,#FFFFFF,#FFFFFF,"#BC002D,#FFFFFF",japao
Costa do Marfim,CIV,#F77F00,#009E60,#009E60,"#F77F00,#FFFFFF,#009E60",costa do marfim
Equador,ECU,#FFD100,#003893,#CE1126,"#FFD100,#003893,#CE1126",equador
Suécia,SWE,#006AA7,#FECC00,#FECC00,"#006AA7,#FECC00",suecia
Tunísia,TUN,#E70013,#FFFFFF,#FFFFFF,"#E70013,#FFFFFF",tunisia
Espanha,ESP,#AA151B,#F1BF00,#F1BF00,"#AA151B,#F1BF00",espanha
Cabo Verde,CPV,#003893,#CF2027,#F7D116,"#003893,#FFFFFF,#CF2027,#F7D116",cabo verde
Bélgica,BEL,#FAE042,#ED2939,#ED2939,"#000000,#FAE042,#ED2939",belgica
Egito,EGY,#CE1126,#C09300,#C09300,"#CE1126,#FFFFFF,#000000,#C09300",egito
Arábia Saudita,KSA/SAU,#006C35,#FFFFFF,#FFFFFF,"#006C35,#FFFFFF",arabia saudita
Uruguai,URU,#0038A8,#FCD116,#FCD116,"#0038A8,#FFFFFF,#FCD116",uruguai
Irã,IRN,#239F40,#DA0000,#DA0000,"#239F40,#FFFFFF,#DA0000",ira
Nova Zelândia,NZL,#00247D,#CC142B,#CC142B,"#00247D,#FFFFFF,#CC142B",nova zelandia
França,FRA,#000091,#E1000F,#E1000F,"#000091,#FFFFFF,#E1000F",franca
Senegal,SEN,#00853F,#FDEF42,#E31B23,"#00853F,#FDEF42,#E31B23",senegal
Iraque,IRQ,#CE1126,#007A3D,#007A3D,"#CE1126,#FFFFFF,#000000,#007A3D",iraque
Noruega,NOR,#BA0C2F,#00205B,#00205B,"#BA0C2F,#FFFFFF,#00205B",noruega
Argentina,ARG,#74ACDF,#F6B40E,#85340A,"#74ACDF,#FFFFFF,#F6B40E,#85340A",argentina
Argélia,ALG/DZA,#006233,#D21034,#D21034,"#006233,#FFFFFF,#D21034",argelia
Áustria,AUT,#ED2939,#FFFFFF,#FFFFFF,"#ED2939,#FFFFFF",austria
Jordânia,JOR,#007A3D,#CE1126,#CE1126,"#007A3D,#FFFFFF,#CE1126,#000000",jordania
Portugal,POR/PRT,#006600,#FF0000,#FFFF00,"#006600,#FF0000,#FFFF00,#003399,#FFFFFF",portugal
RD Congo,COD/DRC,#007FFF,#F7D618,#CE1021,"#007FFF,#F7D618,#CE1021",rd congo
Inglaterra,ENG,#CF142B,#CF142B,#CF142B,"#FFFFFF,#CF142B",inglaterra
Croácia,CRO/HRV,#FF0000,#171796,#0093DD,"#FF0000,#FFFFFF,#171796,#0093DD,#F7DB17",croacia
Gana,GHA,#CE1126,#FCD116,#006B3F,"#CE1126,#FCD116,#006B3F,#000000",gana
Panamá,PAN,#005293,#D21034,#D21034,"#005293,#FFFFFF,#D21034",panama
Uzbequistão,UZB,#0099B5,#1EB53A,#CE1126,"#0099B5,#FFFFFF,#1EB53A,#CE1126",uzbequistao
Colômbia,COL,#FCD116,#003893,#CE1126,"#FCD116,#003893,#CE1126",colombia
