selecao;jogos;vitorias;empates;derrotas;pontos;gols_pro;gols_contra;saldo_gols;xg_pro_fase_grupos;gols_acima_xg;pontos_por_jogo;xg_por_jogo;indice_desempenho_geral_0_100;impacto_modelo;tag_desempenho;jogador_destaque;fonte_resultado;fonte_xg;observacao
França;3;3;0;0;9;10;2;8;5.1;4.9;3;1.7;95;1.5;finalizacao_clinica;Ousmane Dembélé / Kylian Mbappé;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Argentina;3;3;0;0;9;8;1;7;4.7;3.3;3;1.567;93.67;1.5;fase_grupos_forte;Lionel Messi;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
México;3;3;0;0;9;6;0;6;3.6;2.4;3;1.2;89;1.5;fase_grupos_forte;Julián Quiñones;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Alemanha;3;2;0;1;6;10;4;6;6.7;3.3;2;2.233;86;1.25;contra_pressao_forte;Deniz Undav / Kai Havertz;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Países Baixos;3;2;1;0;7;10;4;6;5;5;2.333;1.667;85.33;1.345;fase_grupos_forte;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Brasil;3;2;1;0;7;7;1;6;5.11;1.89;2.333;1.703;83.85;1.246;dominancia_tecnica_crescente;Vinícius Júnior / Bruno Guimarães;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Suíça;3;2;1;0;7;7;3;4;6.2;0.8;2.333;2.067;81.33;1.156;fase_grupos_forte;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Inglaterra;3;2;1;0;7;6;2;4;5.5;0.5;2.333;1.833;78.5;1.084;criacao_sem_conversao;Harry Kane;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Espanha;3;2;1;0;7;5;0;5;4.4;0.6;2.333;1.467;77.17;1.066;fase_grupos_forte;Unai Simón / Vozinha como adversário destaque;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Marrocos;3;2;1;0;7;6;3;3;4.6;1.4;2.333;1.533;74.83;0.965;fase_grupos_forte;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
